identifier,location,name
fields-of-honor-den-northwest-of-soothing-wetlands-near-path-rare,fields-of-honor,Fields of Honor (Den E - Northwest of Soothing Wetlands near path - Rare)
fields-of-honor-den-south-of-soothing-wetlands-near-path-common,fields-of-honor,Fields of Honor (Den F - South of Soothing Wetlands near path - Common)
fields-of-honor-den-south-of-soothing-wetlands-near-path-rare,fields-of-honor,Fields of Honor (Den F - South of Soothing Wetlands near path - Rare)
fields-of-honor-den-southeast-end-of-soothing-wetlands-near-lake-common,fields-of-honor,Fields of Honor (Den G - Southeast end of Soothing Wetlands near lake - Common)
fields-of-honor-den-southeast-end-of-soothing-wetlands-near-lake-rare,fields-of-honor,Fields of Honor (Den G - Southeast end of Soothing Wetlands near lake - Rare)
fields-of-honor-den-southeast-of-soothing-wetlands-near-bridge-common,fields-of-honor,Fields of Honor (Den H - Southeast of Soothing Wetlands near bridge - Common)
fields-of-honor-den-southeast-of-soothing-wetlands-near-bridge-rare,fields-of-honor,Fields of Honor (Den H - Southeast of Soothing Wetlands near bridge - Rare)
fields-of-honor-den-southwest-end-of-soothing-wetlands-common,fields-of-honor,Fields of Honor (Den I - Southwest end of Soothing Wetlands - Common)
fields-of-honor-den-southwest-end-of-soothing-wetlands-rare,fields-of-honor,Fields of Honor (Den I- Southwest end of Soothing Wetlands - Rare)
fields-of-honor-den-west-of-soothing-wetlands-near-bridge-common,fields-of-honor,Fields of Honor (Den J - West of Soothing Wetlands near bridge - Common)
fields-of-honor-den-west-of-soothing-wetlands-near-bridge-rare,fields-of-honor,Fields of Honor (Den J - West of Soothing Wetlands near bridge - Rare)
fields-of-honor-east-of-armor-station-near-berry-tree,fields-of-honor,Fields of Honor (East of Armor Station near berry tree)
fields-of-honor-near-beach-south-of-bridge,fields-of-honor,Fields of Honor (Near beach south of bridge)
fields-of-honor-near-eastern-cliff-north-of-bridge,fields-of-honor,Fields of Honor (Near eastern cliff north of bridge)
fiery-path,fiery-path,Fiery Path
fight-area,fight-area,Fight Area
fighting-dojo,fighting-dojo,Fighting Dojo
firescourge-shrine,firescourge-shrine,Firescourge Shrine
firespit-island,firespit-island,Firespit Island
five-island,five-island,Five Island
five-isle-meadow,five-isle-meadow,Five Isle Meadow
floaro-gardens,floaro-gardens,Floaro Gardens
floaroma-meadow,floaroma-town,Floaroma Meadow
floaroma-town,floaroma-town,Floaroma Town
floccesy-ranch,floccesy-ranch,Floccesy Ranch
floccesy-town,floccesy-town,Floccesy Town
flower-paradise,flower-paradise,Flower Paradise
forest-of-focus,forest-of-focus,Forest of Focus
forest-of-focus-across-second-bridge-north,forest-of-focus,Forest of Focus (Across second bridge north)
forest-of-focus-across-second-bridge-northwest,forest-of-focus,Forest of Focus (Across second bridge northwest)
forest-of-focus-across-second-bridge-west-near-berry-tree-dead-end,forest-of-focus,"Forest of Focus (Across second bridge west near berry tree, dead end)"
forest-of-focus-by-entrance-to-river-across-first-bridge-east-of-berry-tree-and-den,forest-of-focus,"Forest of Focus (By entrance to river, across first bridge east of berry tree and Den)"
forest-of-focus-den-down-river-from-den-e-on-riverbank-near-first-bridge-surrounded-by-tall-grass-common,forest-of-focus,"Forest of Focus (Den A - Down river from Den E on riverbank near first bridge, surrounded by tall grass - Common)"
forest-of-focus-den-down-river-from-den-e-on-riverbank-near-first-bridge-surrounded-by-tall-grass-rare,forest-of-focus,"Forest of Focus (Den A - Down river from Den E on riverbank near first bridge, surrounded by tall grass - Rare)"
forest-of-focus-den-down-river-opposite-of-den-d-halfway-to-first-bridge-common,forest-of-focus,"Forest of Focus (Den B - Down river, opposite of Den D, halfway to first bridge - Common)"
forest-of-focus-den-down-river-opposite-of-den-d-halfway-to-first-bridge-rare,forest-of-focus,"Forest of Focus (Den B - Down river, opposite of Den D, halfway to first bridge - Rare)"
forest-of-focus-den-east-side-of-forest-before-bridges-at-end-of-water-common,forest-of-focus,"Forest of Focus (Den C - On the east side of forest before bridges, at the end of water - Common)"
forest-of-focus-den-east-side-of-forest-before-bridges-at-end-of-water-rare,forest-of-focus,"Forest of Focus (Den C - On the east side of forest before bridges, at the end of water - Rare)"
forest-of-focus-den-right-after-second-bridge-from-soothing-wetlands-near-lands-edge-common,forest-of-focus,"Forest of Focus (Den D - Right after second bridge from Soothing Wetlands, near land's edge - Common)"
forest-of-focus-den-right-after-second-bridge-from-soothing-wetlands-near-lands-edge-rare,forest-of-focus,"Forest of Focus (Den D - Right after second bridge from Soothing Wetlands, near land's edge - Rare)"
forest-of-focus-den-right-of-second-bridge-from-soothing-wetlands-in-river-common,forest-of-focus,Forest of Focus (Den E - Right of second bridge from Soothing Wetlands in river - Common)
forest-of-focus-den-right-of-second-bridge-from-soothing-wetlands-in-river-rare,forest-of-focus,Forest of Focus (Den E - Right of second bridge from Soothing Wetlands in river - Rare)
forest-of-focus-den-right-of-second-bridge-on-soothing-wetlands-side-common,forest-of-focus,Forest of Focus (Den F - Right of second bridge on Soothing Wetlands side - Common)
forest-of-focus-den-right-of-second-bridge-on-soothing-wetlands-side-rare,forest-of-focus,Forest of Focus (Den F - Right of second bridge on Soothing Wetlands side - Rare)
forest-of-focus-east-of-bridge-near-soothing-wetlands-border,forest-of-focus,Forest of Focus (East of bridge near Soothing Wetlands border)
forest-of-focus-east-of-pool-in-forest,forest-of-focus,Forest of Focus (East of pool in forest)
forest-of-focus-flying-between-trees,forest-of-focus,Forest of Focus (Flying between trees)
forest-of-focus-north-of-berry-tree-across-first-bridge,forest-of-focus,Forest of Focus (North of berry tree across first bridge)
forest-of-focus-north-of-pool-in-forest-west-of-second-bridge,forest-of-focus,"Forest of Focus (North of pool in forest, west of second bridge)"
forest-of-focus-northeast-of-pool-in-forest-east-of-second-bridge,forest-of-focus,"Forest of Focus (Northeast of pool in forest, east of second bridge)"
forest-of-focus-northeastern-end-of-forest-near-berry-tree-dead-end,forest-of-focus,"Forest of Focus (Northeastern end of forest near berry tree, dead end)"
forest-of-focus-northwest-of-pool-in-forest-south-of-berry-tree-dead-end,forest-of-focus,"Forest of Focus (Northwest of pool in forest, south of berry tree, dead end)"
forest-of-focus-slightly-north-of-challenge-beach-border,forest-of-focus,Forest of Focus (Slightly north of Challenge Beach border)
forest-of-focus-slightly-north-of-soothing-wetlands-border,forest-of-focus,Forest of Focus (Slightly north of Soothing Wetlands border)
forest-of-focus-southeast-of-berry-tree-near-soothing-wetlands-border,forest-of-focus,Forest of Focus (Southeast of berry tree near Soothing Wetlands border)
fortree-city,fortree-city,Fortree City
fountainspring-cave,fountainspring-cave,Fountainspring Cave
four-island,four-island,Four Island
freezington,freezington,Freezington
friend-safari-bug-slot-1,friend-safari,Friend Safari (Bug Slot 1)
friend-safari-bug-slot-2,friend-safari,Friend Safari (Bug Slot 2)
friend-safari-bug-slot-3,friend-safari,Friend Safari (Bug Slot 3)
friend-safari-dark-slot-1,friend-safari,Friend Safari (Dark Slot 1)
friend-safari-dark-slot-2,friend-safari,Friend Safari (Dark Slot 2)
friend-safari-dark-slot-3,friend-safari,Friend Safari (Dark Slot 3)
friend-safari-dragon-slot-1,friend-safari,Friend Safari (Dragon Slot 1)
friend-safari-dragon-slot-2,friend-safari,Friend Safari (Dragon Slot 2)
friend-safari-dragon-slot-3,friend-safari,Friend Safari (Dragon Slot 3)
friend-safari-electric-slot-1,friend-safari,Friend Safari (Electric Slot 1)
friend-safari-electric-slot-2,friend-safari,Friend Safari (Electric Slot 2)
friend-safari-electric-slot-3,friend-safari,Friend Safari (Electric Slot 3)
friend-safari-fairy-slot-1,friend-safari,Friend Safari (Fairy Slot 1)
friend-safari-fairy-slot-2,friend-safari,Friend Safari (Fairy Slot 2)
friend-safari-fairy-slot-3,friend-safari,Friend Safari (Fairy Slot 3)
friend-safari-fighting-slot-1,friend-safari,Friend Safari (Fighting Slot 1)
friend-safari-fighting-slot-2,friend-safari,Friend Safari (Fighting Slot 2)
friend-safari-fighting-slot-3,friend-safari,Friend Safari (Fighting Slot 3)
friend-safari-fire-slot-1,friend-safari,Friend Safari (Fire Slot 1)
friend-safari-fire-slot-2,friend-safari,Friend Safari (Fire Slot 2)
friend-safari-fire-slot-3,friend-safari,Friend Safari (Fire Slot 3)
friend-safari-flying-slot-1,friend-safari,Friend Safari (Flying Slot 1)
friend-safari-flying-slot-2,friend-safari,Friend Safari (Flying Slot 2)
friend-safari-flying-slot-3,friend-safari,Friend Safari (Flying Slot 3)
friend-safari-ghost-slot-1,friend-safari,Friend Safari (Ghost Slot 1)
friend-safari-ghost-slot-2,friend-safari,Friend Safari (Ghost Slot 2)
friend-safari-ghost-slot-3,friend-safari,Friend Safari (Ghost Slot 3)
friend-safari-grass-slot-1,friend-safari,Friend Safari (Grass Slot 1)
friend-safari-grass-slot-2,friend-safari,Friend Safari (Grass Slot 2)
friend-safari-grass-slot-3,friend-safari,Friend Safari (Grass Slot 3)
friend-safari-ground-slot-1,friend-safari,Friend Safari (Ground Slot 1)
friend-safari-ground-slot-2,friend-safari,Friend Safari (Ground Slot 2)
friend-safari-ground-slot-3,friend-safari,Friend Safari (Ground Slot 3)
friend-safari-ice-slot-1,friend-safari,Friend Safari (Ice Slot 1)
friend-safari-ice-slot-2,friend-safari,Friend Safari (Ice Slot 2)
friend-safari-ice-slot-3,friend-safari,Friend Safari (Ice Slot 3)
friend-safari-normal-slot-1,friend-safari,Friend Safari (Normal Slot 1)
friend-safari-normal-slot-2,friend-safari,Friend Safari (Normal Slot 2)
friend-safari-normal-slot-3,friend-safari,Friend Safari (Normal Slot 3)
friend-safari-poison-slot-1,friend-safari,Friend Safari (Poison Slot 1)
friend-safari-poison-slot-2,friend-safari,Friend Safari (Poison Slot 2)
friend-safari-poison-slot-3,friend-safari,Friend Safari (Poison Slot 3)
friend-safari-psychic-slot-1,friend-safari,Friend Safari (Psychic Slot 1)
friend-safari-psychic-slot-2,friend-safari,Friend Safari (Psychic Slot 2)
friend-safari-psychic-slot-3,friend-safari,Friend Safari (Psychic Slot 3)
friend-safari-rock-slot-1,friend-safari,Friend Safari (Rock Slot 1)
friend-safari-rock-slot-2,friend-safari,Friend Safari (Rock Slot 2)
friend-safari-rock-slot-3,friend-safari,Friend Safari (Rock Slot 3)
friend-safari-steel-slot-1,friend-safari,Friend Safari (Steel Slot 1)
friend-safari-steel-slot-2,friend-safari,Friend Safari (Steel Slot 2)
friend-safari-steel-slot-3,friend-safari,Friend Safari (Steel Slot 3)
friend-safari-water-slot-1,friend-safari,Friend Safari (Water Slot 1)
friend-safari-water-slot-2,friend-safari,Friend Safari (Water Slot 2)
friend-safari-water-slot-3,friend-safari,Friend Safari (Water Slot 3)
frigid-sea,frigid-sea,Frigid Sea
frigid-sea-den-at-northern-tip-on-ice-sheets-common,frigid-sea,Frigid Sea (Den A - At the northern tip on ice sheets - Common)
frigid-sea-den-at-northern-tip-on-ice-sheets-rare,frigid-sea,Frigid Sea (Den A - At the northern tip on ice sheets - Rare)
frigid-sea-den-central-north-ice-sheet-near-split-common,frigid-sea,Frigid Sea (Den B - On the central north ice sheet near split - Common)
frigid-sea-den-central-north-ice-sheet-near-split-rare,frigid-sea,Frigid Sea (Den B - On the central north ice sheet near split - Rare)
frigid-sea-den-central-south-inland-area-common,frigid-sea,Frigid Sea (Den C - In the central south inland area - Common)
frigid-sea-den-central-south-inland-area-rare,frigid-sea,Frigid Sea (Den C - In the central south inland area - Rare)
frigid-sea-den-central-southern-ice-sheet-near-inland-common,frigid-sea,Frigid Sea (Den D - On the central southern ice sheet near inland - Common)
frigid-sea-den-central-southern-ice-sheet-near-inland-rare,frigid-sea,Frigid Sea (Den D - On the central southern ice sheet near inland - Rare)
frigid-sea-den-near-southwest-edge-on-ice-sheet-common,frigid-sea,Frigid Sea (Den E - Near the southwest edge on ice sheet - Common)
frigid-sea-den-near-southwest-edge-on-ice-sheet-rare,frigid-sea,Frigid Sea (Den E - Near the southwest edge on ice sheet - Rare)
frigid-sea-den-near-three-point-pass-close-to-roaring-sea-caves-common,frigid-sea,"Frigid Sea (Den F - Near Three-Point Pass, close to Roaring Sea Caves - Common)"
frigid-sea-den-near-three-point-pass-close-to-roaring-sea-caves-rare,frigid-sea,"Frigid Sea (Den F - Near Three-Point Pass, close to Roaring Sea Caves - Rare)"
frigid-sea-den-near-western-ice-sheet-close-to-ocean-common,frigid-sea,"Frigid Sea (Den G - Near the western ice sheet, close to the ocean - Common)"
frigid-sea-den-near-western-ice-sheet-close-to-ocean-rare,frigid-sea,"Frigid Sea (Den G - Near the western ice sheet, close to the ocean - Rare)"
frigid-sea-den-on-eastern-coastline-above-ice-sheet-common,frigid-sea,Frigid Sea (Den H - On the eastern coastline above the ice sheet - Common)
frigid-sea-den-on-eastern-coastline-above-ice-sheet-rare,frigid-sea,Frigid Sea (Den H - On the eastern coastline above the ice sheet - Rare)
frigid-sea-den-on-easternmost-ice-sheet-edge-common,frigid-sea,Frigid Sea (Den I - On the easternmost ice sheet edge - Common)
frigid-sea-den-on-easternmost-ice-sheet-edge-rare,frigid-sea,Frigid Sea (Den I - On the easternmost ice sheet edge - Rare)
frigid-sea-den-on-island-center-of-large-mountainous-area-common,frigid-sea,Frigid Sea (Den J - On the island in the center of a large mountainous area - Common)
frigid-sea-den-on-island-center-of-large-mountainous-area-rare,frigid-sea,Frigid Sea (Den J - On the island in the center of a large mountainous area - Rare)
frigid-sea-den-on-northeast-ice-sheet-near-ocean-common,frigid-sea,Frigid Sea (Den K - On the northeast ice sheet near the ocean - Common)
frigid-sea-den-on-northeast-ice-sheet-near-ocean-rare,frigid-sea,Frigid Sea (Den K - On the northeast ice sheet near the ocean - Rare)
frigid-sea-den-southeast-ice-sheet-edge-close-to-land-common,frigid-sea,"Frigid Sea (Den L - On the southeast ice sheet edge, close to land - Common)"
frigid-sea-den-southeast-ice-sheet-edge-close-to-land-rare,frigid-sea,"Frigid Sea (Den L - On the southeast ice sheet edge, close to land - Rare)"
frigid-sea-den-southeastern-ice-sheet-southern-edge-common,frigid-sea,Frigid Sea (Den M - On the southeastern ice sheet southern edge - Common)
frigid-sea-den-southeastern-ice-sheet-southern-edge-rare,frigid-sea,Frigid Sea (Den M - On the southeastern ice sheet southern edge - Rare)
frigid-sea-den-southern-tip-on-ocean-near-three-point-pass-common,frigid-sea,Frigid Sea (Den N - At the southern tip on the ocean near Three-Point Pass - Common)
frigid-sea-den-southern-tip-on-ocean-near-three-point-pass-rare,frigid-sea,Frigid Sea (Den N - At the southern tip on the ocean near Three-Point Pass - Rare)
frost-cavern,frost-cavern,Frost Cavern
frost-cavern-1f,frost-cavern,Frost Cavern (1F)
frost-cavern-3f,frost-cavern,Frost Cavern (3F)
frost-cavern-ice-rock-room,frost-cavern,Frost Cavern (Ice Rock Room)
frost-cavern-main,frost-cavern,Frost Cavern (Main)
frost-cavern-main-2f-area,frost-cavern,Frost Cavern (Main 2F Area)
frostpoint-field,frostpoint-field,Frostpoint Field
frostpoint-field-den-east-common,frostpoint-field,Frostpoint Field (Den A - East - Common)
frostpoint-field-den-east-rare,frostpoint-field,Frostpoint Field (Den A - East - Rare)
frostpoint-field-den-northeast-of-rocks-common,frostpoint-field,Frostpoint Field (Den B - Northeast of rocks - Common)
frostpoint-field-den-northeast-of-rocks-rare,frostpoint-field,Frostpoint Field (Den B - Northeast of rocks - Rare)
frostpoint-field-den-southeast-of-rocks-common,frostpoint-field,Frostpoint Field (Den C - Southeast of rocks - Common)
frostpoint-field-den-southeast-of-rocks-rare,frostpoint-field,Frostpoint Field (Den C - Southeast of rocks - Rare)
frostpoint-field-den-west-common,frostpoint-field,Frostpoint Field (Den D - West - Common)
frostpoint-field-den-west-of-rocks-common,frostpoint-field,Frostpoint Field (Den D - West of rocks - Common)
frostpoint-field-den-west-of-rocks-rare,frostpoint-field,Frostpoint Field (Den E - West of rocks - Rare)
frostpoint-field-den-west-rare,frostpoint-field,Frostpoint Field (Den E - West - Rare)
fuchsia-city,fuchsia-city,Fuchsia City
fuego-ironworks,fuego-ironworks,Fuego Ironworks
fullmoon-island,fullmoon-island,Fullmoon Island
galactic-warehouse,veilstone-city,Galactic Warehouse
galar-mine,galar-mine,Galar Mine
galar-mine-no-2,galar-mine-no-2,Galar Mine No. 2
galar-mine-no-2-large-open-area-near-mine-cart,galar-mine-no-2,Galar Mine No. 2 (Large open area near mine cart)
galar-mine-no-2-next-to-northwest-edge-of-second-pool,galar-mine-no-2,Galar Mine No. 2 (Next to northwest edge of second pool)
galar-mine-no-2-next-to-south-edge-of-second-pool,galar-mine-no-2,Galar Mine No. 2 (Next to south edge of second pool)
galar-mine-no-2-pool-in-northeast-of-cave,galar-mine-no-2,Galar Mine No. 2 (Pool in northeast of cave)
galar-mine-no-2-short-passageway-south-of-large-open-area-near-mine-cart,galar-mine-no-2,Galar Mine No. 2 (Short passageway south of large open area near mine cart)
galar-mine-no-2-south-of-southeastern-most-pool,galar-mine-no-2,Galar Mine No. 2 (South of southeastern-most pool)
galar-mine-no-2-southeast-of-southeast-corner-of-second-pool,galar-mine-no-2,Galar Mine No. 2 (Southeast of southeast corner of second pool)
galar-mine-no-2-southeast-of-southeastern-most-pool,galar-mine-no-2,Galar Mine No. 2 (Southeast of southeastern-most pool)
galar-mine-no-2-where-path-turns-from-south-to-southwest,galar-mine-no-2,Galar Mine No. 2 (Where path turns from south to southwest)
galar-route-01,galar-route-01,Route 1 - Galar
galar-route-02,galar-route-02,Route 2 - Galar
galar-route-02-across-lake,galar-route-02,Route 2 - Galar (Across lake)
galar-route-02-in-water-north-section-lake,galar-route-02,"Route 2 - Galar (In water, north section lake)"
galar-route-02-middle-of-route-open-path-after-trainer-tips-sign,galar-route-02,"Route 2 - Galar (Middle of route, open path after Trainer Tips sign)"
galar-route-02-middle-of-route-open-path-before-trainer-tips-sign,galar-route-02,"Route 2 - Galar (Middle of route, open path before Trainer Tips sign)"
galar-route-02-northwest-corner-of-lake,galar-route-02,Route 2 - Galar (Northwest corner of lake)
galar-route-02-on-island-in-lake,galar-route-02,Route 2 - Galar (On island in lake)
galar-route-02-wedgehurst-side,galar-route-02,Route 2 - Galar (Wedgehurst side)
galar-route-03,galar-route-03,Route 3 - Galar
galar-route-03-eastern-patch,galar-route-03,Route 3 - Galar (Eastern patch)
galar-route-03-perched-on-rock-next-to-fenced-path-to-factory,galar-route-03,Route 3 - Galar (Perched on rock next to fenced path to factory)
galar-route-03-western-patch,galar-route-03,Route 3 - Galar (Western patch)
galar-route-04,galar-route-04,Route 4 - Galar
galar-route-04-northwest-paddock,galar-route-04,Route 4 - Galar (Northwest paddock)
galar-route-05,galar-route-05,Route 5 - Galar
galar-route-05-east-end-of-bridge,galar-route-05,Route 5 - Galar (East end of bridge)
galar-route-06,galar-route-06,Route 6 - Galar
galar-route-07,galar-route-07,Route 7 - Galar
galar-route-08,galar-route-08,Route 8 - Galar
galar-route-08-northwest-blocking-narrow-path-leading-to-tm43,galar-route-08,Route 8 - Galar (Northwest blocking narrow path leading to TM43)
galar-route-08-steamdrift-way,galar-route-08,Route 8 - Galar (Steamdrift Way)
galar-route-08-various-holes-around-ruins,galar-route-08,Route 8 - Galar (Various holes around ruins)
galar-route-09,galar-route-09,Route 9 - Galar
galar-route-09-circhester-bay,galar-route-09,Route 9 - Galar (Circhester Bay)
galar-route-09-circhester-bay-around-iceberg-between-trainer-tips-signpost-and-circhester-bay-signpost,galar-route-09,Route 9 - Galar (Circhester Bay around iceberg between Trainer Tips signpost and Circhester Bay signpost)
galar-route-09-circhester-bay-around-icebergs-northwest-of-pokemon-camp,galar-route-09,Route 9 - Galar (Circhester Bay around icebergs northwest of Pokémon camp)
galar-route-09-circhester-bay-around-rock-west-of-berry-tree,galar-route-09,Route 9 - Galar (Circhester Bay around rock west of berry tree)
galar-route-09-circhester-bay-east-of-northern-entrance-to-circhester-bay,galar-route-09,Route 9 - Galar (Circhester Bay east of northern entrance to Circhester Bay)
galar-route-09-circhester-bay-in-canal-southwest-of-pokemon-camp,galar-route-09,Route 9 - Galar (Circhester Bay in canal southwest of Pokémon camp)
galar-route-09-end-of-stream-west-of-bridge-by-circhester,galar-route-09,Route 9 - Galar (End of stream west of bridge by Circhester)
galar-route-09-outer-spikemuth,galar-route-09,Route 9 - Galar (Outer Spikemuth)
galar-route-10,galar-route-10,Route 10 - Galar
galar-route-10-east-of-pokemon-camp,galar-route-10,Route 10 - Galar (East of Pokémon camp)
galar-route-10-near-station,galar-route-10,Route 10 - Galar (Near station)
galar-route-10-north,galar-route-10,Route 10 - Galar (North)
galar-route-10-south-of-trainer-tips-sign,galar-route-10,Route 10 - Galar (South of Trainer Tips sign)
galaxy-hall,jubilife-village,Galaxy Hall
gapejaw-bog,gapejaw-bog,Gapejaw Bog
geosenge-town,geosenge-town,Geosenge Town
giant-chasm,giant-chasm,Giant Chasm
giant-chasm-cave,giant-chasm,Giant Chasm (Cave)
giant-chasm-cave-depths,giant-chasm,Giant Chasm (Cave depths)
giant-chasm-crater-forest,giant-chasm,Giant Chasm (Crater forest)
giant-chasm-entrance,giant-chasm,Giant Chasm (Entrance)
giants-bed,giants-bed,Giant's Bed
giants-bed-den-on-curve-near-river-to-ballimere-lake-common,giants-bed,Giant's Bed (Den A - On curve near river to Ballimere Lake - Common)
giants-bed-den-on-curve-near-river-to-ballimere-lake-rare,giants-bed,Giant's Bed (Den A - On curve near river to Ballimere Lake - Rare)
giants-bed-den-on-edge-eastern-cliff-overlooking-pond-common,giants-bed,"Giant's Bed (Den B - On edge, eastern cliff overlooking pond - Common)"
giants-bed-den-on-edge-eastern-cliff-overlooking-pond-rare,giants-bed,"Giant's Bed (Den B - On edge, eastern cliff overlooking pond - Rare)"
giants-bed-den-on-edge-southernmost-tip-of-peninsula-common,giants-bed,"Giant's Bed (Den C - On edge, southernmost tip of peninsula - Common)"
giants-bed-den-on-edge-southernmost-tip-of-peninsula-rare,giants-bed,"Giant's Bed (Den C - On edge, southernmost tip of peninsula - Rare)"
giants-bed-den-on-edge-western-cliff-overlooking-cemetery-common,giants-bed,"Giant's Bed (Den D - On edge, western cliff overlooking cemetery - Common)"
giants-bed-den-on-edge-western-cliff-overlooking-cemetery-rare,giants-bed,"Giant's Bed (Den D - On edge, western cliff overlooking cemetery - Rare)"
giants-bed-den-on-path-eastern-route-to-giants-foot-common,giants-bed,"Giant's Bed (Den E - On path, eastern route to Giant's Foot - Common)"
giants-bed-den-on-path-eastern-route-to-giants-foot-rare,giants-bed,"Giant's Bed (Den E - On path, eastern route to Giant's Foot - Rare)"
giants-bed-den-on-path-leading-into-giants-foot-common,giants-bed,Giant's Bed (Den F - On path leading into Giant's Foot - Common)
giants-bed-den-on-path-leading-into-giants-foot-rare,giants-bed,Giant's Bed (Den F - On path leading into Giant's Foot - Rare)
giants-bed-den-on-ridge-southern-side-of-ballimere-lake-common,giants-bed,"Giant's Bed (Den G - On ridge, southern side of Ballimere Lake - Common)"
giants-bed-den-on-ridge-southern-side-of-ballimere-lake-rare,giants-bed,"Giant's Bed (Den G - On ridge, southern side of Ballimere Lake - Rare)"
giants-bed-den-on-ridge-southwest-of-frostpoint-field-common,giants-bed,"Giant's Bed (Den H - On ridge, southwest of Frostpoint Field - Common)"
giants-bed-den-on-ridge-southwest-of-frostpoint-field-rare,giants-bed,"Giant's Bed (Den H - On ridge, southwest of Frostpoint Field - Rare)"
giants-bed-den-on-ridge-western-cliff-near-frostpoint-field-common,giants-bed,"Giant's Bed (Den I - On ridge, western cliff near Frostpoint Field - Common)"
giants-bed-den-on-ridge-western-cliff-near-frostpoint-field-rare,giants-bed,"Giant's Bed (Den I - On ridge, western cliff near Frostpoint Field - Rare)"
giants-bed-den-on-ruins-north-of-central-monument-common,giants-bed,"Giant's Bed (Den J - On ruins, north of central monument - Common)"
giants-bed-den-on-ruins-north-of-central-monument-rare,giants-bed,"Giant's Bed (Den J - On ruins, north of central monument - Rare)"
giants-bed-den-on-ruins-north-of-old-cemetery-common,giants-bed,"Giant's Bed (Den K - On ruins, north of Old Cemetery - Common)"
giants-bed-den-on-ruins-north-of-old-cemetery-rare,giants-bed,"Giant's Bed (Den K - On ruins, north of Old Cemetery - Rare)"
giants-bed-den-on-ruins-southeast-of-central-monument-common,giants-bed,"Giant's Bed (Den L - On ruins, southeast of central monument - Common)"
giants-bed-den-on-ruins-southeast-of-central-monument-rare,giants-bed,"Giant's Bed (Den L - On ruins, southeast of central monument - Rare)"
giants-bed-den-on-ruins-southern-side-near-monuments-common,giants-bed,"Giant's Bed (Den M - On ruins, southern side near monuments - Common)"
giants-bed-den-on-ruins-southern-side-near-monuments-rare,giants-bed,"Giant's Bed (Den M - On ruins, southern side near monuments - Rare)"
giants-bed-den-on-ruins-western-side-near-buildings-common,giants-bed,"Giant's Bed (Den N - On ruins, western side near buildings - Common)"
giants-bed-den-on-ruins-western-side-near-buildings-rare,giants-bed,"Giant's Bed (Den N - On ruins, western side near buildings - Rare)"
giants-bed-den-on-shore-eastern-cliffside-above-ballimere-lake-common,giants-bed,"Giant's Bed (Den O - On shore, eastern cliffside above Ballimere Lake - Common)"
giants-bed-den-on-shore-eastern-cliffside-above-ballimere-lake-rare,giants-bed,"Giant's Bed (Den O - On shore, eastern cliffside above Ballimere Lake - Rare)"
giants-bed-den-on-shore-west-side-of-ballimere-lake-common,giants-bed,"Giant's Bed (Den P - On shore, west side of Ballimere Lake - Common)"
giants-bed-den-on-shore-west-side-of-ballimere-lake-rare,giants-bed,"Giant's Bed (Den P - On shore, west side of Ballimere Lake - Rare)"
giants-bed-den-on-slope-eastern-ridge-snowslide-slope-common,giants-bed,"Giant's Bed (Den Q - On slope, eastern ridge of Snowslide Slope - Common)"
giants-bed-den-on-slope-eastern-ridge-snowslide-slope-rare,giants-bed,"Giant's Bed (Den Q - On slope, eastern ridge of Snowslide Slope - Rare)"
giants-bed-den-on-slope-midpoint-snowslide-slope-above-pond-common,giants-bed,"Giant's Bed (Den R - On slope, midpoint of Snowslide Slope above pond - Common)"
giants-bed-den-on-slope-midpoint-snowslide-slope-above-pond-rare,giants-bed,"Giant's Bed (Den R - On slope, midpoint of Snowslide Slope above pond - Rare)"
giants-bed-den-on-slope-near-pond-east-of-snowslide-slope-common,giants-bed,"Giant's Bed (Den S - On slope, near pond east of Snowslide Slope - Common)"
giants-bed-den-on-slope-near-pond-east-of-snowslide-slope-rare,giants-bed,"Giant's Bed (Den S - On slope, near pond east of Snowslide Slope - Rare)"
giants-bed-den-on-slope-northernmost-tip-snowslide-slope-common,giants-bed,"Giant's Bed (Den T - On slope, northernmost tip of Snowslide Slope - Common)"
giants-bed-den-on-slope-northernmost-tip-snowslide-slope-rare,giants-bed,"Giant's Bed (Den T - On slope, northernmost tip of Snowslide Slope - Rare)"
giants-bed-den-on-tip-end-of-southern-peninsula-common,giants-bed,Giant's Bed (Den U - On tip end of southern peninsula - Common)
giants-bed-den-on-tip-end-of-southern-peninsula-rare,giants-bed,Giant's Bed (Den U - On tip end of southern peninsula - Rare)
giants-bed-den-special-den,giants-bed,Giant's Bed (Special den)
giants-cap,giants-cap,Giant's Cap
giants-cap-clifftop-patch,giants-cap,Giant's Cap (Clifftop patch of grass)
giants-cap-den-center-of-giants-cap-common,giants-cap,Giant's Cap (Den A - Center of Giant's Cap - Common)
giants-cap-den-center-of-giants-cap-rare,giants-cap,Giant's Cap (Den A - Center of Giant's Cap - Rare)
giants-cap-den-northeast-end-of-giants-cap-common,giants-cap,Giant's Cap (Den B - Northeast end of Giant's Cap - Common)
giants-cap-den-northeast-end-of-giants-cap-rare,giants-cap,Giant's Cap (Den B - Northeast end of Giant's Cap - Rare)
giants-cap-den-northwest-of-giants-cap-near-path-common,giants-cap,Giant's Cap (Den C - Northwest of Giant's Cap near path - Common)
