move,name_en,name_ja,name_ja_hrkt,name_ja_roma,name_fr,name_de,name_es,name_es_419,name_it,name_ko,name_ko_latn,name_zh_hant,name_zh_hans,name_zh_latn
ancient-power,Ancient Power,げんしのちから,げんしのちから,Genshi no Chikara,Pouvoir Antique,Antik-Kraft,Poder Pasado,Poder Antiguo,Forzantica,원시의힘,Wonsi-ui Him,原始之力,原始之力,Yuánshǐ-zhī Lì / Yùhnchí-jī Lihk
shadow-ball,Shadow Ball,シャドーボール,シャドーボール,Shadō Bōru,Ball’Ombre,Spukball,Bola Sombra,Bola Sombra,Palla Ombra,섀도볼,Shadow Ball,暗影球,暗影球,Ànyǐng Qiú / Amyíng Kàuh
future-sight,Future Sight,みらいよち,みらいよち,Mirai Yochi,Prescience,Seher,Premonición,Premonición,Divinazione,미래예지,Mirae Yeoji,預知未來,预知未来,Yùzhī Wèilái / Yuhjī Meihlòih
rock-smash,Rock Smash,いわくだき,いわくだき,Iwakudaki,Éclate-Roc,Zertrümmerer,Golpe Roca,Golpe Roca,Spaccaroccia,바위깨기,Bawi Kkaegi,碎岩,碎岩,Suìyán / Seuingàahm
whirlpool,Whirlpool,うずしお,うずしお,Uzushio,Siphon,Whirlpool,Torbellino,Remolino,Mulinello,바다회오리,Bada Hoe'ori,潮旋,潮旋,Cháoxuán / Chìuhsyùhn
beat-up,Beat Up,ふくろだたき,ふくろだたき,Fukurodataki,Baston,Prügler,Paliza,Paliza,Picchiaduro,집단구타,Jipdan Guta,圍攻,围攻,Wéigōng / Wàihgūng
fake-out,Fake Out,ねこだまし,ねこだまし,Nekodamashi,Bluff,Mogelhieb,Sorpresa,Sorpresa,Bruciapelo,속이기,Sok'ida,擊掌奇襲,击掌奇袭,Jīzhǎng Qíxí / Gīkjéung Kèihjaahp
uproar,Uproar,さわぐ,さわぐ,Sawagu,Brouhaha,Aufruhr,Alboroto,Alboroto,Baraonda,소란피기,Soranpigi,吵鬧,吵闹,Chǎonào / Cháaunaauh
stockpile,Stockpile,たくわえる,たくわえる,Takuwaeru,Stockage,Horter,Reserva,Reserva,Accumulo,비축하기,Bichukhagi,蓄力,蓄力,Xùlì / Chūklihk
spit-up,Spit Up,はきだす,はきだす,Hakidasu,Relâche,Entfessler,Escupir,Escupida,Sfoghenergia,토해내기,Tohaenaegi,噴出,喷出,Pēnchū / Panchēut
swallow,Swallow,のみこむ,のみこむ,Nomikomu,Avale,Verzehrer,Tragar,Tragar,Introenergia,꿀꺽,Kkulkkeok,吞下,吞下,Tūnxià / Tānhah
heat-wave,Heat Wave,ねっぷう,ねっぷう,Neppū,Canicule,Hitzewelle,Onda Ígnea,Onda Ígnea,Ondacalda,열풍,Yeolpung,熱風,热风,Rèfēng / Yihtfūng
hail,Hail,あられ,あられ,Arare,Grêle,Hagelsturm,Granizo,Granizo,Grandine,싸라기눈,Ssaragi Nun,冰雹,冰雹,Bīngbáo / Bīngbohk
torment,Torment,いちゃもん,いちゃもん,Ichamon,Tourmente,Folterknecht,Tormento,Tormento,Attaccalite,트집,Teujip,無理取鬧,无理取闹,Wúlǐqǔnào / Mòuhléihchéuinaauh
flatter,Flatter,おだてる,おだてる,Odateru,Flatterie,Schmeichler,Camelo,Halago,Adulazione,부추기기,Buchugigi,吹捧,吹捧,Chuīpěng / Chēuipúng
will-o-wisp,Will-O-Wisp,おにび,おにび,Onibi,Feu Follet,Irrlicht,Fuego Fatuo,Fuego Fatuo,Fuocofatuo,도깨비불,Dokkaebi Bul,鬼火,鬼火,Guǐhuǒ / Gwáifó
memento,Memento,おきみやげ,おきみやげ,Okimiyage,Souvenir,Memento-Mori,Legado,Recuerdo,Memento,추억의선물,Chueok-yi Seonmul,臨別禮物,临别礼物,Línbié Lǐwù / Làhmbiht Láihmaht
facade,Facade,からげんき,からげんき,Karagenki,Façade,Fassade,Fachada,Fachada,Facciata,객기,Gaekgi,硬撐,硬撑,Yìngchēng / Ngaahngchāang
focus-punch,Focus Punch,きあいパンチ,きあいパンチ,Kiai Panchi,Mitra-Poing,Power-Punch,Puño Certero,Puño Centrado,Centripugno,힘껏펀치,Himkkeot Punch,真氣拳,真气拳,Zhēnqì Quán / Jānhei Kyùhn
smelling-salts,Smelling Salts,きつけ,きつけ,Kitsuke,Stimulant,Riechsalz,Estímulo,Estímulo,Maniereforti,정신차리기,Jeongsin Charigi,清醒,清醒,Qīngxǐng / Chīngsíng
follow-me,Follow Me,このゆびとまれ,このゆびとまれ,Kono Yubi Tomare,Par Ici,Spotlight,Señuelo,Señuelo,Sonoqui,날따름,Nalttareum,看我嘛,看我嘛,Kànwǒ Ma / Honngóh Ma
nature-power,Nature Power,しぜんのちから,しぜんのちから,Shizen no Chikara,Force Nature,Natur-Kraft,Adaptación,Adaptación,Naturforza,자연의힘,Jayeon-yi Him,自然之力,自然之力,Zìrán-zhī Lì / Jihyìhn-jī Lihk
charge,Charge,じゅうでん,じゅうでん,Jūden,Chargeur,Ladevorgang,Carga,Carga,Sottocarica,충전,Chungjeon,充電,充电,Chōngdiàn / Chūngdihn
taunt,Taunt,ちょうはつ,ちょうはつ,Chōhatsu,Provoc,Verhöhner,Mofa,Provocación,Provocazione,도발,Dobal,挑釁,挑衅,Tiǎoxìn / Tīuyahn
helping-hand,Helping Hand,てだすけ,てだすけ,Tedasuke,Coup d’Main,Rechte Hand,Refuerzo,Refuerzos,Altruismo,도우미,Doumi,幫助,帮助,Bāngzhù / Bōngjoh
trick,Trick,トリック,トリック,Torikku,Tour de Magie,Trickbetrug,Truco,Truco,Raggiro,트릭,Trick,戲法,戏法,Xìfǎ / Heifaat
role-play,Role Play,なりきり,なりきり,Narikiri,Imitation,Rollenspiel,Imitación,Imitación,Giocodiruolo,역할,Yeokhal,扮演,扮演,Bànyǎn / Baahnyín
wish,Wish,ねがいごと,ねがいごと,Negaigoto,Vœu,Wunschtraum,Deseo,Deseo,Desiderio,희망사항,Hyimang Sahang,祈願,祈愿,Qíyuàn / Kèihyuhn
assist,Assist,ねこのて,ねこのて,Neko no Te,Assistance,Zuschuss,Ayuda,Ayuda,Assistente,조수,Josu,借助,借助,Jièzhù / Jejoh
ingrain,Ingrain,ねをはる,ねをはる,Ne o Haru,Racines,Verwurzler,Arraigo,Arraigo,Radicamento,뿌리박기,Ppuri Bakgi,扎根,扎根,Zhágēn / Jaatgān
superpower,Superpower,ばかぢから,ばかぢから,Bakajikara,Surpuissance,Kraftkoloss,Fuerza Bruta,Fuerza Bruta,Troppoforte,엄청난힘,Eomcheongnan Him,蠻力,蛮力,Mánlì / Màahnlihk
magic-coat,Magic Coat,マジックコート,マジックコート,Majikku Kōto,Reflet Magik,Magiemantel,Capa Mágica,Capa Mágica,Magivelo,매직코트,Magic Coat,魔法反射,魔法反射,Mófǎ Fǎnshè / Mōfaat Fáanseh
recycle,Recycle,リサイクル,リサイクル,Risaikuru,Recyclage,Aufbereitung,Reciclaje,Reciclaje,Riciclo,리사이클,Recycle,回收利用,回收利用,Huíshōu Lìyòng / Wùihsāu Leihyuhng
revenge,Revenge,リベンジ,リベンジ,Ribenji,Vendetta,Vergeltung,Desquite,Desquite,Vendetta,리벤지,Revenge,報復,报复,Bàofù / Boufuhk
brick-break,Brick Break,かわらわり,かわらわり,Kawarawari,Casse-Brique,Durchbruch,Demolición,Karatazo,Breccia,깨뜨리다,Kkaeteurida,劈瓦,劈瓦,Pīwǎ / Pekngáh
yawn,Yawn,あくび,あくび,Akubi,Bâillement,Gähner,Bostezo,Bostezo,Sbadiglio,하품,Hapum,哈欠,哈欠,Hāqian / Hāhim
knock-off,Knock Off,はたきおとす,はたきおとす,Hataki Otosu,Sabotage,Abschlag,Desarme,Desarme,Privazione,탁쳐서떨구기,Takchyeoseo Tteolgugi,拍落,拍落,Pāiluò / Paaklohk
endeavor,Endeavor,がむしゃら,がむしゃら,Gamushara,Effort,Notsituation,Esfuerzo,Esfuerzo,Rimonta,죽기살기,Jukgisalgi,蠻幹,蛮干,Mángàn / Màahngon
eruption,Eruption,ふんか,ふんか,Funka,Éruption,Eruption,Estallido,Estallido,Eruzione,분화,Bunhwa,噴火,喷火,Pēnhuǒ / Panfó
skill-swap,Skill Swap,スキルスワップ,スキルスワップ,Sukiru Suwappu,Échange,Fähigkeitstausch,Intercambio,Intercambio,Baratto,스킬스왑,Skill Swap,特性互換,特性互换,Tèxìng Hùhuàn / Dahksing Wuhwuhn
imprison,Imprison,ふういん,ふういん,Fūin,Possessif,Begrenzer,Sellar,Sellar,Esclusiva,봉인,Bong'in,封印,封印,Fēngyìn / Fūngyan
refresh,Refresh,リフレッシュ,リフレッシュ,Rifuresshu,Régénération,Heilung,Alivio,Alivio,Rinfrescata,리프레시,Refresh,煥然一新,焕然一新,Huànrányīxīn / Wuhnyìhnyātsān
grudge,Grudge,おんねん,おんねん,Onnen,Rancune,Nachspiel,Rabia,Rabia,Rancore,원념,Wonnyeom,怨念,怨念,Yuànniàn / Yunnihm
snatch,Snatch,よこどり,よこどり,Yokodori,Saisie,Übernahme,Robo,Robo,Scippo,가로채기,Garochaem,搶奪,抢夺,Qiǎngduó / Chéungdyuht
secret-power,Secret Power,ひみつのちから,ひみつのちから,Himitsu no Chikara,Force Cachée,Geheimpower,Daño Secreto,Poder Secreto,Forzasegreta,비밀의힘,Bimil-yi Him,秘密之力,秘密之力,Mìmì-zhī Lì / Beimaht-jī Lihk
dive,Dive,ダイビング,ダイビング,Daibingu,Plongée,Taucher,Buceo,Buceo,Sub,다이빙,Diving,潛水,潜水,Qiánshuǐ / Chìhmséui
arm-thrust,Arm Thrust,つっぱり,つっぱり,Tsuppari,Cogne,Armstoß,Empujón,Empujón,Sberletese,손바닥치기,Sonbadak Chigi,猛推,猛推,Měngtuī / Máahngtēui
camouflage,Camouflage,ほごしょく,ほごしょく,Hogoshoku,Camouflage,Tarnung,Camuflaje,Camuflaje,Camuffamento,보호색,Bohosaek,保護色,保护色,Bǎohù Sè / Bóuwuh Sīk
tail-glow,Tail Glow,ほたるび,ほたるび,Hotarubi,Lumi-Queue,Schweifglanz,Luminicola,Luminicola,Codadiluce,반딧불,Banditbul,螢火,萤火,Yínghuǒ / Yìhngfó
luster-purge,Luster Purge,ラスターパージ,ラスターパージ,Rasutā Pāji,Lumi-Éclat,Scheinwerfer,Resplandor,Resplandor,Abbagliante,러스터퍼지,Luster Purge,潔淨光芒,洁净光芒,Jiéjìng Guāngmáng / Gitjihng Gwōngmòhng
mist-ball,Mist Ball,ミストボール,ミストボール,Misuto Bōru,Ball’Brume,Nebelball,Bola Neblina,Bola Neblina,Foschisfera,미스트볼,Mist Ball,薄霧球,薄雾球,Bówù Qiú / Bohkmouh Kàuh
feather-dance,Feather Dance,フェザーダンス,フェザーダンス,Fezā Dansu,Danse Plumes,Daunenreigen,Danza Pluma,Danza de Plumas,Danzadipiume,깃털댄스,Git'teol Dance,羽毛舞,羽毛舞,Yǔmáo Wǔ / Yúhmòuh Móuh
teeter-dance,Teeter Dance,フラフラダンス,フラフラダンス,Furafura Dansu,Danse Folle,Taumeltanz,Danza Caos,Danza del Caos,Strampadanza,흔들흔들댄스,Heundeulheundeul Dance,搖晃舞,摇晃舞,Yáohuàng Wǔ / Yìuhfóng Móuh
blaze-kick,Blaze Kick,ブレイズキック,ブレイズキック,Bureizu Kikku,Pied Brûleur,Feuerfeger,Patada Ígnea,Patada Ígnea,Calciardente,블레이즈킥,Blaze Kick,火焰踢,火焰踢,Huǒyàn Tī / Fóyihm Tek
mud-sport,Mud Sport,どろあそび,どろあそび,Doro Asobi,Lance-Boue,Lehmsuhler,Chapoteo Lodo,Chapoteo de Lodo,Fangata,흙놀이,Heulk Nol-i,玩泥巴,玩泥巴,Wán Níbā / Wáan Nàihbā
ice-ball,Ice Ball,アイスボール,アイスボール,Aisu Bōru,Ball’Glace,Frostbeule,Bola Hielo,Bola Hielo,Palla Gelo,아이스볼,Ice Ball,冰球,冰球,Bīngqiú / Bīngkàuh
needle-arm,Needle Arm,ニードルアーム,ニードルアーム,Nīdoru Āmu,Poing Dard,Nietenranke,Brazo Pincho,Brazo Aguja,Pugnospine,바늘팔,Bineul Pal,尖刺臂,尖刺臂,Jiāncì Bì / Jīmchi Bei
slack-off,Slack Off,なまける,なまける,Namakeru,Paresse,Tagedieb,Relajo,Relajar,Pigro,게으름피우기,Taemanham,偷懶,偷懒,Tōulǎn / Tāuláahn
hyper-voice,Hyper Voice,ハイパーボイス,ハイパーボイス,Haipā Boisu,Mégaphone,Schallwelle,Vozarrón,Hipervoz,Granvoce,하이퍼보이스,Hyper Voice,巨聲,巨声,Jùshēng / Geuihsīng
poison-fang,Poison Fang,どくどくのキバ,どくどくのキバ,Dokudoku no Kiba,Crochet Venin,Giftzahn,Colmillo Veneno,Colmillo Veneno,Velenodenti,맹독엄니,Dok Eomni,劇毒牙,剧毒牙,Jùdú Yá / Kehkduhk Ngàh
crush-claw,Crush Claw,ブレイククロー,ブレイククロー,Bureiku Kurō,Éclate Griffe,Zermalmklaue,Garra Brutal,Garra Brutal,Tritartigli,브레이크클로,Break Claw,撕裂爪,撕裂爪,Sīliè Zhuǎ / Sīliht Jáau
blast-burn,Blast Burn,ブラストバーン,ブラストバーン,Burasuto Bān,Rafale Feu,Lohekanonade,Anillo Ígneo,Anillo de Fuego,Incendio,블라스트번,Blast Burn,爆炸烈焰,爆炸烈焰,Bàozhà Lièyàn / Baauja Lihtyihm
hydro-cannon,Hydro Cannon,ハイドロカノン,ハイドロカノン,Haidoro Kyanon,Hydroblast,Aquahaubitze,Hidrocañón,Hidrocañón,Idrocannone,하이드로캐논,Hydrocannon,加農水炮,加农水炮,Jiānóng Shuǐpào / Gānùhng Séuipaau
meteor-mash,Meteor Mash,コメットパンチ,コメットパンチ,Kometto Panchi,Poing Météore,Sternenhieb,Puño Meteoro,Puño Meteoro,Meteorpugno,코멧펀치,Comet Punch,彗星拳,彗星拳,Huìxīng Quán / Waihsīng Kyùhn
astonish,Astonish,おどろかす,おどろかす,Odorokasu,Étonnement,Erstauner,Impresionar,Impresión,Sgomento,놀래키기,Nollaekigi,驚嚇,惊吓,Jīngxià / Gēnghaak
weather-ball,Weather Ball,ウェザーボール,ウェザーボール,Uezā Bōru,Ball’Météo,Meteorologe,Meteorobola,Meteorobola,Palla Clima,웨더볼,Weather Ball,氣象球,气象球,Qìxiàng Qiú / Heijeuhng Kàuh
aromatherapy,Aromatherapy,アロマセラピー,アロマセラピー,Aromaserapī,Aromathérapie,Aromakur,Aromaterapia,Aromaterapia,Aromaterapia,아로마테라피,Aromatherapy,芳香治療,芳香治疗,Fāngxiāng Zhìliáo / Fōnghēung Jihlìuh
fake-tears,Fake Tears,うそなき,うそなき,Uso Naki,Croco Larme,Trugträne,Llanto Falso,Llanto Falso,Falselacrime,거짓울음,Geojit Ul'eum,假哭,假哭,Jiǎkū / Gáhūk
air-cutter,Air Cutter,エアカッター,エアカッター,Ea Kattā,Tranch’Air,Windschnitt,Aire Afilado,Aire Cortante,Aerasoio,에어커터,Air Cutter,空氣利刃,空气利刃,Kōngqì Lìrèn / Hūnghei Leihyahn
overheat,Overheat,オーバーヒート,オーバーヒート,Ōbāhīto,Surchauffe,Hitzekoller,Sofoco,Supercalor,Vampata,오버히트,Overheat,過熱,过热,Guòrè / Gwoyiht
odor-sleuth,Odor Sleuth,かぎわける,かぎわける,Kagiwakeru,Flair,Schnüffler,Rastreo,Rastreo,Segugio,냄새구별,Naemsae Gubyeol,氣味偵測,气味侦测,Qìwèi Zhēncè / Heimeih Jīngchāk
rock-tomb,Rock Tomb,がんせきふうじ,がんせきふうじ,Ganseki Fūji,Tomberoche,Felsgrab,Tumba Rocas,Tumba de Rocas,Rocciotomba,암석봉인,Amseok Bong'in,岩石封鎖,岩石封锁,Yánshí Fēngsuǒ / Ngàahmsehk Fūngsó
silver-wind,Silver Wind,ぎんいろのかぜ,ぎんいろのかぜ,Gin'iro no Kaze,Vent Argenté,Silberhauch,Viento Plata,Viento Plateado,Ventargenteo,은빛바람,Eunbit Baram,銀色旋風,银色旋风,Yínsè Xuànfēng / Ngàhnsīk Syùhnfūng
metal-sound,Metal Sound,きんぞくおん,きんぞくおん,Kinzoku On,Strido-Son,Metallsound,Eco Metálico,Sonido Metálico,Ferrostrido,금속음,Geumsok Eum,金屬音,金属音,Jīnshǔ Yīn / Gāmsuhk Yām
grass-whistle,Grass Whistle,くさぶえ,くさぶえ,Kusabue,Siffl’Herbe,Grasflöte,Silbato,Silbato de Hoja,Meloderba,풀피리,Pul Piri,草笛,草笛,Cǎodí / Chóudehk
tickle,Tickle,くすぐる,くすぐる,Kusuguru,Chatouille,Spaßkanone,Cosquillas,Cosquillas,Solletico,간지르기,Ganjireugi,搔癢,挠痒,Náoyǎng / Nàauhyéuhng
cosmic-power,Cosmic Power,コスモパワー,コスモパワー,Kosumo Pawā,Force Cosmique,Kosmik-Kraft,Masa Cósmica,Masa Cósmica,Cosmoforza,코스믹파워,Cosmic Power,宇宙力量,宇宙力量,Yǔzhòu Lìliàng / Yúhjauh Lihkleuhng
water-spout,Water Spout,しおふき,しおふき,Shiofuki,Giclédo,Fontränen,Salpicar,Columna de Agua,Zampillo,해수스파우팅,Haesu Spouting,噴水,喷水,Pēnshuǐ / Panséui
signal-beam,Signal Beam,シグナルビーム,シグナルビーム,Shigunaru Bīmu,Rayon Signal,Ampelleuchte,Rayo Señal,Rayo Señal,Segnoraggio,시그널빔,Signal Beam,信號光束,信号光束,Xìnhào Guāngshù / Seunhouh Gwōngchūk
shadow-punch,Shadow Punch,シャドーパンチ,シャドーパンチ,Shadō Panchi,Poing Ombre,Finsterfaust,Puño Sombra,Puño Sombra,Pugnodombra,섀도펀치,Shadow Punch,暗影拳,暗影拳,Ànyǐng Quán / Amyíng Kyùhn
extrasensory,Extrasensory,じんつうりき,じんつうりき,Jintsūriki,Extrasenseur,Sondersensor,Paranormal,Extrasensorial,Extrasenso,신통력,Sintongryeok,神通力,神通力,Shéntōnglì / Sàhntūnglihk
sky-uppercut,Sky Uppercut,スカイアッパー,スカイアッパー,Sukai Appā,Stratopercut,Himmelhieb,Gancho Alto,Corte Elevado,Stramontante,스카이어퍼,Sky Upper,衝天拳,冲天拳,Chōngtiān Quán / Chūngtīn Kyùhn
sand-tomb,Sand Tomb,すなじごく,すなじごく,Suna Jigoku,Tourbi-Sable,Sandgrab,Bucle Arena,Tumba de Arena,Sabbiotomba,모래지옥,Morae Jiok,流沙地獄,流沙地狱,Liúshā Dìyù / Làuhsā Deihyuhk
sheer-cold,Sheer Cold,ぜったいれいど,ぜったいれいど,Zettai Reido,Glaciation,Eiseskälte,Frío Polar,Frío Extremo,Purogelo,절대영도,Jeoldae Yeongdo,絕對零度,绝对零度,Juéduì Língdù / Jyuhtdeui Lìhngdouh
muddy-water,Muddy Water,だくりゅう,だくりゅう,Dakuryū,Ocroupi,Lehmbrühe,Agua Lodosa,Agua Lodosa,Fanghiglia,탁류,Taklyu,濁流,浊流,Zhuóliú / Juhklàuh
bullet-seed,Bullet Seed,タネマシンガン,タネマシンガン,Tane Mashin Gan,Balle Graine,Kugelsaat,Semilladora,Bala Semilla,Semitraglia,씨기관총,Gigwanchong,種子機關槍,种子机关枪,Zhǒngzǐ Jīguānqiāng / Júngjí Gēigwāanchēung
aerial-ace,Aerial Ace,つばめがえし,つばめがえし,Tsubame Gaeshi,Aéropique,Aero-Ass,Golpe Aéreo,As Aéreo,Aeroassalto,제비반환,Jebi Banhwan,燕返,燕返,Yànfǎn / Yinfáan
icicle-spear,Icicle Spear,つららばり,つららばり,Tsurara Bari,Stalactite,Eisspeer,Carámbano,Lanza de Hielo,Gelolancia,고드름침,Godoreum Chim,冰錐,冰锥,Bīngzhuī / Bīngjēui
iron-defense,Iron Defense,てっぺき,てっぺき,Teppeki,Mur de Fer,Eisenabwehr,Defensa Férrea,Defensa de Hierro,Ferroscudo,철벽,Cheolbyeok,鐵壁,铁壁,Tiěbì / Titbīk
block,Block,とおせんぼう,とおせんぼう,Tōsenbō,Barrage,Rückentzug,Bloqueo,Bloqueo,Blocco,블록,Block,擋路,挡路,Dǎnglù / Dónglouh
howl,Howl,とおぼえ,とおぼえ,Tōboe,Grondement,Jauler,Aullido,Aullido,Gridodilotta,멀리짖기,Meolli Jit'eum,長嚎,长嚎,Chángháo / Chèuhnghòuh
dragon-claw,Dragon Claw,ドラゴンクロー,ドラゴンクロー,Doragon Kurō,Draco-Griffe,Drachenklaue,Garra Dragón,Garra Dragón,Dragartigli,드래곤클로,Dragon Claw,龍爪,龙爪,Lóngzhuǎ / Lùhngjáau
frenzy-plant,Frenzy Plant,ハードプラント,ハードプラント,Hādo Puranto,Végé-Attaque,Flora-Statue,Planta Feroz,Planta Feroz,Radicalbero,하드플랜트,Hard Plant,瘋狂植物,疯狂植物,Fēngkuáng Zhíwù / Fūngkòhng Jihkmaht
bulk-up,Bulk Up,ビルドアップ,ビルドアップ,Birudo Appu,Gonflette,Protzer,Corpulencia,Corpulencia,Granfisico,벌크업,Build-Up,健美,健美,Jiànměi / Gihnméih
bounce,Bounce,とびはねる,とびはねる,Tobihaneru,Rebond,Sprungfeder,Bote,Rebote,Rimbalzo,뛰어오르기,Ttwieooreuda,彈跳,弹跳,Tántiào / Daahntiu
mud-shot,Mud Shot,マッドショット,マッドショット,Maddo Shotto,Tir de Boue,Lehmschuss,Disparo Lodo,Disparo de Lodo,Colpodifango,머드샷,Mud Shot,泥巴射擊,泥巴射击,Níbā Shèjí / Nàihbā Sehgīk
poison-tail,Poison Tail,ポイズンテール,ポイズンテール,Poizun Tēru,Queue-Poison,Giftschweif,Cola Veneno,Cola Venenosa,Velenocoda,포이즌테일,Poison Tail,毒尾,毒尾,Dúyǐ/Dúwěi / Duhkméih
covet,Covet,ほしがる,ほしがる,Hoshigaru,Implore,Bezirzer,Antojo,Antojo,Supplica,탐내다,Tamnaeda,渴望,渴望,Kěwàng / Hotmohng
volt-tackle,Volt Tackle,ボルテッカー,ボルテッカー,Borutekkā,Électacle,Volttackle,Placaje Eléctrico,Tacleada de Voltios,Locomovolt,볼트태클,Volt Tackle,伏特攻擊,伏特攻击,Fútè Gōngjí / Fuhkdahk Gūnggīk
magical-leaf,Magical Leaf,マジカルリーフ,マジカルリーフ,Majikaru Rīfu,Feuille Magik,Zauberblatt,Hoja Mágica,Hojas Mágicas,Fogliamagica,매지컬리프,Magical Leaf,魔法葉,魔法叶,Mófǎ Yè / Mōfaat Yihp
water-sport,Water Sport,みずあそび,みずあそび,Mizu Asobi,Tourniquet,Nassmacher,Hidrochorro,Chapoteo de Agua,Docciascudo,물놀이,Mul Nol-i,玩水,玩水,Wánshuǐ / Wáanséui
calm-mind,Calm Mind,めいそう,めいそう,Meisō,Plénitude,Gedankengut,Paz Mental,Paz Mental,Calmamente,명상,Myeongsong,冥想,冥想,Míngxiǎng / Míhngséung
leaf-blade,Leaf Blade,リーフブレード,リーフブレード,Rīfu Bureido,Lame Feuille,Laubklinge,Hoja Aguda,Hoja Aguda,Fendifoglia,리프블레이드,Leaf Blade,葉刃,叶刃,Yèrèn / Yihpyahn
dragon-dance,Dragon Dance,りゅうのまい,りゅうのまい,Ryū no Mai,Danse Draco,Drachentanz,Danza Dragón,Danza de Dragón,Dragodanza,용의춤,Yong-yi Chum,龍之舞,龙之舞,Lóng-zhī Wǔ / Lùhng-jī Móuh
rock-blast,Rock Blast,ロックブラスト,ロックブラスト,Rokku Burasuto,Boule Roc,Felswurf,Pedrada,Pedrada,Cadutamassi,록블라스트,Rock Blast,岩石爆擊,岩石爆击,Yánshí Bàojī / Ngàahmsehk Baaugīk
shock-wave,Shock Wave,でんげきは,でんげきは,Dengekiha,Onde de Choc,Schockwelle,Onda Voltio,Onda de Choque,Ondashock,전격파,Jeongyeokpa,電擊波,电击波,Diànjí Bō / Dihngīk Bō
water-pulse,Water Pulse,みずのはどう,みずのはどう,Mizu no Hadō,Vibraqua,Aquawelle,Hidropulso,Pulso de Agua,Idropulsar,물의파동,Mul-ui Padong,水之波動,水之波动,Shuǐ-zhī Bōdòng / Séui-jī Bōduhng
doom-desire,Doom Desire,はめつのねがい,はめつのねがい,Hametsu no Negai,Vœu Destructeur,Kismetwunsch,Deseo Oculto,Deseo Final,Obbliderio,파멸의소원,Pamyeol-ui Soweon,破滅之願,破灭之愿,Pòmiè-zhī Yuàn / Pomiht-jī Yuhn
psycho-boost,Psycho Boost,サイコブースト,サイコブースト,Saiko Būsuto,Psycho-Boost,Psyschub,Psicoataque,Psicoimpulso,Psicoslancio,사이코부스트,Psycho Boost,精神突進,精神突进,Jīngshén Tūjìn / Jīngsàhn Dahtjeun
roost,Roost,はねやすめ,はねやすめ,Hane Yasume,Atterrissage,Ruheort,Respiro,Respiro,Trespolo,날개쉬기,Nalgae Swigi,羽棲,羽栖,Yǔqī / Yúhchāi
gravity,Gravity,じゅうりょく,じゅうりょく,Jūryoku,Gravité,Erdanziehung,Gravedad,Gravedad,Gravità,중력,Jungryeok,重力,重力,Zhònglì / Chúhnglihk
miracle-eye,Miracle Eye,ミラクルアイ,ミラクルアイ,Mirakuru Ai,Œil Miracle,Wunderauge,Gran Ojo,Gran Ojo,Miracolvista,미라클아이,Miracle Eye,奇跡之眼,奇迹之眼,Qíjī-zhī Yǎn / Kèihjīk-jī Ngáahn
wake-up-slap,Wake-Up Slap,めざましビンタ,めざましビンタ,Mezamashi Binta,Réveil Forcé,Weckruf,Espabila,Despabilador,Svegliopacca,잠깨움뺨치기,Jamkkae'um Ppyamchigi,喚醒巴掌,唤醒巴掌,Huànxǐng Bāzhang / Wuhnsíng Bājéung
hammer-arm,Hammer Arm,アームハンマー,アームハンマー,Āmu Hanmā,Marto-Poing,Hammerarm,Machada,Brazo Martillo,Martelpugno,암해머,Arm Hammer,臂錘,臂锤,Bìchuí / Beichèuih
gyro-ball,Gyro Ball,ジャイロボール,ジャイロボール,Jairo Bōru,Gyroballe,Gyroball,Giro Bola,Giro Bola,Vortexpalla,자이로볼,Gyroball,陀螺球,陀螺球,Tuóluó Qiú / Tòhlòh Kàuh
healing-wish,Healing Wish,いやしのねがい,いやしのねがい,Iyashi no Negai,Vœu Soin,Heilopfer,Deseo Cura,Deseo Sanador,Curardore,치유소원,Chiyu Soweon,治癒之願,治愈之愿,Zhìyù-zhī Yuàn / Jihyuh-jī Yuhn
brine,Brine,しおみず,しおみず,Shiomizu,Saumure,Lake,Salmuera,Agua Salada,Acquadisale,소금물,Sogeummul,鹽水,盐水,Yánshuǐ / Yìhmséui
natural-gift,Natural Gift,しぜんのめぐみ,しぜんのめぐみ,Shizen no Megumi,Don Naturel,Beerenkräfte,Don Natural,Don Natural,Dononaturale,자연의은혜,Jayeon-yi Eunhae,自然之恩,自然之恩,Zìrán-zhī Ēn / Jihyìhn-jī Yān
feint,Feint,フェイント,フェイント,Feinto,Ruse,Offenlegung,Amago,Amago,Fintoattacco,페인트,Feint,佯攻,佯攻,Yánggōng / Yèuhnggūng
pluck,Pluck,ついばむ,ついばむ,Tsuibamu,Picore,Pflücker,Picoteo,Picoteo,Spennata,쪼아대기,Jjoadaegi,啄食,啄食,Zhuóshí / Deuksihk
tailwind,Tailwind,おいかぜ,おいかぜ,Oikaze,Vent Arrière,Rückenwind,Viento Afín,Viento Afín,Ventoincoda,순풍,Sunpung,順風,顺风,Shùnfēng / Seuhnfūng
acupressure,Acupressure,つぼをつく,つぼをつく,Tsubo o Tsuku,Acupression,Akupressur,Acupresión,Acupresión,Acupressione,경혈찌르기,Gyeonghyeol Jjireugi,點穴,点穴,Diǎnxuè / Diǎnxué / Dímyuht
