ability,name_en,name_ja,name_ja_hrkt,name_fr,name_de,name_es,name_es_419,name_it,name_ko,name_zh_hant,name_zh_hans,name_cs,name_pt_br
tough-claws,Tough Claws,かたいツメ,かたいツメ,Griffe Dure,Krallenwucht,Garra Dura,Garra Dura,Unghiedure,단단한발톱,硬爪,硬爪,,
pixilate,Pixilate,フェアリースキン,フェアリースキン,Peau Féérique,Feenschicht,Piel Feérica,Piel Feérica,Pellefolletto,페어리스킨,妖精皮膚,妖精皮肤,,
gooey,Gooey,ぬめぬめ,ぬめぬめ,Poisseux,Viskosität,Baba,Baba,Viscosità,미끈미끈,黏滑,黏滑,,
aerilate,Aerilate,スカイスキン,スカイスキン,Peau Céleste,Zenithaut,Piel Celeste,Piel Celeste,Pellecielo,스카이스킨,飛行皮膚,飞行皮肤,,
parental-bond,Parental Bond,おやこあい,おやこあい,Amour Filial,Familienbande,Amor Filial,Amor Filial,Amorefiliale,부자유친,親子愛,亲子爱,,
dark-aura,Dark Aura,ダークオーラ,ダークオーラ,Aura Ténébreuse,Dunkelaura,Aura Oscura,Aura Oscura,Auratetra,다크오라,暗黑氣場,暗黑气场,,
fairy-aura,Fairy Aura,フェアリーオーラ,フェアリーオーラ,Aura Féérique,Feenaura,Aura Feérica,Aura Feérica,Aurafolletto,페어리오라,妖精氣場,妖精气场,,
aura-break,Aura Break,オーラブレイク,オーラブレイク,Aura Inversée,Aura-Umkehr,Rompeaura,Rompeaura,Frangiaura,오라브레이크,氣場破壞,气场破坏,,
primordial-sea,Primordial Sea,はじまりのうみ,はじまりのうみ,Mer Primaire,Urmeer,Mar del Albor,Mar del Albor,Mare Primordiale,시작의바다,始源之海,始源之海,,
desolate-land,Desolate Land,おわりのだいち,おわりのだいち,Terre Finale,Endland,Tierra del Ocaso,Tierra del Ocaso,Terra Estrema,끝의대지,終結之地,终结之地,,
delta-stream,Delta Stream,デルタストリーム,デルタストリーム,Souffle Delta,Delta-Wind,Ráfaga Delta,Ráfaga Delta,Flusso Delta,델타스트림,德爾塔氣流,德尔塔气流,,
stamina,Stamina,じきゅうりょく,じきゅうりょく,Endurance,Zähigkeit,Firmeza,Firmeza,Sopportazione,지구력,持久力,持久力,,
wimp-out,Wimp Out,にげごし,にげごし,Escampette,Reißaus,Huida,Huida,Fuggifuggi,도망태세,躍躍欲逃,跃跃欲逃,,
emergency-exit,Emergency Exit,ききかいひ,ききかいひ,Repli Tactique,Rückzug,Retirada,Retirada,Passoindietro,위기회피,危險迴避,危险回避,,
water-compaction,Water Compaction,みずがため,みずがため,Sable Humide,Verklumpen,Hidrorrefuerzo,Hidrorrefuerzo,Idrorinforzo,꾸덕꾸덕굳기,遇水凝固,遇水凝固,,
merciless,Merciless,ひとでなし,ひとでなし,Cruauté,Quälerei,Ensañamiento,Ensañamiento,Spietatezza,무도한행동,不仁不義,不仁不义,,
shields-down,Shields Down,リミットシールド,リミットシールド,Bouclier-Carcan,Limitschild,Escudo Limitado,Escudo Limitado,Scudosoglia,리밋실드,界限盾殼,界限盾壳,,
stakeout,Stakeout,はりこみ,はりこみ,Filature,Beschattung,Vigilante,Vigilante,Sorveglianza,잠복,監視,蹲守,,
water-bubble,Water Bubble,すいほう,すいほう,Aquabulle,Wasserblase,Pompa,Acuaburbuja,Bolladacqua,수포,水泡,水泡,,
steelworker,Steelworker,はがねつかい,はがねつかい,Expert Acier,Stahlprofi,Acero Templado,Acero Templado,Tempracciaio,강철술사,鋼能力者,钢能力者,,
berserk,Berserk,ぎゃくじょう,ぎゃくじょう,Folle Furie,Wutausbruch,Cólera,Ira,Furore,발끈,怒火沖天,怒火冲天,,
slush-rush,Slush Rush,ゆきかき,ゆきかき,Chasse-Neige,Schneescharrer,Quitanieves,Quitanieves,Spalaneve,눈치우기,撥雪,拨雪,,
long-reach,Long Reach,えんかく,えんかく,Longue Portée,Langstrecke,Remoto,Remoto,Distacco,원격,遠隔,远隔,,
liquid-voice,Liquid Voice,うるおいボイス,うるおいボイス,Hydrata-Son,Plätscherstimme,Voz Fluida,Voz Fluida,Idrovoce,촉촉보이스,濕潤之聲,湿润之声,,
triage,Triage,ヒーリングシフト,ヒーリングシフト,Prioguérison,Heilwandel,Primer Auxilio,Primer Auxilio,Primacura,힐링시프트,先行治療,先行治疗,,
galvanize,Galvanize,エレキスキン,エレキスキン,Peau Électrique,Elektrohaut,Piel Eléctrica,Piel Eléctrica,Pellelettro,일렉트릭스킨,電氣皮膚,电气皮肤,,
surge-surfer,Surge Surfer,サーフテール,サーフテール,Surf Caudal,Surf-Schweif,Cola Surf,Cola Surf,Codasurf,서핑테일,衝浪之尾,冲浪之尾,,
schooling,Schooling,ぎょぐん,ぎょぐん,Banc,Fischschwarm,Banco,Banco,Banco,어군,魚群,鱼群,,
disguise,Disguise,ばけのかわ,ばけのかわ,Fantômasque,Kostümspuk,Disfraz,Disfraz,Fantasmanto,탈,畫皮,画皮,,
battle-bond,Battle Bond,きずなへんげ,きずなへんげ,Synergie,Freundschaftsakt,Fuerte Afecto,Fuerte Afecto,Morfosintonia,유대변화,牽絆變身,牵绊变身,,
power-construct,Power Construct,スワームチェンジ,スワームチェンジ,Rassemblement,Scharwandel,Agrupamiento,Agrupamiento,Sciamefusione,스웜체인지,群聚變形,群聚变形,,
corrosion,Corrosion,ふしょく,ふしょく,Corrosion,Korrosion,Corrosión,Corrosión,Corrosione,부식,腐蝕,腐蚀,,
comatose,Comatose,ぜったいねむり,ぜったいねむり,Hypersommeil,Dauerschlaf,Letargo Perenne,Letargo Perenne,Sonno Assoluto,절대안깸,絕對睡眠,绝对睡眠,,
queenly-majesty,Queenly Majesty,じょおうのいげん,じょおうのいげん,Prestance Royale,Majestät,Regia Presencia,Regia Presencia,Regalità,여왕의위엄,女王的威嚴,女王的威严,,
innards-out,Innards Out,とびだすなかみ,とびだすなかみ,Expuls’Organes,Magenkrempler,Revés,Revés,Espellinterno,내용물분출,飛出的內在物,飞出的内在物,,
dancer,Dancer,おどりこ,おどりこ,Danseuse,Tänzer,Pareja de Baile,Pareja de Baile,Sincrodanza,무희,舞者,舞者,,
battery,Battery,バッテリー,バッテリー,Batterie,Batterie,Batería,Batería,Batteria,배터리,蓄電池,蓄电池,,
fluffy,Fluffy,もふもふ,もふもふ,Boule de Poils,Flauschigkeit,Peluche,Peluche,Morbidone,복슬복슬,毛茸茸,毛茸茸,,
dazzling,Dazzling,ビビッドボディ,ビビッドボディ,Corps Coloré,Buntkörper,Cuerpo Vívido,Cuerpo Vívido,Corposgargiante,비비드바디,鮮艷之軀,鲜艳之躯,,
soul-heart,Soul-Heart,ソウルハート,ソウルハート,Animacœur,Seelenherz,Coránima,Coránima,Cuoreanima,소울하트,魂心,魂心,,
tangling-hair,Tangling Hair,カーリーヘアー,カーリーヘアー,Mèche Rebelle,Lockenkopf,Rizos Rebeldes,Rizos Rebeldes,Boccolidoro,컬리헤어,捲髮,卷发,,
receiver,Receiver,レシーバー,レシーバー,Receveur,Receiver,Receptor,Receptor,Ricezione,리시버,接球手,接球手,,
power-of-alchemy,Power of Alchemy,かがくのちから,かがくのちから,Osmose,Chemiekraft,Reacción Química,Reacción Química,Forza Chimica,과학의힘,化學之力,化学之力,,
beast-boost,Beast Boost,ビーストブースト,ビーストブースト,Boost Chimère,Bestien-Boost,Ultraimpulso,Ultraimpulso,Ultraboost,비스트부스트,異獸提升,异兽提升,,
rks-system,RKS System,ＡＲシステム,ＡＲシステム,Système Alpha,Alpha-System,Sistema Alfa,Sistema Alfa,Sistema Primevo,AR시스템,ＡＲ系統,ＡＲ系统,,
electric-surge,Electric Surge,エレキメイカー,エレキメイカー,Créa-Élec,Elektro-Erzeuger,Electrogénesis,Electrogénesis,Elettrogenesi,일렉트릭메이커,電氣製造者,电气制造者,,
psychic-surge,Psychic Surge,サイコメイカー,サイコメイカー,Créa-Psy,Psycho-Erzeuger,Psicogénesis,Psicogénesis,Psicogenesi,사이코메이커,精神製造者,精神制造者,,
misty-surge,Misty Surge,ミストメイカー,ミストメイカー,Créa-Brume,Nebel-Erzeuger,Nebulogénesis,Nebulogénesis,Nebbiogenesi,미스트메이커,薄霧製造者,薄雾制造者,,
grassy-surge,Grassy Surge,グラスメイカー,グラスメイカー,Créa-Herbe,Gras-Erzeuger,Herbogénesis,Herbogénesis,Erbogenesi,그래스메이커,青草製造者,青草制造者,,
full-metal-body,Full Metal Body,メタルプロテクト,メタルプロテクト,Métallo-Garde,Metallprotektor,Guardia Metálica,Guardia Metálica,Metalprotezione,메탈프로텍트,金屬防護,金属防护,,
shadow-shield,Shadow Shield,ファントムガード,ファントムガード,Spectro-Bouclier,Phantomschutz,Guardia Espectro,Guardia Espectro,Spettroguardia,스펙터가드,幻影防守,幻影防守,,
prism-armor,Prism Armor,プリズムアーマー,プリズムアーマー,Prisme-Armure,Prismarüstung,Armadura Prisma,Armadura Prisma,Scudoprisma,프리즘아머,稜鏡裝甲,棱镜装甲,,
neuroforce,Neuroforce,ブレインフォース,ブレインフォース,Cérébro-Force,Zerebralmacht,Fuerza Cerebral,Fuerza Cerebral,Cerebroforza,브레인포스,腦核之力,脑核之力,,
intrepid-sword,Intrepid Sword,ふとうのけん,ふとうのけん,Lame Indomptable,Kühnes Schwert,Espada Indómita,Espada Indómita,Spada Indomita,불요의검,不撓之劍,不挠之剑,,
dauntless-shield,Dauntless Shield,ふくつのたて,ふくつのたて,Égide Inflexible,Wackerer Schild,Escudo Recio,Escudo Recio,Scudo Saldo,불굴의방패,不屈之盾,不屈之盾,,
libero,Libero,リベロ,リベロ,Libéro,Libero,Líbero,Líbero,Libero,리베로,自由者,自由者,,
ball-fetch,Ball Fetch,たまひろい,たまひろい,Ramasse Ball,Apport,Recogebolas,Recogebolas,Raccattapalle,볼줍기,撿球,捡球,,
cotton-down,Cotton Down,わたげ,わたげ,Effilochage,Wollflaum,Pelusa,Pelusa,Lanugine,솜털,棉絮,棉絮,,
propeller-tail,Propeller Tail,スクリューおびれ,スクリューおびれ,Propulseur,Schraubflosse,Hélice Caudal,Hélice Caudal,Elicopinna,스크루지느러미,螺旋尾鰭,螺旋尾鳍,,
mirror-armor,Mirror Armor,ミラーアーマー,ミラーアーマー,Armure Miroir,Spiegelrüstung,Coraza Reflejo,Coraza Reflejo,Blindospecchio,미러아머,鏡甲,镜甲,,
gulp-missile,Gulp Missile,うのミサイル,うのミサイル,Dégobage,Würggeschoss,Tragamisil,Tragamisil,Inghiottimissile,그대로꿀꺽미사일,一口飛彈,一口导弹,,
stalwart,Stalwart,すじがねいり,すじがねいり,Nerfs d’Acier,Stahlrückgrat,Acérrimo,Acérrimo,Volontà di Ferro,굳건한신념,堅毅,坚毅,,
steam-engine,Steam Engine,じょうききかん,じょうききかん,Turbine,Dampfantrieb,Combustible,Combustible,Vapormacchina,증기기관,蒸汽機,蒸汽机,,
punk-rock,Punk Rock,パンクロック,パンクロック,Punk Rock,Punk Rock,Punk Rock,Punk Rock,Punk Rock,펑크록,龐克搖滾,庞克摇滚,,
sand-spit,Sand Spit,すなはき,すなはき,Expul’Sable,Sandspeier,Expulsarena,Expulsarena,Sputasabbia,모래뿜기,吐沙,吐沙,,
ice-scales,Ice Scales,こおりのりんぷん,こおりのりんぷん,Écailles Glacées,Eisflügelstaub,Escama de Hielo,Escama de Hielo,Geloscaglie,얼음인분,冰鱗粉,冰鳞粉,,
ripen,Ripen,じゅくせい,じゅくせい,Mûrissement,Heranreifen,Maduración,Maduración,Maturazione,숙성,熟成,熟成,,
ice-face,Ice Face,アイスフェイス,アイスフェイス,Tête de Gel,Tiefkühlkopf,Cara de Hielo,Cara de Hielo,Gelofaccia,아이스페이스,結凍頭,结冻头,,
power-spot,Power Spot,パワースポット,パワースポット,Cercle d’Énergie,Kraftquelle,Fuente Energía,Fuente Energía,Fonte Energetica,파워스폿,能量點,能量点,,
mimicry,Mimicry,ぎたい,ぎたい,Mimétisme,Mimese,Mimetismo,Mimetismo,Mimetismo,의태,擬態,拟态,,
screen-cleaner,Screen Cleaner,バリアフリー,バリアフリー,Brise-Barrière,Hemmungslos,Antibarrera,Antibarrera,Annullabarriere,배리어프리,除障,除障,,
steely-spirit,Steely Spirit,はがねのせいしん,はがねのせいしん,Boost Acier,Stählerner Wille,Alma Acerada,Alma Acerada,Spiritoferreo,강철정신,鋼之意志,钢之意志,,
perish-body,Perish Body,ほろびのボディ,ほろびのボディ,Corps Condamné,Unheilskörper,Cuerpo Mortal,Cuerpo Mortal,Ultimotocco,멸망의바디,滅亡之軀,灭亡之躯,,
wandering-spirit,Wandering Spirit,さまようたましい,さまようたましい,Âme Vagabonde,Rastlose Seele,Alma Errante,Alma Errante,Anima Errante,떠도는영혼,遊魂,游魂,,
gorilla-tactics,Gorilla Tactics,ごりむちゅう,ごりむちゅう,Entêtement,Affenfokus,Monotema,Monotema,Vigorilla,무아지경,一猩一意,一猩一意,,
neutralizing-gas,Neutralizing Gas,かがくへんかガス,かがくへんかガス,Gaz Inhibiteur,Reaktionsgas,Gas Reactivo,Gas Reactivo,Gas Reagente,화학변화가스,化學變化氣體,化学变化气体,,
pastel-veil,Pastel Veil,パステルベール,パステルベール,Voile Pastel,Pastellhülle,Velo Pastel,Velo Pastel,Pastelvelo,파스텔베일,粉彩護幕,粉彩护幕,,
hunger-switch,Hunger Switch,はらぺこスイッチ,はらぺこスイッチ,Déclic Fringale,Heißhunger,Mutapetito,Mutapetito,Pancialterna,꼬르륵스위치,飽了又餓,饱了又饿,,
quick-draw,Quick Draw,クイックドロウ,クイックドロウ,Tir Vif,Schnellschuss,Mano Rápida,Mano Rápida,Colpolesto,퀵드로,速擊,速击,,
unseen-fist,Unseen Fist,ふかしのこぶし,ふかしのこぶし,Poing Invisible,Verborgene Faust,Puño Invisible,Puño Invisible,Pugni Invisibili,보이지않는주먹,無形拳,无形拳,,
curious-medicine,Curious Medicine,きみょうなくすり,きみょうなくすり,Breuvage Suspect,Kuriose Arznei,Medicina Extraña,Medicina Extraña,Stranofarmaco,기묘한약,怪藥,怪药,,
transistor,Transistor,トランジスタ,トランジスタ,Transistor,Transistor,Transistor,Transistor,Transistor,트랜지스터,電晶體,电晶体,,
dragons-maw,Dragon’s Maw,りゅうのあぎと,りゅうのあぎと,Dent de Dragon,Drachenkiefer,Mandíbula Dragón,Mandíbula Dragón,Dragomascelle,용의턱,龍顎,龙颚,,
chilling-neigh,Chilling Neigh,しろのいななき,しろのいななき,Blanche Ruade,Helles Wiehern,Relincho Blanco,Relincho Blanco,Nitrito Bianco,백의울음,蒼白嘶鳴,苍白嘶鸣,,
grim-neigh,Grim Neigh,くろのいななき,くろのいななき,Sombre Ruade,Dunkles Wiehern,Relincho Negro,Relincho Negro,Nitrito Nero,흑의울음,漆黑嘶鳴,漆黑嘶鸣,,
as-one-glastrier,As One,じんばいったい,じんばいったい,Osmose Équine,Reitgespann,Unidad Ecuestre,Unidad Ecuestre,Sintonia Equina,혼연일체,人馬一體,人马一体,,
as-one-spectrier,As One,じんばいったい,じんばいったい,Osmose Équine,Reitgespann,Unidad Ecuestre,Unidad Ecuestre,Sintonia Equina,혼연일체,人馬一體,人马一体,,
lingering-aroma,Lingering Aroma,とれないにおい,とれないにおい,Odeur Tenace,Duftschwade,Olor Persistente,Olor Persistente,Odore Tenace,가시지않는향기,甩不掉的氣味,甩不掉的气味,,
seed-sower,Seed Sower,こぼれダネ,こぼれダネ,Semencier,Streusaat,Disemillar,Disemillar,Spargisemi,넘치는씨,掉出種子,掉出种子,Rozsévání,Semear
thermal-exchange,Thermal Exchange,ねつこうかん,ねつこうかん,Thermodynamique,Thermowandel,Termoconversión,Termoscambio,Termoscambio,열교환,熱交換,热交换,Tepelná výměna,Termoconversão
anger-shell,Anger Shell,いかりのこうら,いかりのこうら,Courroupace,Wutpanzer,Coraza Ira,Coraza Ira,Iraguscio,분노의껍질,憤怒甲殼,愤怒甲壳,,
purifying-salt,Purifying Salt,きよめのしお,きよめのしお,Sel Purificateur,Läutersalz,Sal Purificadora,Sal Purificadora,Sale Purificante,정화의소금,潔淨之鹽,洁净之盐,,
well-baked-body,Well-Baked Body,こんがりボディ,こんがりボディ,Bien Cuit,Knusperkruste,Cuerpo Horneado,Cuerpo Horneado,Bentostato,노릇노릇바디,焦香之軀,焦香之躯,,Corpo Bem-passado
wind-rider,Wind Rider,かぜのり,かぜのり,Aéroporté,Windreiter,Surcavientos,Surcavientos,Vento Propizio,바람타기,乘風,乘风,,
guard-dog,Guard Dog,ばんけん,ばんけん,Chien de Garde,Wachhund,Perro Guardián,Perro Guardián,Cane da Guardia,파수견,看門犬,看门犬,,Cão de Guarda
rocky-payload,Rocky Payload,いわはこび,いわはこび,Porte-Roche,Steinträger,Transportarrocas,Transportarrocas,Portamassi,바위나르기,搬岩,搬岩,,
wind-power,Wind Power,ふうりょくでんき,ふうりょくでんき,Turbine Éolienne,Windkraft,Energía Eólica,Energía Eólica,Energia Eolica,풍력발전,風力發電,风力发电,,
zero-to-hero,Zero to Hero,マイティチェンジ,マイティチェンジ,Supermutation,Superwechsel,Cambio Heroico,Cambio Heroico,Supercambio,마이티체인지,全能變身,全能变身,,Do Abismo ao Heroísmo
commander,Commander,しれいとう,しれいとう,Commandant,Kommandant,Comandar,Comandar,Torre di Comando,사령탑,發號施令,发号施令,,
electromorphosis,Electromorphosis,でんきにかえる,でんきにかえる,Grecharge,Dynamo,Dinamo,Dínamo,Convertivolt,전기로바꾸기,電力轉換,电力转换,Elektromorfóza,Eletromorfose
protosynthesis,Protosynthesis,こだいかっせい,こだいかっせい,Paléosynthèse,Paläosynthese,Paleosíntesis,Paleosíntesis,Paleoattivazione,고대활성,古代活性,古代活性,,Protossíntese
quark-drive,Quark Drive,クォークチャージ,クォークチャージ,Charge Quantique,Quantenantrieb,Carga Cuark,Carga Cuark,Carica Quark,쿼크차지,夸克充能,夸克充能,,
good-as-gold,Good as Gold,おうごんのからだ,おうごんのからだ,Corps en Or,Goldkörper,Cuerpo Áureo,Cuerpo Áureo,Corpo Aureo,황금몸,黃金之軀,黄金之躯,,
vessel-of-ruin,Vessel of Ruin,わざわいのうつわ,わざわいのうつわ,Urne du Fléau,Unheilsgefäß,Caldero Debacle,Caldero Debacle,Vaso Nefasto,재앙의그릇,災禍之鼎,灾祸之鼎,,
sword-of-ruin,Sword of Ruin,わざわいのつるぎ,わざわいのつるぎ,Épée du Fléau,Unheilsschwert,Espada Debacle,Espada Debacle,Spada Nefasta,재앙의검,災禍之劍,灾祸之剑,,
tablets-of-ruin,Tablets of Ruin,わざわいのおふだ,わざわいのおふだ,Bois du Fléau,Unheilstafeln,Tablilla Debacle,Tablilla Debacle,Amuleto Nefasto,재앙의목간,災禍之簡,灾祸之简,,
beads-of-ruin,Beads of Ruin,わざわいのたま,わざわいのたま,Perles du Fléau,Unheilsjuwelen,Abalorio Debacle,Abalorio Debacle,Monile Nefasto,재앙의구슬,災禍之玉,灾祸之玉,,
orichalcum-pulse,Orichalcum Pulse,ひひいろのこどう,ひひいろのこどう,Pouls Orichalque,Orichalkum-Puls,Latido Oricalco,Latido Oricalco,Ritmo d’Oricalco,진홍빛고동,緋紅脈動,绯红脉动,,
hadron-engine,Hadron Engine,ハドロンエンジン,ハドロンエンジン,Moteur à Hadrons,Hadronen-Motor,Motor Hadrónico,Motor Hadrónico,Motore Adronico,하드론엔진,強子引擎,强子引擎,,Motor Hadrônico
opportunist,Opportunist,びんじょう,びんじょう,Opportuniste,Profiteur,Oportunista,Oportunista,Scrocco,편승,跟風,跟风,,
cud-chew,Cud Chew,はんすう,はんすう,Ruminant,Wiederkäuer,Rumia,Rumia,Ruminante,되새김질,反芻,反刍,,
sharpness,Sharpness,きれあじ,きれあじ,Incisif,Scharfkantig,Cortante,Cortante,Affilama,예리함,鋒銳,锋锐,,
supreme-overlord,Supreme Overlord,そうだいしょう,そうだいしょう,Général Suprême,Feldherr,General Supremo,General Supremo,Generale Supremo,총대장,大將,大将,,General Supremo
costar,Costar,きょうえん,きょうえん,Collab,Synchronauftritt,Unísono,Unísono,Coprotagonismo,협연,同台共演,同台共演,,
toxic-debris,Toxic Debris,どくげしょう,どくげしょう,Dépôt Toxique,Giftbelag,Capa Tóxica,Capa Tóxica,Mantossina,독치장,毒滿地,毒满地,,Detritos Tóxicos
armor-tail,Armor Tail,テイルアーマー,テイルアーマー,Armure Caudale,Schweifrüstung,Cola Armadura,Cola Armadura,Codarmatura,테일아머,尾甲,尾甲,,Cauda de Armadura
earth-eater,Earth Eater,どしょく,どしょく,Absorbe-Terre,Bodenschmaus,Geofagia,Geofagia,Mangiaterra,흙먹기,食土,食土,,
mycelium-might,Mycelium Might,きんしのちから,きんしのちから,Force Fongique,Myzelienkraft,Poder Fúngico,Poder Fúngico,Micoforza,균사의힘,菌絲之力,菌丝之力,,
minds-eye,Mind’s Eye,しんがん,しんがん,Œil Révélateur,Geistiges Auge,Ojo Mental,Ojo Mental,Occhio Interiore,심안,心眼,心眼,,
supersweet-syrup,Supersweet Syrup,かんろなミツ,かんろなミツ,Nectar Mielleux,Süßer Nektar,Néctar Dulce,Néctar Dulce,Sciroppo Sublime,감미로운꿀,甘露之蜜,甘露之蜜,,
hospitality,Hospitality,おもてなし,おもてなし,Aux Petits Soins,Gastlichkeit,Hospitalidad,Hospitalidad,Ospitalità,대접,款待,款待,,
toxic-chain,Toxic Chain,どくのくさり,どくのくさり,Chaîne Toxique,Giftkette,Cadena Tóxica,Cadena Tóxica,Catena Tossica,독사슬,毒鎖鏈,毒锁链,,
embody-aspect,Embody Aspect,おもかげやどし,おもかげやどし,Force Mémorielle,Erinnerungskraft,Evocarrecuerdos,Evocarrecuerdos,Albergamemorie,초상투영,面影輝映,面影辉映,,
tera-shift,Tera Shift,テラスチェンジ,テラスチェンジ,Téramorphose,Tera-Wandel,Teracambio,Teracambio,Teramorfosi,테라체인지,太晶變形,太晶变形,,
tera-shell,Tera Shell,テラスシェル,テラスシェル,Téra-Carapace,Tera-Panzer,Teracaparazón,Teracaparazón,Teraguscio,테라셸,太晶甲殼,太晶甲壳,,
teraform-zero,Teraform Zero,ゼロフォーミング,ゼロフォーミング,Téraformation 0,Teraforming Null,Teraformación 0,Teraformación 0,Zeroformazione,제로포밍,歸零化境,归零化境,,
poison-puppeteer,Poison Puppeteer,どくくぐつ,どくくぐつ,Emprise Toxique,Giftpuppenspiel,Títere Tóxico,Títere Tóxico,Malia Tossica,독조종,毒傀儡,毒傀儡,,
piercing-drill,Piercing Drill,かんつうドリル,かんつうドリル,Transperceuse,Stichbohrer,Turbotaladro,Turbotaladro,Punta Perforante,관통드릴,貫穿鑽,贯穿钻,,Broca Pervasiva
dragonize,Dragonize,ドラゴンスキン,ドラゴンスキン,Peau Draconique,Drachenschicht,Piel Dragontina,Piel Dracónica,Pelledrago,드래곤스킨,龍皮膚,龙皮肤,,
mega-sol,Mega Sol,メガソーラー,メガソーラー,Méga-Soleil,Mega-Solarladung,Megasolar,Megasolar,Megasolar,메가솔라,超級日光,超级日光,,
spicy-spray,Spicy Spray,とびだすハバネロ,とびだすハバネロ,Habanéruption,Chilispritzer,Salpicante,Salpicante,Spargipiccante,하바네로분출,辣椒噴發,辣椒喷发,,
eelevate,Eelevate,,,,,,,,,,,,
fire-mane,Fire Mane,,,,,,,,,,,,
aura-guard,Aura Guard,,,,,,,,,,,,
