form,version,language,flavor_text
marowak-alola,lets-go-pikachu,en,"It has transformed the spirit of its dear
departed mother into flames, and tonight it will
once again dance in mourning of others of its
kind."
marowak-alola,lets-go-eevee,en,"It has transformed the spirit of its dear
departed mother into flames, and tonight it will
once again dance in mourning of others of its
kind."
oricorio-pom-pom,sun,en,"This Oricorio has sipped bright yellow nectar.
Its bright, cheerful dance melts the hearts of
its enemies."
oricorio-pom-pom,moon,en,"It creates an electric charge by rubbing its
feathers together. It dances over to its enemies
and delivers shocking electrical punches."
oricorio-pom-pom,ultra-sun,en,"It lifts its opponents’ spirits with its
cheerful dance moves. When they let their guard
down, it electrocutes them with a jolt."
oricorio-pom-pom,ultra-moon,en,"This Oricorio has drunk bright yellow nectar.
When it sees someone looking glum, it will try
to cheer them up with a dance."
oricorio-pau,sun,en,"This Oricorio relaxes by swaying gently. This
increases its psychic energy, which it then
fires at its enemies."
oricorio-pau,moon,en,"This Oricorio has sipped pink nectar. Its
enemies’ hearts melt at the sight of its gently
swaying hips."
oricorio-pau,ultra-sun,en,"It relaxes its opponents with its elegant
dancing. When they let their guard down, it
showers them with psychic energy."
oricorio-pau,ultra-moon,en,"This Oricorio has sipped pink nectar. It gets so
caught up in its dancing that it sometimes
doesn’t hear its Trainer’s orders."
oricorio-sensu,sun,en,"This Oricorio has sipped purple nectar. Its
elegant, attractive dance will send the minds
and hearts of its enemies to another world."
oricorio-sensu,moon,en,"It summons the dead with its dreamy dancing.
From their malice, it draws power with which to
curse its enemies."
oricorio-sensu,ultra-sun,en,"It charms its opponents with its refined
dancing. When they let their guard down, it
places a curse on them that will bring on their
demise."
oricorio-sensu,ultra-moon,en,"This Oricorio has sipped purple nectar. Some
dancers use its graceful, elegant dancing as
inspiration."
necrozma-dusk,ultra-sun,en,"This is its form while it is devouring the light
of Solgaleo. It pounces on foes and then slashes
them with the claws on its four limbs and back."
necrozma-dusk,ultra-moon,en,"This is Necrozma’s form while it’s absorbing the
power of Solgaleo, making it extremely ferocious
and impossible to control."
necrozma-dawn,ultra-sun,en,"Lunala no longer has a will of its own. Now
under the control of Necrozma, it continuously
expels all of its energy."
necrozma-dawn,ultra-moon,en,"This is its form while it’s devouring the light
of Lunala. It grasps foes in its giant claws and
rips them apart with brute force."
necrozma-ultra,ultra-sun,en,"This is its form when it has absorbed
overwhelming light energy. It fires laser beams
from all over its body."
necrozma-ultra,ultra-moon,en,"The light pouring out from all over its body
affects living things and nature, impacting them
in various ways."
