move,version_group,language,flavor_text
poison-jab,legends-arceus,en,"The target is stabbed with a tentacle, arm, or the like steeped in poison. This may also poison the target."
dark-pulse,legends-arceus,en,The user releases a horrible aura imbued with ill intent. This attack never misses.
night-slash,legends-arceus,en,The user slashes the target the instant the target lowers its guard. This move has a heightened chance of landing a critical hit.
aqua-tail,legends-arceus,en,The user attacks by swinging its tail as if it were a vicious wave in a raging storm.
seed-bomb,legends-arceus,en,The user slams a barrage of hard-shelled seeds down on the target from above.
air-slash,legends-arceus,en,The user attacks with a blade of air that slices even the sky.
x-scissor,legends-arceus,en,The user strikes at the target by crossing its scythes or claws as if they were a pair of scissors. This move has a heightened chance of landing a critical hit.
bug-buzz,legends-arceus,en,The user vibrates to generate a damaging sound wave. This may also lower the target’s defensive stats.
dragon-pulse,legends-arceus,en,The target is attacked with a shock wave generated by the user's gaping mouth. This attack never misses.
dragon-rush,legends-arceus,en,The user tackles the target while exhibiting overwhelming menace. This may also make the target flinch.
power-gem,legends-arceus,en,The user attacks with a ray of light that sparkles as if it were made of gemstones.
drain-punch,legends-arceus,en,The user attacks with an energy-draining punch that restores the user’s HP.
vacuum-wave,legends-arceus,en,The user whirls its fists to send a wave of pure vacuum at the target. This move always goes first.
focus-blast,legends-arceus,en,The user heightens its mental focus and unleashes its power. This may also lower the target's Sp. Def stat.
energy-ball,legends-arceus,en,The user draws power from nature and fires it at the target. This may also lower the target’s defensive stats.
brave-bird,legends-arceus,en,The user tucks in its wings and charges at a low altitude. This also damages the user.
earth-power,legends-arceus,en,The user makes the ground under the target erupt with power. This may also lower the target's defensive stats.
switcheroo,legends-arceus,en,The user trades held items with the target faster than the eye can follow.
giga-impact,legends-arceus,en,The user charges at the target using every bit of its power.
nasty-plot,legends-arceus,en,"The user stimulates its brain by thinking bad thoughts, raising the user's offensive stats."
bullet-punch,legends-arceus,en,The user strikes the target with tough punches as fast as bullets. This also raises the user’s action speed.
avalanche,legends-arceus,en,The power of this attack move is doubled if the user has been hurt by the target in the same turn.
ice-shard,legends-arceus,en,The user flash-freezes chunks of ice and hurls them at the target. This also raises the user's action speed.
shadow-claw,legends-arceus,en,The user slashes with a sharp claw made from shadows. This move has a heightened chance of landing a critical hit.
thunder-fang,legends-arceus,en,The user bites the target with electrified fangs to deal damage. This may also leave the target with paralysis.
ice-fang,legends-arceus,en,The user bites the target with cold-infused fangs to deal damage. This may also leave the target with frostbite.
fire-fang,legends-arceus,en,The user bites the target with flame-cloaked fangs to deal damage. This may also leave the target with a burn.
shadow-sneak,legends-arceus,en,The user extends its shadow and attacks the target from behind. This also raises the user’s action speed.
psycho-cut,legends-arceus,en,The user tears at the target with blades formed by psychic power. This move has a heightened chance of landing a critical hit.
zen-headbutt,legends-arceus,en,The user focuses its willpower to its head and attacks the target.
flash-cannon,legends-arceus,en,The user gathers all its light energy and releases it at once. This may also lower the target’s defensive stats.
defog,legends-arceus,en,A strong wind blows away the target's barriers such as Reflect or Light Screen. This also lowers the target's evasiveness.
trick-room,legends-arceus,en,The user creates a bizarre area in which slower Pokémon get to move first for five turns.
draco-meteor,legends-arceus,en,Comets are summoned down from the sky onto the target. The recoil from this move lowers the user’s offensive stats.
discharge,legends-arceus,en,The user strikes everything around it by letting loose a flare of electricity. This may also cause paralysis.
lava-plume,legends-arceus,en,The user torches everything around it in an inferno of scarlet flames. This may also leave those it hits with a burn.
leaf-storm,legends-arceus,en,The user whips up a storm of leaves around the target. The recoil from this move lowers the user’s offensive stats.
power-whip,legends-arceus,en,"The user violently whirls its vines, tentacles, or the like to harshly lash the target."
rock-wrecker,legends-arceus,en,The user launches a huge boulder at the target to attack. The user can't move on the next turn.
cross-poison,legends-arceus,en,A slashing attack with a toxic blade that may also poison the target. This move has a heightened chance of landing a critical hit.
gunk-shot,legends-arceus,en,The user shoots filthy garbage at the target to attack. This may also poison the target.
iron-head,legends-arceus,en,The user slams the target with its steel-hard head.
stone-edge,legends-arceus,en,The user stabs the target with sharpened stones. This move has a heightened chance of landing a critical hit.
stealth-rock,legends-arceus,en,The user launches countless stones at the target. Stone splinters left behind by this attack continue to damage the target for several turns.
grass-knot,legends-arceus,en,"The user snares the target with grass and trips it. The heavier the target, the greater the move's power."
judgment,legends-arceus,en,The user releases countless shots of light at the target. This move's type varies depending on the kind of Plate the user last interacted with.
bug-bite,legends-arceus,en,"The user bites the target. If the target is holding a Berry, the user eats it and gains its effect."
charge-beam,legends-arceus,en,The user attacks the target with an electric charge. The leftover electricity may also raise the user’s offensive stats.
wood-hammer,legends-arceus,en,The user slams its rugged body into the target to attack. This also damages the user.
aqua-jet,legends-arceus,en,"The user lunges at the target to deal damage, moving at a speed that makes it almost invisible. This also raises the user's action speed."
attack-order,legends-arceus,en,The user calls out its underlings to pummel the target. Critical hits land more easily.
defend-order,legends-arceus,en,"The user calls out its underlings to shield its body, raising its Defense and Sp. Def stats."
head-smash,legends-arceus,en,"The user attacks the target with a hazardous, full-power headbutt. This also damages the user."
double-hit,legends-arceus,en,The user adapts a hard-hitting stance to increase the damage dealt by its moves by 50 percent.
roar-of-time,legends-arceus,en,The user blasts the target with power that distorts even time.
spacial-rend,legends-arceus,en,The user tears the target along with the space around it. This move has a heightened chance of landing a critical hit.
lunar-dance,legends-arceus,en,"The user faints. In return, the Pokémon taking its place will have its status and HP fully restored."
crush-grip,legends-arceus,en,"The target is crushed with great force. The more HP the target has left, the greater this move's power."
magma-storm,legends-arceus,en,The user envelops the target in a maelstrom of fire. This also leaves the target with a burn.
dark-void,legends-arceus,en,The target is dragged into a world of total darkness that makes the target drowsy and lowers its defensive stats.
seed-flare,legends-arceus,en,The user emits a shock wave from its body to attack its target. This may also lower the target’s defensive stats.
shadow-force,legends-arceus,en,The user cloaks itself in darkness as it attacks. Incoming moves also become more likely to miss.
hone-claws,legends-arceus,en,The user sharpens its claws to boost its Attack stat and accuracy.
wide-guard,legends-arceus,en,The user and its allies are protected from wide-ranging attacks for one turn.
guard-split,legends-arceus,en,The user employs its psychic power to average its Defense and Sp. Def stats with those of the target.
power-split,legends-arceus,en,The user employs its psychic power to average its Attack and Sp. Atk stats with those of the target.
wonder-room,legends-arceus,en,The user creates a bizarre area in which Pokémon's Defense and Sp. Def stats are swapped for five turns.
psyshock,legends-arceus,en,The user materializes an odd psychic wave to attack the target. This attack does physical damage.
venoshock,legends-arceus,en,The user drenches the target in a special poisonous liquid to inflict damage. This move’s power is doubled if the target has a status condition.
rage-powder,legends-arceus,en,The user scatters a cloud of irritating powder to draw attention to itself. Opposing Pokémon aim only at the user.
magic-room,legends-arceus,en,The user creates a bizarre area in which Pokémon's held items lose their effects for five turns.
smack-down,legends-arceus,en,The user throws a stone or similar projectile to attack the target. A flying Pokémon will fall to the ground when it's hit.
sludge-wave,legends-arceus,en,The user strikes everything around it by swamping the area with a giant sludge wave. This may also poison those hit.
quiver-dance,legends-arceus,en,"The user lightly performs a beautiful, mystic dance. This boosts the user's Sp. Atk, Sp. Def, and Speed stats."
heavy-slam,legends-arceus,en,"The user slams into the target with its heavy body. The more the user outweighs the target, the greater the move's power."
electro-ball,legends-arceus,en,"The user hurls an electric orb at the target. The faster the user is than the target, the greater the move's power."
soak,legends-arceus,en,The user shoots a torrent of water at the target and changes the target's type to Water.
flame-charge,legends-arceus,en,"Cloaking itself in flame, the user attacks the target. Then, building up more power, the user raises its Speed stat."
coil,legends-arceus,en,The user coils up and concentrates. This raises its Attack and Defense stats as well as its accuracy.
low-sweep,legends-arceus,en,"The user makes a swift attack on the target's legs, which lowers the target's Speed stat."
acid-spray,legends-arceus,en,The user spits fluid that works to melt the target. This may also lower the target’s defensive stats.
foul-play,legends-arceus,en,"The user turns the target's power against it. The higher the target's Attack stat, the greater the damage it deals."
simple-beam,legends-arceus,en,The user's mysterious psychic wave changes the target's Ability to Simple.
entrainment,legends-arceus,en,"The user dances with an odd rhythm that compels the target to mimic it, making the target's Ability the same as the user's."
after-you,legends-arceus,en,The user helps the target and makes it use its move right after the user.
round,legends-arceus,en,The user attacks the target with a song. Others can join in the Round to increase the power of the attack.
echoed-voice,legends-arceus,en,"The user attacks the target with an echoing voice. If this move is used every turn, its power is increased."
clear-smog,legends-arceus,en,The user attacks the target by throwing a clump of special mud. All stat changes are returned to normal.
stored-power,legends-arceus,en,"The user attacks the target with stored power. The more the user's stats are raised, the greater the move's power."
quick-guard,legends-arceus,en,The user protects itself and its allies from priority moves.
ally-switch,legends-arceus,en,The user teleports using a strange power and switches places with one of its allies.
scald,legends-arceus,en,The user shoots boiling hot water at its target. This may also leave the target with a burn.
shell-smash,legends-arceus,en,"The user breaks its shell, which lowers Defense and Sp. Def stats but sharply raises its Attack, Sp. Atk, and Speed stats."
heal-pulse,legends-arceus,en,The user emits a healing pulse that restores the target's HP by up to half of its max HP.
hex,legends-arceus,en,The user attacks with relentless intensity. This move's power is doubled if the target has a status condition.
shift-gear,legends-arceus,en,"The user rotates its gears, raising its Attack stat and sharply raising its Speed stat."
circle-throw,legends-arceus,en,"The target is thrown, and a different Pokémon is dragged out. In the wild, this ends a battle against a single Pokémon."
incinerate,legends-arceus,en,"The user attacks opposing Pokémon with fire. If a Pokémon is holding a certain item, such as a Berry, the item becomes burned up and unusable."
quash,legends-arceus,en,The user suppresses the target and makes its move go last.
acrobatics,legends-arceus,en,"The user nimbly strikes the target. If the user is not holding an item, this attack inflicts massive damage."
reflect-type,legends-arceus,en,"The user reflects the target's type, making the user the same type as the target."
retaliate,legends-arceus,en,"The user gets revenge for a fainted ally. If an ally fainted in the previous turn, this move's power is increased."
final-gambit,legends-arceus,en,The user risks everything to attack its target. The user faints but does damage equal to its HP.
inferno,legends-arceus,en,The user attacks by engulfing the target in an intense fire. This leaves the target with a burn.
water-pledge,legends-arceus,en,"A column of water hits the target. When used with its fire equivalent, its power increases and a rainbow appears."
fire-pledge,legends-arceus,en,"A column of fire hits the target. When used with its grass equivalent, its power increases and a vast sea of fire appears."
grass-pledge,legends-arceus,en,"A column of grass hits the target. When used with its water equivalent, its power increases and a vast swamp appears."
volt-switch,legends-arceus,en,"After making its attack, the user rushes back to switch places with a party Pokémon in waiting."
struggle-bug,legends-arceus,en,"The user struggles against the target, dealing damage. This also lowers the target's offensive stats."
bulldoze,legends-arceus,en,"The user tramples its target into the ground, dealing damage. This also lowers the target’s action speed."
frost-breath,legends-arceus,en,The user blows its cold breath on the target. This attack always results in a critical hit.
dragon-tail,legends-arceus,en,"The target is knocked away, and a different Pokémon is dragged out. In the wild, this ends a battle against a single Pokémon."
work-up,legends-arceus,en,"The user is roused, and its Attack and Sp. Atk stats increase."
electroweb,legends-arceus,en,The user attacks and captures opposing Pokémon using an electric net. This lowers their Speed stats.
wild-charge,legends-arceus,en,The user shrouds itself in electricity and smashes into its target. This also damages the user and may leave the target with paralysis.
drill-run,legends-arceus,en,The user crashes into its target while rotating its body like a drill. Critical hits land more easily.
horn-leech,legends-arceus,en,The user drains the target's energy with its horns. The user's HP is restored by half the damage taken by the target.
sacred-sword,legends-arceus,en,The user attacks by slicing with a long horn. The target's stat changes don't affect this attack's damage.
razor-shell,legends-arceus,en,The user cuts its target with sharp shells. This may also lower the target's Defense stat.
heat-crash,legends-arceus,en,"The user slams its target with its flame-covered body. The more the user outweighs the target, the greater the move's power."
cotton-guard,legends-arceus,en,"The user protects itself by wrapping its body in soft cotton, which drastically raises the user's Defense stat."
night-daze,legends-arceus,en,The user lets loose a pitch-black shock wave at its target. This may also lower the target's accuracy.
psystrike,legends-arceus,en,The user materializes an odd psychic wave to attack the target. This attack does physical damage.
tail-slap,legends-arceus,en,The user attacks by striking the target with its hard tail. It hits the target two to five times in a row.
hurricane,legends-arceus,en,The user attacks by wrapping its opponent in a fierce wind.
relic-song,legends-arceus,en,The user sings an ancient song and attacks by appealing to the hearts of the listening opposing Pokémon. This may also induce sleep.
secret-sword,legends-arceus,en,The user cuts with its long horn. The odd power contained in the horn does physical damage to the target.
glaciate,legends-arceus,en,The user attacks by blowing freezing cold air at opposing Pokémon. This lowers their Speed stats.
bolt-strike,legends-arceus,en,The user surrounds itself with a great amount of electricity and charges its target. This may also leave the target with paralysis.
blue-flare,legends-arceus,en,"The user attacks by engulfing the target in an intense, yet beautiful, blue flame. This may also leave the target with a burn."
fiery-dance,legends-arceus,en,"Cloaked in flames, the user attacks the target by dancing and flapping its wings. This may also raise the user's Sp. Atk stat."
freeze-shock,legends-arceus,en,"On the second turn, the user hits the target with electrically charged ice. This may also leave the target with paralysis."
ice-burn,legends-arceus,en,"On the second turn, an ultracold, freezing wind surrounds the target. This may leave the target with a burn."
snarl,legends-arceus,en,The user attacks by crying out as if it's ranting about something. This also lowers the target's offensive stats.
icicle-crash,legends-arceus,en,The user attacks by harshly dropping large icicles onto the target.
fusion-flare,legends-arceus,en,The user brings down a giant flame. This move's power is increased when influenced by an enormous lightning bolt.
fusion-bolt,legends-arceus,en,The user throws down a giant lightning bolt. This move's power is increased when influenced by an enormous flame.
flying-press,legends-arceus,en,The user dives down onto the target from the sky. This move is Fighting and Flying type simultaneously.
belch,legends-arceus,en,The user lets out a damaging belch at the target. The user must eat a held Berry to use this move.
sticky-web,legends-arceus,en,"The user weaves a sticky net around the opposing team, which lowers their Speed stats upon switching into battle."
fell-stinger,legends-arceus,en,"When the user knocks out a target with this move, the user's Attack stat rises drastically."
phantom-force,legends-arceus,en,"The user vanishes somewhere, then strikes the target on the next turn. This move hits even if the target protects itself."
noble-roar,legends-arceus,en,"Letting out a noble roar, the user intimidates the target and lowers its Attack and Sp. Atk stats."
parabolic-charge,legends-arceus,en,The user attacks everything around it. The user's HP is restored by half the damage taken by those hit.
forests-curse,legends-arceus,en,The user puts a forest curse on the target. The target is now Grass type as well.
petal-blizzard,legends-arceus,en,The user stirs up a violent petal blizzard and attacks everything around it.
freeze-dry,legends-arceus,en,The user rapidly cools the target. This may also leave the target frozen. This move is super effective on Water types.
disarming-voice,legends-arceus,en,"Letting out a charming cry, the user does emotional damage to opposing Pokémon. This attack never misses."
parting-shot,legends-arceus,en,"With a parting threat, the user lowers the target's Attack and Sp. Atk stats. Then it switches with a party Pokémon."
topsy-turvy,legends-arceus,en,All stat changes affecting the target turn topsy-turvy and become the opposite of what they were.
draining-kiss,legends-arceus,en,The user attacks with an energy-draining kiss that restores the user’s HP.
grassy-terrain,legends-arceus,en,The user turns the ground to grass for five turns. This restores the HP of Pokémon on the ground a little every turn and powers up Grass-type moves.
misty-terrain,legends-arceus,en,This protects Pokémon on the ground from status conditions and halves damage from Dragon-type moves for five turns.
play-rough,legends-arceus,en,The user plays rough with the target and attacks it. This may also lower the target’s offensive stats.
fairy-wind,legends-arceus,en,The user stirs up a fairy wind and strikes the target with it.
moonblast,legends-arceus,en,"Borrowing the power of the moon, the user attacks the target. This may also lower the target’s offensive stats."
boomburst,legends-arceus,en,"The user attacks everything around it with the destructive power of a terrible, explosive sound."
fairy-lock,legends-arceus,en,"By locking down the battlefield, the user keeps all Pokémon from fleeing during the next turn."
play-nice,legends-arceus,en,"The user and the target become friends, and the target loses its will to fight. This lowers the target's Attack stat."
confide,legends-arceus,en,"The user tells the target a secret, and the target loses its ability to concentrate. This lowers the target's Sp. Atk stat."
diamond-storm,legends-arceus,en,The user whips up a storm of diamonds to damage opposing Pokémon. This may also sharply raise the user's Defense stat.
steam-eruption,legends-arceus,en,The user immerses the target in superheated steam. This may also leave the target with a burn.
hyperspace-hole,legends-arceus,en,"Using a hyperspace hole, the user appears right next to the target and strikes. This also hits a target using a move such as Protect or Detect."
water-shuriken,legends-arceus,en,The user hits the target with throwing stars two to five times in a row. This move always goes first.
mystical-fire,legends-arceus,en,"The user attacks by breathing a special, hot fire. This also lowers the target's offensive stats."
spiky-shield,legends-arceus,en,"In addition to protecting the user from attacks, this move also damages any attacker that makes direct contact."
aromatic-mist,legends-arceus,en,The user raises the Sp. Def stat of an ally Pokémon by using a mysterious aroma.
eerie-impulse,legends-arceus,en,The user's body generates an eerie impulse. Exposing the target to it harshly lowers the target's Sp. Atk stat.
magnetic-flux,legends-arceus,en,"The user manipulates magnetic fields, which raises the Defense and Sp. Def stats of ally Pokémon with the Plus or Minus Ability."
electric-terrain,legends-arceus,en,"The user electrifies the ground for five turns, powering up Electric-type moves. Pokémon on the ground no longer fall asleep."
dazzling-gleam,legends-arceus,en,The user emits a powerful flash of light to inflict damage on the target.
baby-doll-eyes,legends-arceus,en,The user stares at the target with its baby-doll eyes. This lowers the target’s offensive stats.
nuzzle,legends-arceus,en,The user attacks by nuzzling its electrified cheeks against the target. This also leaves the target with paralysis.
infestation,legends-arceus,en,The target is infested and attacked for four to five turns. The target can't flee during this time.
origin-pulse,legends-arceus,en,The user attacks opposing Pokémon with countless beams of light that glow a deep and brilliant blue.
precipice-blades,legends-arceus,en,The user attacks opposing Pokémon by manifesting the power of the land in fearsome blades of stone.
dragon-ascent,legends-arceus,en,"After soaring upward, the user attacks its target by dropping out of the sky at high speeds. But it lowers its own Defense and Sp. Def stats in the process."
hyperspace-fury,legends-arceus,en,"Using its many arms, the user unleashes a barrage of attacks that ignore the effects of moves like Protect and Detect. But the user's Defense stat falls."
shore-up,legends-arceus,en,The user regains up to half of its max HP. It restores more HP in a sandstorm.
first-impression,legends-arceus,en,"Although this move has great power, it only works the first turn each time the user enters battle."
baneful-bunker,legends-arceus,en,"In addition to protecting the user from attacks, this move also poisons any attacker that makes direct contact."
spirit-shackle,legends-arceus,en,The user attacks while simultaneously stitching the target's shadow to the ground to prevent the target from escaping.
darkest-lariat,legends-arceus,en,The user swings both arms and hits the target. The target's stat changes don't affect this attack's damage.
sparkling-aria,legends-arceus,en,"The user bursts into song, emitting many bubbles. Any Pokémon suffering from a burn will be healed by the touch of these bubbles."
ice-hammer,legends-arceus,en,"The user swings and hits with its strong, heavy fist. It lowers the user's Speed, however."
floral-healing,legends-arceus,en,The user restores the target's HP by up to half of its max HP. It restores more HP when the terrain is grass.
high-horsepower,legends-arceus,en,The user fiercely attacks the target using its entire body.
strength-sap,legends-arceus,en,The user restores its HP by the same amount as the target's Attack stat. It also lowers the target's Attack stat.
solar-blade,legends-arceus,en,"In this two-turn attack, the user gathers light and fills a blade with the light's energy, attacking the target on the next turn."
leafage,legends-arceus,en,The user attacks by pelting the target with leaves.
toxic-thread,legends-arceus,en,The user shoots poisonous threads to poison the target and lower the target's Speed stat.
throat-chop,legends-arceus,en,"The user attacks the target's throat, and the resultant suffering prevents the target from using moves that emit sound for two turns."
pollen-puff,legends-arceus,en,"The user attacks the enemy with a pollen puff that explodes. If the target is an ally, it gives the ally a pollen puff that restores its HP instead."
psychic-terrain,legends-arceus,en,This protects Pokémon on the ground from priority moves and powers up Psychic-type moves for five turns.
lunge,legends-arceus,en,"The user makes a lunge at the target, attacking with full force. This also lowers the target's Attack stat."
fire-lash,legends-arceus,en,The user strikes the target with a burning lash. This also lowers the target's Defense stat.
power-trip,legends-arceus,en,"The user boasts its strength and attacks the target. The more the user's stats are raised, the greater the move's power."
speed-swap,legends-arceus,en,The user exchanges Speed stats with the target.
smart-strike,legends-arceus,en,The user stabs the target with a sharp horn. This attack never misses.
revelation-dance,legends-arceus,en,The user attacks the target by dancing very hard. The user's type determines the type of this move.
trop-kick,legends-arceus,en,The user lands an intense kick of tropical origins on the target. This also lowers the target's Attack stat.
instruct,legends-arceus,en,The user instructs the target to use the target's last move again.
beak-blast,legends-arceus,en,"The user first heats up its beak, and then it attacks the target. Making direct contact with the Pokémon while it's heating up its beak results in a burn."
clanging-scales,legends-arceus,en,The user rubs the scales on its entire body and makes a huge noise to attack opposing Pokémon. The user's Defense stat goes down after the attack.
dragon-hammer,legends-arceus,en,The user uses its body like a hammer to attack the target and inflict damage.
brutal-swing,legends-arceus,en,The user swings its body around violently to inflict damage on everything in its vicinity.
aurora-veil,legends-arceus,en,This move reduces damage from physical and special moves for five turns. This can be used only in a hailstorm.
fleur-cannon,legends-arceus,en,The user unleashes a strong beam. The attack's recoil harshly lowers the user's Sp. Atk stat.
psychic-fangs,legends-arceus,en,The user bites the target with its psychic capabilities. This can also destroy Light Screen and Reflect.
stomping-tantrum,legends-arceus,en,"Driven by frustration, the user attacks the target. If the user's previous move has failed, the power of this move doubles."
accelerock,legends-arceus,en,The user smashes into the target at high speed. This move always goes first.
liquidation,legends-arceus,en,The user slams into the target using a full-force blast of water. This may also lower the target’s defensive stats.
prismatic-laser,legends-arceus,en,The user shoots powerful lasers using the power of a prism. The user can't move on the next turn.
sunsteel-strike,legends-arceus,en,The user slams into the target with the force of a meteor. This move can be used on the target regardless of its Abilities.
moongeist-beam,legends-arceus,en,The user emits a sinister ray to attack the target. This move can be used on the target regardless of its Abilities.
tearful-look,legends-arceus,en,The user gets teary eyed to make the target lose its combative spirit. This lowers the target's Attack and Sp. Atk stats.
zing-zap,legends-arceus,en,"A strong electric blast crashes down on the target, giving it an electric shock. This may also make the target flinch."
photon-geyser,legends-arceus,en,The user attacks a target with a pillar of light. This move inflicts Attack or Sp. Atk damage—whichever stat is higher for the user.
dynamax-cannon,legends-arceus,en,The user unleashes a strong beam from its core. This move deals twice the damage if the target is Dynamaxed.
snipe-shot,legends-arceus,en,"The user ignores the effects of opposing Pokémon's moves and Abilities that draw in moves, allowing this move to hit the chosen target."
jaw-lock,legends-arceus,en,This move prevents the user and the target from switching out until either of them faints. The effect goes away if either of the Pokémon leaves the field.
stuff-cheeks,legends-arceus,en,"The user eats its held Berry, then sharply raises its Defense stat."
no-retreat,legends-arceus,en,This move raises all the user's stats but prevents the user from switching out or fleeing.
tar-shot,legends-arceus,en,"The user pours sticky tar over the target, lowering the target's Speed stat. The target becomes weaker to Fire-type moves."
magic-powder,legends-arceus,en,The user scatters a cloud of magic powder that changes the target to Psychic type.
dragon-darts,legends-arceus,en,"The user attacks twice using Dreepy. If there are two targets, this move hits each target once."
teatime,legends-arceus,en,The user has teatime with all the Pokémon in the battle. Each Pokémon eats its held Berry.
court-change,legends-arceus,en,"With its mysterious power, the user swaps the effects on either side of the field."
clangorous-soul,legends-arceus,en,The user raises all its stats by using some of its HP.
body-press,legends-arceus,en,"The user attacks by slamming its body into the target. The higher the user's Defense, the more damage it can inflict on the target."
decorate,legends-arceus,en,The user sharply raises the target's Attack and Sp. Atk stats by decorating the target.
drum-beating,legends-arceus,en,"The user plays its drum, controlling the drum's roots to attack the target. This also lowers the target's Speed stat."
pyro-ball,legends-arceus,en,The user attacks by igniting a small stone and launching it as a fiery ball at the target. This may also leave the target with a burn.
aura-wheel,legends-arceus,en,Morpeko attacks and raises its Speed with the energy stored in its cheeks. This move's type changes depending on the user's form.
breaking-swipe,legends-arceus,en,The user swings its tough tail wildly and attacks opposing Pokémon. This also lowers their Attack stats.
branch-poke,legends-arceus,en,The user attacks the target by poking it with a sharply pointed branch.
overdrive,legends-arceus,en,"The user attacks opposing Pokémon by twanging a guitar or bass guitar, causing a huge echo and strong vibration."
apple-acid,legends-arceus,en,The user attacks the target with an acidic liquid created from tart apples. This also lowers the target's Sp. Def stat.
grav-apple,legends-arceus,en,The user inflicts damage by dropping an apple from high above. This also lowers the target's Defense stat.
spirit-break,legends-arceus,en,The user attacks the target with so much force that it could break the target's spirit. This also lowers the target's Sp. Atk stat.
strange-steam,legends-arceus,en,The user attacks the target by emitting steam. This may also confuse the target.
life-dew,legends-arceus,en,The user scatters mysterious water around and restores the HP of itself and its ally Pokémon in the battle.
false-surrender,legends-arceus,en,"The user pretends to bow its head, but then it stabs the target with its disheveled hair. This attack never misses."
steel-beam,legends-arceus,en,The user fires a beam of steel that it collected from its entire body. This also damages the user.
expanding-force,legends-arceus,en,The user attacks the target with its psychic power. This move's power goes up and damages all opposing Pokémon on Psychic Terrain.
steel-roller,legends-arceus,en,The user attacks while destroying the terrain. This move fails when the ground hasn't turned into a terrain.
scale-shot,legends-arceus,en,The user attacks by shooting scales two to five times in a row. This move boosts the user's Speed stat but lowers its Defense stat.
meteor-beam,legends-arceus,en,"In this two-turn attack, the user gathers space power and boosts its Sp. Atk stat, then attacks the target on the next turn."
shell-side-arm,legends-arceus,en,"This move inflicts physical or special damage, whichever will be more effective. This may also poison the target."
misty-explosion,legends-arceus,en,The user attacks everything around it and faints upon using this move. This move's power is increased on Misty Terrain.
grassy-glide,legends-arceus,en,"Gliding on the ground, the user attacks the target. This move always goes first on Grassy Terrain."
rising-voltage,legends-arceus,en,The user attacks with electric voltage rising from the ground. This move's power doubles when the target is on Electric Terrain.
terrain-pulse,legends-arceus,en,The user utilizes the power of the terrain to attack. This move's type and power changes depending on the terrain when it's used.
skitter-smack,legends-arceus,en,The user skitters behind the target to attack. This also lowers the target's Sp. Atk stat.
burning-jealousy,legends-arceus,en,The user attacks with energy from jealousy. This leaves all opposing Pokémon that have had their stats boosted during the turn with a burn.
lash-out,legends-arceus,en,"The user lashes out to vent its frustration toward the target. If its stats were lowered during the turn, the power of this move is doubled."
poltergeist,legends-arceus,en,The user attacks the target by controlling the target's item. The move fails if the target doesn't have an item.
coaching,legends-arceus,en,"The user properly coaches its ally Pokémon, boosting their Attack and Defense stats."
flip-turn,legends-arceus,en,"After making its attack, the user rushes back to switch places with a party Pokémon in waiting."
triple-axel,legends-arceus,en,A consecutive three-kick attack that becomes more powerful with each successful hit.
dual-wingbeat,legends-arceus,en,The user slams the target with its wings. The target is hit twice in a row.
scorching-sands,legends-arceus,en,The user throws scorching sand at the target to attack. This may also leave the target with a burn.
jungle-healing,legends-arceus,en,"The user becomes one with the jungle, restoring HP and healing any status conditions of itself and its ally Pokémon in battle."
wicked-blow,legends-arceus,en,"The user, having mastered the Dark style, strikes the target with a fierce blow. This attack always results in a critical hit."
surging-strikes,legends-arceus,en,"The user, having mastered the Water style, strikes the target with a flowing motion three times in a row. This attack always results in a critical hit."
thunder-cage,legends-arceus,en,The user traps the target in a cage of sparking electricity for four to five turns.
dragon-energy,legends-arceus,en,"Converting its life-force into power, the user attacks opposing Pokémon. The lower the user's HP, the lower the move's power."
freezing-glare,legends-arceus,en,The user shoots its psychic power from its eyes to attack. This may also leave the target frozen.
fiery-wrath,legends-arceus,en,The user transforms its wrath into a fire-like aura to attack. This may also make opposing Pokémon flinch.
thunderous-kick,legends-arceus,en,The user overwhelms the target with lightning-like movement before delivering a kick. This also lowers the target's Defense stat.
glacial-lance,legends-arceus,en,The user attacks by hurling a blizzard-cloaked icicle lance at opposing Pokémon.
astral-barrage,legends-arceus,en,The user attacks by sending a frightful amount of small ghosts at opposing Pokémon.
eerie-spell,legends-arceus,en,The user attacks with its tremendous psychic power. This also removes 3 PP from the target's last move.
dire-claw,legends-arceus,fr,"Le lanceur attaque avec des griffes destructrices en visant les points faibles. La cible peut aussi être empoisonnée, paralysée, ou prise de somnolence."
dire-claw,legends-arceus,en,"The user lashes out at the target with ruinous claws, aiming to land a critical hit. This may also leave the target poisoned, paralyzed, or drowsy."
psyshield-bash,legends-arceus,fr,Le lanceur s'enveloppe d'énergie psychique et frappe sa cible de plein fouet. Peut aussi augmenter la puissance défensive du lanceur.
psyshield-bash,legends-arceus,en,"Cloaking itself in psychic energy, the user slams into the target. This may also raise the user’s defensive stats."
power-shift,legends-arceus,fr,Le lanceur échange sa puissance offensive avec sa puissance défensive.
power-shift,legends-arceus,en,The user swaps its offensive and defensive stats.
stone-axe,legends-arceus,fr,Le lanceur attaque le point faible de sa cible avec sa hache de pierre. Les débris de pierre continuent d'infliger des dégâts à la cible plusieurs fois.
stone-axe,legends-arceus,en,"The user swings its stone axes at the target, aiming to land a critical hit. Stone splinters left behind by this attack continue to damage the target for several turns."
springtide-storm,legends-arceus,fr,Le lanceur déclenche un violent typhon mêlé de haine et d'amour qui s'abat sur l'ennemi. Les effets additionnels changent en fonction de la forme du lanceur.
