item,version_group,version,type,subtype,location_area_pokedb,location_detail,is_repeatable,is_hidden,is_guaranteed,quantity,probability,cost_amount,currency,required_badge,unlock_condition,notes,source
iron-chunk,legends-arceus,legends-arceus,crafting,craftworks,,Craftworks,1,0,1,,,,,,,,pokedb
iron-chunk,legends-arceus,legends-arceus,walking-pokemon,,,Found by Ursaluna,1,0,0,,,,,,,Sometimes,pokedb
iron-plate,legends-arceus,,request,,lava-dome-sanctum,"Lava Dome Sanctum (reward for catching Heatran during Mission 22: ""The Plate of Firespit Island"")",0,0,1,,,,,,,,bulbapedia
lajet-ball,legends-arceus,,event,,,Event,0,0,1,,,,,,,,bulbapedia
lajet-ball,legends-arceus,,crafting,apricorn,,"Crafting: 1 Apricorn, 2 Sky Tumblestones, and 2 Iron Chunks",1,0,1,,,,,,,,bulbapedia
lajet-ball,legends-arceus,,overworld,,ginkgo-guild-cart,Ginkgo Guild cart (×20; randomly sold by Ginter),1,0,1,20,,,,,,,bulbapedia
jolly-mint,legends-arceus,legends-arceus,harvest,,,Farm (mint harvest),1,0,0,,,,,,,,pokedb
jubilife-muffin,legends-arceus,legends-arceus,crafting,recipe,,"Crafting using 2 Hearty Grains, 2 Hopo Berries, 1 Razz Berry, and 1 Cake-Lure Base",1,0,1,,,,,,,,pokedb
kings-leaf,legends-arceus,legends-arceus,harvest,,jubilife-village-farm,Medicinal harvest,1,0,0,,,,,,,,pokedb
kings-leaf,legends-arceus,legends-arceus,shop,vendor,jubilife-village,Ginkgo Guild cart (Tuli),1,0,1,,,1000,poke-dollar,,"After starting Mission 12: ""The Slumbering Lord of the Tundra""",,pokedb
kings-leaf,legends-arceus,legends-arceus,overworld,visible,,"Leaf piles in Crimson Mirelands, Cobalt Coastlands, Coronet Highlands",1,0,0,,,,,,,,pokedb
kings-leaf,legends-arceus,legends-arceus,npc-gift,,jubilife-village,"Reward for completing Request 57: ""The Taste of Honey""",0,0,1,3,,,,,,,pokedb
kings-leaf,legends-arceus,legends-arceus,overworld,recurring,,"Obsidian Fieldlands, Crimson Mirelands, Cobalt Coastlands, Coronet Highlands, Alabaster Icelands",1,0,0,,,,,,,Recurring item,pokedb
lax-mint,legends-arceus,legends-arceus,harvest,,jubilife-village-farm,Mint harvest,1,0,0,,,,,,,,pokedb
laleaden-ball,legends-arceus,,crafting,apricorn,,"Crafting: 1 Apricorn, 1 Black Tumblestone, and 1 Iron Chunk",1,0,1,,,,,,,,bulbapedia
laleaden-ball,legends-arceus,,shop,,,"General store, base camp stores",1,0,1,,,,,,"after completing Request 61: ""Even More New Wares""",,bulbapedia
laleaden-ball,legends-arceus,,overworld,,ginkgo-guild-cart,Ginkgo Guild cart (×20; randomly sold by Ginter),1,0,1,20,,,,,,,bulbapedia
laleaden-ball,legends-arceus,,npc-gift,,practice-field,Practice field (random balloon minigame reward),1,0,1,,,,,,,,bulbapedia
laleaden-ball,legends-arceus,,npc-gift,,cobalt-coastlands,Cobalt Coastlands Balloon Race (random reward),1,0,1,,,,,,,,bulbapedia
legend-plate,legends-arceus,legends-arceus,story,,hall-of-origin,"Reward for defeating Arceus during Mission 27: ""The Deified Pokémon""",0,0,1,,,,,,,,pokedb
linking-cord,legends-arceus,legends-arceus,story,,jubilife-village,Reward from Vessa for collecting 50 wisps; Request 64: Getting to Know Ghosts,0,0,1,,,,,,,,pokedb
linking-cord,legends-arceus,legends-arceus,exchange,,trading-post,Trading Post,1,0,1,,,1000,league-point,,,Cost is in Merit Points (MP),pokedb
linking-cord,legends-arceus,legends-arceus,shop,vendor,jubilife-village,"Ginkgo Guild cart (Ginter, sold as Mysterious Cord)",1,0,0,,,,,,,Randomly sold,pokedb
linking-cord,legends-arceus,legends-arceus,overworld,recurring,,Space-time distortions,1,0,0,,,,,,,,pokedb
lonely-mint,legends-arceus,legends-arceus,harvest,,,Farm,1,0,0,,,,,,,Mint harvest,pokedb
lost-satchel,legends-arceus,legends-arceus,overworld,recurring,,Various points in every area except Jubilife Village and the Ancient Retreat,1,0,1,,,,,,,,pokedb
lustrous-globe,legends-arceus,legends-arceus,story,,pearl-settlement,"Reward for defeating Irida to complete Request 90: ""The Pearl Clan's Treasure""",0,0,1,,,,,,,,pokedb
marsh-balm,legends-arceus,legends-arceus,story,,valor-cavern-hisui,"During Mission 15: ""The Trial of Lake Valor""",0,0,1,,,,,,During Mission 15,,pokedb
marsh-balm,legends-arceus,legends-arceus,story,,brava-arena,"During Mission 8: ""Arezu's Predicament"" and post-game rematches",1,0,1,,,,,,During Mission 8,,pokedb
meadow-plate,legends-arceus,,request,,brava-arena,"Brava Arena (reward for defeating the noble Hisuian Lilligant during Mission 8: ""Arezu's Predicament"")",0,0,1,,,,,,,,bulbapedia
medicinal-leek,legends-arceus,legends-arceus,overworld,recurring,crimson-mirelands,Haystacks,1,0,0,,,,,,,,pokedb
medicinal-leek,legends-arceus,legends-arceus,harvest,,jubilife-village,Farm (medicinal harvest),1,0,1,,,,,,,,pokedb
medicinal-leek,legends-arceus,legends-arceus,shop,vendor,jubilife-village,Ginkgo Guild cart (Tuli),1,0,1,,,,,,,,pokedb
medicinal-leek,legends-arceus,legends-arceus,dropped,,,Dropped by wild Pokémon,1,0,0,,,,,,,,pokedb
medicinal-leek,legends-arceus,legends-arceus,overworld,recurring,,"Obsidian Fieldlands, Crimson Mirelands, Cobalt Coastlands, Coronet Highlands, Alabaster Icelands",1,0,1,,,,,,,,pokedb
mesprits-plume,legends-arceus,legends-arceus,story,,verity-cavern-hisui,"Obtained from Mesprit after passing its challenge during Mission 14: ""The Trial of Lake Verity""",0,0,1,,,,,,During Mission 14: The Trial of Lake Verity,,pokedb
mild-mint,legends-arceus,legends-arceus,harvest,,,Farm (mint harvest),1,0,0,,,,,,,,pokedb
mountain-balm,legends-arceus,legends-arceus,story,,moonview-arena,During Mission 11: Scaling Perilous Heights and post-game rematches,1,0,1,,,,,,During Mission 11 and post-game rematches,,pokedb
mushroom-cake,legends-arceus,legends-arceus,crafting,recipe,,1 Springy Mushroom and 1 Cake-Lure Base,1,0,1,1,,,,,,,pokedb
mushroom-cake,legends-arceus,legends-arceus,overworld,visible,cobalt-coastlands,Boxes,1,0,0,1,,,,,,,pokedb
mushroom-cake,legends-arceus,legends-arceus,overworld,visible,coronet-highlands,Boxes,1,0,0,1,,,,,,,pokedb
mushroom-cake,legends-arceus,legends-arceus,shop,vendor,,General store and base camp stores,1,0,1,1,,400,poke-dollar,,After completing Request 23: Getting Ahold of New Wares,,pokedb
mushroom-cake,legends-arceus,legends-arceus,shop,vendor,,Ginkgo Guild cart (Ginter),1,0,0,10,,,,,,Randomly sold,pokedb
mysterious-balm,legends-arceus,legends-arceus,story,,hall-of-origin,"During Mission 27: ""The Deified Pokémon"" and in rematches",1,0,1,,,,,,During Mission 27 after gaining access to the Hall of Origin,,pokedb
naive-mint,legends-arceus,legends-arceus,harvest,,jubilife-village-farm,Mint harvest,1,0,0,,,,,,,,pokedb
naughty-mint,legends-arceus,legends-arceus,harvest,,jubilife-village-farm,Mint harvest,1,0,0,,,,,,,,pokedb
odd-keystone,legends-arceus,,request,,jubilife-village,"Jubilife Village (from Vessa after completing Mission 7: ""The Frenzy of the Lord of the Woods"")",0,0,1,,,,,,,,bulbapedia
old-journal,legends-arceus,legends-arceus,overworld,visible,avalanche-slopes,Near two Snorunt during Request 82: Traces of a Lost Village,0,0,1,,,,,,During Request 82: Traces of a Lost Village,,pokedb
old-verse-01,legends-arceus,legends-arceus,field-move,,gapejaw-bog,,0,0,1,,,,,,While riding Ursaluna,,pokedb
laorigin-ball,legends-arceus,,request,,galaxy-hall,"Galaxy Hall (from Professor Laventon after obtaining the Origin Ore during Mission 18: ""The Counterpart"")",0,0,1,,,,,,,,bulbapedia
origin-ore,legends-arceus,legends-arceus,npc-gift,,primeval-grotto,"Received from Lian inside the cave after defeating the Miss Fortunes during Mission 18: ""The Counterpart""",0,0,1,,,,,,"After defeating the Miss Fortunes during Mission 18: ""The Counterpart""",,pokedb
peat-block,legends-arceus,,request,,galaxy-hall,"Galaxy Hall (reward for completing Request 86: ""Gone Astray...in the Icelands"")",0,0,1,,,,,,,,bulbapedia
peat-block,legends-arceus,,overworld,,ginkgo-guild-cart,"Ginkgo Guild cart (randomly sold by Ginter, as ""Hunk of Coal"")",1,0,1,,,,,,,,bulbapedia
peat-block,legends-arceus,,overworld,,,Sometimes found by Ursaluna,1,0,1,,,,,,,,bulbapedia
pep-up-plant,legends-arceus,legends-arceus,overworld,recurring,obsidian-fieldlands,,1,0,1,,,,,,,,pokedb
pep-up-plant,legends-arceus,legends-arceus,overworld,recurring,crimson-mirelands,,1,0,1,,,,,,,,pokedb
pep-up-plant,legends-arceus,legends-arceus,overworld,recurring,cobalt-coastlands,,1,0,1,,,,,,,,pokedb
pep-up-plant,legends-arceus,legends-arceus,overworld,recurring,coronet-highlands,,1,0,1,,,,,,,,pokedb
pep-up-plant,legends-arceus,legends-arceus,overworld,recurring,alabaster-icelands,,1,0,1,,,,,,,,pokedb
pep-up-plant,legends-arceus,legends-arceus,dropped,,,"Dropped by wild Stantler, Wyrdeer, Hisuian Sneasel, and Sneasler",1,0,0,,,,,,,,pokedb
pep-up-plant,legends-arceus,legends-arceus,harvest,,jubilife-village,Farm (medicinal harvest),1,0,1,,,,,,,,pokedb
pep-up-plant,legends-arceus,legends-arceus,shop,vendor,jubilife-village,Ginkgo Guild cart (Tuli),1,0,1,,,,,,"After starting Mission 10: ""The Lordless Island""",,pokedb
pixie-plate,legends-arceus,,request,,ancient-retreat,"Ancient Retreat (from Cogita after giving her three pieces of Wood during Mission 26: ""Seeking the Remaining Plates"")",0,0,1,,,,,,,,bulbapedia
plump-beans,legends-arceus,legends-arceus,harvest,,,Farm (vegetable harvest),1,0,0,,,,,,,,pokedb
plump-beans,legends-arceus,legends-arceus,overworld,recurring,cobalt-coastlands,Recurring item,1,0,1,,,,,,,,pokedb
plump-beans,legends-arceus,legends-arceus,crafting,craftworks,,Craftworks,1,0,1,,,,,,,,pokedb
plump-beans,legends-arceus,legends-arceus,walking-pokemon,,cobalt-coastlands,Found by Ursaluna,1,0,0,,,,,,,,pokedb
poke-ball-hisuian,legends-arceus,legends-arceus,request,,jubilife-village,Reward for completing Request 2: Adorable Starly,0,0,1,10,,,,,,,pokedb
poke-ball-hisuian,legends-arceus,legends-arceus,npc-gift,,galaxy-hall,Professor Laventon after starting Mission 2: The Galaxy Team's Entry Trial,0,0,1,20,,,,,After starting Mission 2,,pokedb
poke-ball-hisuian,legends-arceus,legends-arceus,request,,deertrack-path,Reward for completing Request 13: Trees That Bear Berries,0,0,1,15,,,,,,,pokedb
poke-ball-hisuian,legends-arceus,legends-arceus,crafting,recipe,,1 Apricorn and 1 Tumblestone,1,0,1,1,,,,,,,pokedb
poke-ball-hisuian,legends-arceus,legends-arceus,shop,vendor,jubilife-village,General store and base camp stores,1,0,1,,,100,poke-dollar,,,,pokedb
pokeshi-doll,legends-arceus,legends-arceus,request,,jubilife-village,"Reward for completing Request 18: ""Please! Make me a Pokéshi Doll!""",0,0,1,,,,,,,,pokedb
pokeshi-doll,legends-arceus,legends-arceus,crafting,recipe,,Crafting using 3 Wood,1,0,1,,,,,,,,pokedb
pop-pod,legends-arceus,legends-arceus,overworld,recurring,cobalt-coastlands,,1,0,1,,,,,,,,pokedb
pop-pod,legends-arceus,legends-arceus,overworld,recurring,alabaster-icelands,,1,0,1,,,,,,,,pokedb
pop-pod,legends-arceus,legends-arceus,dropped,,,,1,0,0,,,,,,,Dropped by wild Pokémon,pokedb
pop-pod,legends-arceus,legends-arceus,crafting,craftworks,,Craftworks,1,0,1,,,,,,,,pokedb
quiet-mint,legends-arceus,legends-arceus,harvest,,,Farm (mint harvest),1,0,1,,,,,,,,pokedb
rash-mint,legends-arceus,legends-arceus,harvest,,,Farm (mint harvest),1,0,0,,,,,,,,pokedb
red-chain,legends-arceus,,npc-gift,,shrouded-ruins,Shrouded Ruins (created by the lake guardians after obtaining the respective materials from each of them),0,0,1,,,,,,,,bulbapedia
relaxed-mint,legends-arceus,legends-arceus,harvest,,jubilife-village-farm,Mint harvest,1,0,0,,,,,,,,pokedb
remedy,legends-arceus,legends-arceus,crafting,recipe,,Crafting using 2 Bugworts,1,0,1,1,,,,,,,pokedb
reveal-glass,legends-arceus,,npc-gift,,ancient-retreat,Ancient Retreat (from Cogita after completing the Pokédex entries of all the forces of nature),0,0,1,,,,,,,,bulbapedia
salt-cake,legends-arceus,legends-arceus,crafting,recipe,,Requires 1 Crunchy Salt and 1 Cake-Lure Base,1,0,1,,,,,,,,pokedb
salt-cake,legends-arceus,legends-arceus,request,,galaxy-hall,"Reward for completing Request 67: ""The Clefairy's Moonlit Dance""",0,0,1,5,,,,,,,pokedb
salt-cake,legends-arceus,legends-arceus,shop,vendor,,General store and base camp stores,1,0,1,,,400,poke-dollar,,"After completing Request 71: ""New Wares Yet Again""",,pokedb
salt-cake,legends-arceus,legends-arceus,shop,vendor,ginkgo-guild-cart,Randomly sold by Ginter (×10),1,0,0,10,,,,,,,pokedb
sand-radish,legends-arceus,legends-arceus,overworld,recurring,alabaster-icelands,Recurring item spawn,1,0,1,,,,,,,,pokedb
sand-radish,legends-arceus,legends-arceus,harvest,,,Farm vegetable harvest,1,0,1,,,,,,,,pokedb
sand-radish,legends-arceus,legends-arceus,shop,vendor,jubilife-village,Ginkgo Guild cart (Tuli),1,0,1,,,,,,"After starting Mission 12: ""The Slumbering Lord of the Tundra""",,pokedb
sassy-mint,legends-arceus,legends-arceus,harvest,,,Farm (mint harvest),1,0,0,,,,,,,,pokedb
scatter-bang,legends-arceus,legends-arceus,tournament,,practice-field,Balloon minigame reward,1,0,0,,,,,,,Random reward.,pokedb
scatter-bang,legends-arceus,legends-arceus,npc-gift,,veilstone-cape,"Reward for completing Request 49: ""Keep an Eye Out for Aipom!""",0,0,1,5,,,,,,,pokedb
scatter-bang,legends-arceus,legends-arceus,crafting,recipe,,,1,0,1,,,,,,,Requires 1 Pop Pod and 1 Caster Fern.,pokedb
scatter-bang,legends-arceus,legends-arceus,dropped,,cobalt-coastlands,Boxes and chests,1,0,0,,,,,,,,pokedb
scatter-bang,legends-arceus,legends-arceus,dropped,,coronet-highlands,Boxes and chests,1,0,0,,,,,,,,pokedb
scatter-bang,legends-arceus,legends-arceus,shop,vendor,,Ginkgo Guild cart (Ginter),1,0,0,10,,,,,,Randomly sold.,pokedb
scatter-bang,legends-arceus,legends-arceus,shop,vendor,,General store and base camp stores,1,0,1,,,500,poke-dollar,,"After completing Request 43: ""More New Wares""",,pokedb
secret-medicine,legends-arceus,legends-arceus,npc-gift,,galaxy-hall,From Tomma after speaking with Martia at the Diamond Settlement,0,0,1,,,,,,Request 32: The Headache-Stricken Psyduck,,pokedb
seed-of-mastery,legends-arceus,legends-arceus,dropped,,,Dropped by wild alpha Pokémon,1,0,0,1,,,,,,,pokedb
seed-of-mastery,legends-arceus,legends-arceus,npc-gift,,jubilife-village,"Vessa, for collecting 20 wisps",0,0,1,1,,,,,After collecting 20 wisps,,pokedb
seed-of-mastery,legends-arceus,legends-arceus,npc-gift,,jubilife-village,"Vessa, for collecting 80 wisps",0,0,1,3,,,,,After collecting 80 wisps,,pokedb
seed-of-mastery,legends-arceus,legends-arceus,request,,ramanas-island,Reward for completing Request 51: Coming Up Roses,0,0,1,1,,,,,,,pokedb
serious-mint,legends-arceus,legends-arceus,harvest,,jubilife-village-farm,Mint harvest,1,0,0,,,,,,,,pokedb
shiny-charm,legends-arceus,,npc-gift,,galaxy-hall,"Galaxy Hall 1F (from Cyllene after reaching research level 10 for all Pokémon in the game, excluding Mythical Pokémon except Arceus)",0,0,1,,,,,,,,bulbapedia
sky-plate,legends-arceus,,request,,snowpoint-temple,"Snowpoint Temple (reward for defeating Hisuian Braviary during Mission 12: ""The Slumbering Lord of the Tundra"")",0,0,1,,,,,,,,bulbapedia
sky-tumblestone,legends-arceus,legends-arceus,crafting,craftworks,,,1,0,1,,,,,,,,pokedb
sky-tumblestone,legends-arceus,legends-arceus,request,,ginkgo-landing,"Reward for completing Request 98: ""Massive Mass Outbreak in the Coastlands""",0,0,1,30,,,,,,,pokedb
sky-tumblestone,legends-arceus,legends-arceus,mining,,,Blue ore deposits,1,0,0,,,,,,,"Found in Obsidian Fieldlands, Crimson Mirelands, Cobalt Coastlands, Coronet Highlands, and Alabaster Icelands",pokedb
sky-tumblestone,legends-arceus,legends-arceus,harvest,,,Sometimes found by Ursaluna,1,1,0,,,,,,,,pokedb
smoke-bomb,legends-arceus,legends-arceus,shop,vendor,jubilife-village,General store and base camp stores,1,0,1,,,400,poke-dollar,,After completing Request 23,,pokedb
smoke-bomb,legends-arceus,legends-arceus,overworld,recurring,coronet-highlands,Boxes and chests,1,0,0,,,,,,,,pokedb
smoke-bomb,legends-arceus,legends-arceus,overworld,recurring,cobalt-coastlands,Boxes and chests,1,0,0,,,,,,,,pokedb
smoke-bomb,legends-arceus,legends-arceus,request,,galaxy-hall,Reward for completing Request 37 and Request 38,0,0,1,5,,,,,After completing specific requests,,pokedb
smoke-bomb,legends-arceus,legends-arceus,request,,jubilife-village,Reward for completing Request 96,0,0,1,20,,,,,After completing Request 96,,pokedb
smoke-bomb,legends-arceus,legends-arceus,crafting,recipe,,Craft using 1 Sootfoot Root and 1 Caster Fern,1,0,1,,,,,,,,pokedb
snow-balm,legends-arceus,legends-arceus,story,,icepeak-arena,"During Mission 12: ""The Slumbering Lord of the Tundra"" and post-game rematches",1,0,1,,,,,,,,pokedb
sootfoot-root,legends-arceus,legends-arceus,overworld,recurring,cobalt-coastlands,,1,0,1,,,,,,,,pokedb
sootfoot-root,legends-arceus,legends-arceus,harvest,,,Farm (vegetable harvest),1,0,1,,,,,,,,pokedb
sootfoot-root,legends-arceus,legends-arceus,crafting,craftworks,,,1,0,1,,,,,,,,pokedb
sootfoot-root,legends-arceus,legends-arceus,overworld,recurring,alabaster-icelands,,1,0,1,,,,,,,,pokedb
sootfoot-root,legends-arceus,legends-arceus,overworld,recurring,crimson-mirelands,,1,0,1,,,,,,,,pokedb
space-balm,legends-arceus,legends-arceus,story,,temple-of-sinnoh,"During Mission 18: ""The Counterpart"" and post-game rematches if Adaman was chosen in Mission 13",1,0,1,,,,,,"Choose Adaman during Mission 13: ""Disaster Looming""",,pokedb
spoiled-apricorn,legends-arceus,legends-arceus,harvest,,,Apricorn trees,1,0,0,,,,,,,Found in all regions,pokedb
spoiled-apricorn,legends-arceus,legends-arceus,npc-gift,,,Adaman during Request 100: Massive Mass Outbreak in the Highlands,0,0,1,100,,,,,During Request 100,,pokedb
spoiled-apricorn,legends-arceus,legends-arceus,overworld,recurring,,Leaf piles,1,0,0,,,,,,,,pokedb
spoiled-apricorn,legends-arceus,legends-arceus,harvest,,jubilife-village-farm,Apricorn harvest,1,0,1,,,,,,,,pokedb
springy-mushroom,legends-arceus,legends-arceus,harvest,,,"Leaf piles in Crimson Mirelands, Cobalt Coastlands, Coronet Highlands",1,0,0,,,,,,,,pokedb
springy-mushroom,legends-arceus,legends-arceus,overworld,recurring,,"Obsidian Fieldlands, Crimson Mirelands, Cobalt Coastlands, Coronet Highlands",1,0,1,,,,,,,Recurring item spawns,pokedb
springy-mushroom,legends-arceus,legends-arceus,crafting,craftworks,,Craftworks,1,0,1,,,,,,,,pokedb
springy-mushroom,legends-arceus,legends-arceus,harvest,,,Farm (mushroom harvest),1,0,1,,,,,,,,pokedb
springy-mushroom,legends-arceus,legends-arceus,tournament,,obsidian-fieldlands,Balloon Race random reward,1,0,0,,,,,,,,pokedb
springy-mushroom,legends-arceus,legends-arceus,dropped,,obsidian-fieldlands,Sometimes found by Ursaluna,1,0,0,,,,,,,,pokedb
stealth-spray,legends-arceus,legends-arceus,crafting,recipe,,Crafting using 1 Hopo Berry and 3 Bugworts,1,0,1,,,,,,,,pokedb
stealth-spray,legends-arceus,legends-arceus,overworld,visible,cobalt-coastlands,Chests,1,0,0,,,,,,,,pokedb
stealth-spray,legends-arceus,legends-arceus,overworld,visible,coronet-highlands,Chests,1,0,0,,,,,,,,pokedb
stealth-spray,legends-arceus,legends-arceus,shop,vendor,,General store and base camp stores,1,0,1,,,800,poke-dollar,,"After completing Request 43: ""More New Wares""",,pokedb
stealth-spray,legends-arceus,legends-arceus,shop,vendor,,Ginkgo Guild cart (Ginter),1,0,0,5,,,,,,Randomly sold,pokedb
sticky-glob,legends-arceus,legends-arceus,shop,vendor,jubilife-village,General store and base camp stores,1,0,1,,,800,poke-dollar,,After completing Request 71: New Wares Yet Again,,pokedb
sticky-glob,legends-arceus,legends-arceus,story,,sacred-plaza,Reward for completing Request 87: Rolling with Spheal,0,0,1,5,,,,,,,pokedb
sticky-glob,legends-arceus,legends-arceus,story,,jubilife-village,From Gaeric during Request 98: Massive Mass Outbreak in the Coastlands,0,0,1,30,,,,,,,pokedb
sticky-glob,legends-arceus,legends-arceus,crafting,recipe,,"Crafted using 1 Ball of Mud, 1 Spoiled Apricorn, and 1 Caster Fern",1,0,1,,,,,,,,pokedb
sticky-glob,legends-arceus,legends-arceus,overworld,recurring,cobalt-coastlands,Found in boxes and chests,1,0,0,,,,,,,,pokedb
sticky-glob,legends-arceus,legends-arceus,overworld,recurring,coronet-highlands,Found in boxes and chests,1,0,0,,,,,,,,pokedb
sticky-glob,legends-arceus,legends-arceus,shop,vendor,ginkgo-guild-cart,Randomly sold by Ginter,1,0,0,10,,,poke-dollar,,,,pokedb
sticky-glob,legends-arceus,legends-arceus,contest,,practice-field,Random reward from balloon minigame,1,0,0,,,,,,,,pokedb
sticky-glob,legends-arceus,legends-arceus,contest,,alabaster-icelands,Balloon Race random reward,1,0,0,,,,,,,,pokedb
superb-remedy,legends-arceus,legends-arceus,crafting,recipe,,Crafting using 1 Fine Remedy and 1 Vivichoke,1,0,1,,,,,,,,pokedb
survival-charm,legends-arceus,legends-arceus,shop,vendor,jubilife-village,Folk Shrine (Charm Lady Lucille),1,0,1,,,,,,,,pokedb
swap-snack,legends-arceus,legends-arceus,crafting,recipe,,,1,0,1,,,,,,,"Requires 1 Candy Truffle, 1 Sootfoot Root, 1 Springy Mushroom, and 1 Hopo Berry.",pokedb
swordcap,legends-arceus,legends-arceus,harvest,,,Farm (mushroom harvest),1,0,1,,,,,,,,pokedb
swordcap,legends-arceus,legends-arceus,overworld,recurring,,"Obsidian Fieldlands, Crimson Mirelands, Cobalt Coastlands, Coronet Highlands",1,0,1,,,,,,,,pokedb
swordcap,legends-arceus,legends-arceus,shop,vendor,,Ginkgo Guild cart (Tuli),1,0,1,,,240,poke-dollar,,,,pokedb
tempting-charm,legends-arceus,legends-arceus,shop,vendor,jubilife-village,Folk Shrine (Charm Lady Lucille),1,0,1,,,,,,,,pokedb
time-balm,legends-arceus,legends-arceus,story,,temple-of-sinnoh,"During Mission 18: The Counterpart, and post-game rematches if Irida was chosen during Mission 13: Disaster Looming",1,0,1,,,,,,Choose Irida during Mission 13: Disaster Looming,,pokedb
timid-mint,legends-arceus,legends-arceus,harvest,,jubilife-village-farm,Mint harvest,1,0,0,,,,,,,,pokedb
torn-journal,legends-arceus,legends-arceus,overworld,visible,arenas-approach,Near two Snorunt in the Alabaster Icelands,0,0,1,,,,,,During Request 82: Traces of a Lost Village,,pokedb
toxic-plate,legends-arceus,,request,,clamberclaw-cliffs,"Clamberclaw Cliffs (reward from Sneasler during Mission 11: ""Scaling Perilous Heights"")",0,0,1,,,,,,,,bulbapedia
tumblestone,legends-arceus,legends-arceus,harvest,,,Sometimes found by Ursaluna,1,0,0,,,,,,,,pokedb
tumblestone,legends-arceus,legends-arceus,story,,jubilife-village,From Rei/Akari during Mission 3: The Basics of Crafting,0,0,1,20,,,,,,,pokedb
tumblestone,legends-arceus,legends-arceus,request,,galaxy-hall,Reward for completing Request 95: A New Anomaly,0,0,1,60,,,,,,,pokedb
tumblestone,legends-arceus,legends-arceus,request,,,Reward for completing Request 96: Massive Mass Outbreak in the Fieldlands,0,0,1,30,,,,,,,pokedb
tumblestone,legends-arceus,legends-arceus,request,,ginkgo-landing,Reward for completing Request 98: Massive Mass Outbreak in the Coastlands,0,0,1,30,,,,,,,pokedb
tumblestone,legends-arceus,legends-arceus,request,,,Reward for completing Request 100: Massive Mass Outbreak in the Highlands,0,0,1,30,,,,,,,pokedb
tumblestone,legends-arceus,legends-arceus,mining,,,Red ore deposits in Hisui,1,0,0,,,,,,,,pokedb
tumblestone,legends-arceus,legends-arceus,crafting,craftworks,,Craftworks,1,0,1,,,,,,,,pokedb
twice-spiced-radish,legends-arceus,legends-arceus,crafting,recipe,,"Crafting using 2 Sand Radishes, 2 Crunchy Salts, 2 Plump Beans, and 2 King's Leaves",1,0,1,,,,,,,,pokedb
twice-spiced-radish,legends-arceus,legends-arceus,request,,,"Reward for completing Request 22: ""Eerie Apparitions in the Night""",0,0,1,3,,,,,,,pokedb
ultra-ball-hisui,legends-arceus,legends-arceus,story,,temple-of-sinnoh,From Kamado during Mission 17: Atop Mount Coronet,0,0,1,10,,,,,During Mission 17,,pokedb
ultra-ball-hisui,legends-arceus,legends-arceus,request,,,Reward for Request 47: Balloon Race in the Coastlands,0,0,1,,,,,,After completing Request 47,,pokedb
ultra-ball-hisui,legends-arceus,legends-arceus,request,,galaxy-hall,Reward for Request 95: A New Anomaly,0,0,1,30,,,,,After completing Request 95,,pokedb
ultra-ball-hisui,legends-arceus,legends-arceus,crafting,recipe,,"1 Apricorn, 2 Tumblestones, 2 Iron Chunks",1,0,1,,,,,,,,pokedb
ultra-ball-hisui,legends-arceus,legends-arceus,shop,vendor,jubilife-village,General store and base camp stores,1,0,1,,,600,poke-dollar,,After completing Request 71: New Wares Yet Again,,pokedb
up-grade,legends-arceus,,overworld,,trading-post,"Trading post (1,000 MP)",1,0,1,,,,,,,,bulbapedia
up-grade,legends-arceus,,overworld,,ginkgo-guild-cart,"Ginkgo Guild cart (randomly sold by Ginter, as ""Mysterious Box"")",1,0,1,,,,,,,,bulbapedia
up-grade,legends-arceus,,overworld,,,Space-time distortions,1,0,1,,,,,,,,bulbapedia
uxies-claw,legends-arceus,legends-arceus,npc-gift,,acuity-cavern-hisui,"Received from Uxie after passing its challenge during Mission 16: ""The Trial of Lake Acuity""",0,0,1,,,,,,After completing Mission 16: The Trial of Lake Acuity,,pokedb
vivichoke,legends-arceus,legends-arceus,harvest,,jubilife-village,Farm (medicinal harvest),1,0,0,,,,,,,,pokedb
vivichoke,legends-arceus,legends-arceus,request,,,Reward for completing Request 11: The Timbre of the Fields,0,0,1,3,,,,,,,pokedb
vivichoke,legends-arceus,legends-arceus,request,,jubilife-village,Reward for completing Request 17: To Bloom or Not to Bloom,0,0,1,5,,,,,,,pokedb
vivichoke,legends-arceus,legends-arceus,overworld,recurring,,"Obsidian Fieldlands, Crimson Mirelands, Cobalt Coastlands, Coronet Highlands, Alabaster Icelands",1,0,0,,,,,,,Recurring item spawn,pokedb
vivichoke,legends-arceus,legends-arceus,harvest,,crimson-mirelands,Haystacks,1,0,0,,,,,,,,pokedb
vivichoke,legends-arceus,legends-arceus,shop,vendor,jubilife-village,Ginkgo Guild cart (Tuli),1,0,1,,,400,poke-dollar,,,,pokedb
volcano-balm,legends-arceus,legends-arceus,story,,molten-arena,"During Mission 10: ""The Lordless Island"" and post-game rematches",1,0,1,,,,,,"During Mission 10: ""The Lordless Island""",,pokedb
wall-fragment,legends-arceus,legends-arceus,story,,golden-lowlands,"From the Miss Fortune sisters after defeating Coin during Mission 8: ""Arezu's Predicament""",0,0,1,,,,,,"During Mission 8: ""Arezu's Predicament""",,pokedb
