region,area,poi_name,description,page,source
kanto,Pallet Town,Player's house,"Generations I, III, and VII: In Generations I, III, and VII, this house is where the player lives before beginning their journey. The player's Mom lives here, and after the player has left town for the first time, going home and talking to her will fully rest/restore all of the player's Pokémon, just like a Pokémon Center. In Generation I, the player's bedroom has a PC, a bed, and a TV with an SNES hooked up to it. It serves no other purpose, although the PC can be used to access the player's item storage, where a single Potion can be found and withdrawn from at the start of the game. In Generation III, the player's house features an enhanced version of the bedroom from Generation I. The only difference is the SNES being replaced with an NES. In Generation VII, with the removal of the item storage function, the player's PC displays an email from their friend and rival. In addition, the SNES from Generation I is replaced with a docked Nintendo Switch, with a single left Joy-Con next to it. In Generations I and III, before going down the stairs, there is a sign on the wall that reminds the player how to open the Bag. This sign's purpose is replaced in Generation VII by the PC's email. In Generation I, a movie is shown on the first-floor television involving four boys walking on railroad tracks, a reference to the film Stand by Me; (July 2000). [https://web.archive.org/web/20230418175409/https://www.nintendo.co.jp/nom/0007/taidan1/page04.html 田尻智さん（ゲームフリーク）ＶＳ石原恒和さん（クリーチャーズ）対談 (ページｄ)]。 Nintendo Online Magazine (N.O.M). No.23. however, in Generations III and VII, this will only appear if the player is a male. If the player is a female, the television will display a girl in pigtails walking down a yellow brick road, possibly a reference to the film The Wizard of Oz. Generations II and IV: In Generations II and IV, Red's mother is alone in the house, telling the player how worried she is about Red, but also how proud she is of him. In SoulSilver, the graphical features have also been updated to the Generation IV standard since Crystal. On the ground floor, there is a table with a large mug of tea sitting on it, a bigger TV, bookshelves, and a kitchen area located on the northwestern side of the room containing a refrigerator and a sink. On the upstairs floor is Red's bedroom, which contains a study desk with a laptop computer sitting on it, a Nintendo 64 or Wii, depending on the Generation, three bookshelves, and a single bed in the southwestern corner. Examining the laptop shows that the items in the room are collecting dust, as if they haven't been used in a long time.",Pallet Town,bulbapedia
kanto,Pallet Town,Rival's house,"In Generations I and III, after the Pokédex has been given to the player by Professor Oak, the rival's sister will give the player a Town Map. In Generation III, Daisy will check the lead Pokémon's friendship and offer to groom a Pokémon in the player's party. She can only groom one Pokémon for every 500 steps the player takes. In Generation VII, Daisy is replaced by the nameless sister of their childhood friend. While she does not groom Pokémon, she can still evaluate the friendship between the player and any Pokémon in their party. In Generations II and IV, Daisy will help the player comb their Pokémon, causing its friendship to be raised. In Generation IV, she'll give the player Blue's Pokégear phone number so the player can call and arrange a rematch with him at the Fighting Dojo. Also returning from previous generations, Daisy will groom one of the player's Pokémon for free once daily between 3:00 and 4:00 PM. As in Generation II, it will raise a Pokémon's friendship greatly; however, it will also raise the Pokémon's Beauty stat. This is not displayed anywhere in-game, and the Pokémon must be seen in Diamond, Pearl, or Platinum to notice. Despite this, Feebas whose Beauty is maxed out this way can evolve into Milotic, unlike in FireRed and LeafGreen, where the Beauty stat did not exist in any shape or form. As a reference to Daisy's enjoyment of tea in Generation III, a large mug of tea sits on her table. In Generation IV only, the rival's house has a second story that mirrors the player's house, much like their Hoenn and Sinnoh counterparts.",Pallet Town,bulbapedia
kanto,Fuchsia City,Safari Zone,"The Safari Zone is a special Pokémon preserve where Trainers can enter to catch certain types of Pokémon. It is owned by the Warden. For 500, the player will receive 30 Safari Balls. With a large area to cover, Trainers must plan out their destination so as to arrive in time to capture all the Pokémon they want. When a wild Pokémon appears, no Pokémon may be sent out to battle it: catching Pokémon here, as in all Safari Zones, requires sheer luck. There are four options in the battle screen: throw a Safari Ball, throw Bait, throw a Rock, and run away. Throwing Bait makes a Pokémon less likely to run, but makes it harder to catch; while throwing a Rock does the reverse, making it easier to catch but more likely to run. During Generations I and III, however, a sweepstakes is taking place to find a hidden house deep in the Safari Zone, called the Secret House. The winner of the sweepstakes receives Surf. During Generations II and IV, the Safari Zone is not open. In SoulSilver only, the Kanto Pal Park takes its place. During Generation VII, the regular catching mechanics of Pokémon Let's Go, Pikachu! and Let's Go, Eevee! is similar to the Safari Game, with different types of Berry being thrown to make catching instead of weakening wild Pokémon in battle. The Safari Zone now refers to the former Pokémon Zoo in the front, and the GO Park out back. SAFARI GAME POKéMON-U-CATCH!",Fuchsia City,bulbapedia
kanto,Fuchsia City,Safari Zone Warden,"Safari Zone Warden Baoba is the man in charge of the Kanto Safari Zone. His house is located on the southeastern side of the city. He lives in a cottage next to the Pokémon Center. The locals of Fuchsia nicknamed the Warden ""Slowpoke"" because he has a vacant look similar to that seen on a Slowpoke. He's actually very knowledgeable about Pokémon, which should only be natural as taking care of the Safari Zone Pokémon is part of his job. He has a collection of rare Pokémon Fossils. He has recently lost his false teeth in the Safari Zone (I) (FRLG) or on Route 19 (PE) and has become unable to speak clearly. If the player character returns his teeth to him, he'll give them Strength, (I) (FRLG) or he will teach their Partner Pokémon the Secret Technique Strong Push and will give both the player and their Partner Pokémon the Safari Set. (PE) In Generations I to IV, wild Pokémon appear in the city in a pond behind the Warden's house. He also runs a promotion in the Safari Zone. Pokémon Trainers who find the Secret House on the grounds are given Surf. (I) (FRLG) As do not have the original version of the Safari Zone, the Secret House, or HMs, the games' rough equivalent of Surf, the Secret Technique Sea Skim, is taught to the player's Partner Pokémon by another NPC in Fuchsia City. It's probable that Baoba is friends with Koga, as the Gym Leader patrols the grounds of the Safari Zone to keep things safe. In LeafGreen, Koga's daughter, Janine, can also be found just outside of the Safari Zone after the player enters the Hall of Fame. In Generation II, the Warden has left on a trip, so the Safari Zone has been shut down and most of the exclusive Pokémon have been moved to adjacent Routes. As there is a GO Park in place of the original Safari Zone in Let's Go, Pikachu! and Let's Go, Eevee!, The once-exclusive Pokémon are also moved there in the Generation VII games, with Tauros, Chansey, Scyther, (P) and Pinsir (E) now being obtainable on Route 15. In SoulSilver, however, the park's closing led to the opening of a Pal Park. It's also in these games that the Warden's name is revealed to be Baoba. Wishing to maintain the Safari Game, Baoba opens another Safari Zone in Johto. SAFARI ZONE WARDEN'S HOME",Fuchsia City,bulbapedia
kanto,Fuchsia City,Move Deleter,"In Generation III, a Move Deleter resides in the house next to the Fuchsia City's Pokémon Center. The Move Deleter is a very forgetful man who lives alone. For no charge, he will make a Pokémon forget a move that it knows, provided that the move is not the only move which that Pokémon knows. He is the only way for a Pokémon to forget HM moves such as Cut or Fly. This house cannot be accessed in Generations I, II, or IV. In Generation VII, the house is still accessible, now the residence of a young couple who inform the player that the Move Deleter ""Mr. Dazzling"" has moved away to the former home of the younger Fishing Brother on Route 12. As neither HMs nor the Super Rod are in Let's Go, Pikachu! and Let's Go, Eevee!, he now gives the player Dazzling Gleam.",Fuchsia City,bulbapedia
kanto,Fuchsia City,Pokémon Zoo,"In Generations I and III, a Pokémon zoo is located in Fuchsia City, just outside the Safari Zone. However, it is closed, like the Safari Zone, in Generations II and IV. There are Pokémon on display, including Chansey, Lapras, Voltorb, Kangaskhan, and Slowpoke. In addition, the Fossil that the player ""shares"" with the Super Nerd in Mt. Moon appears here as well. It will be a Kabuto if the player chose the Helix Fossil, and an Omanyte if the player chose the Dome Fossil. In Generation VII, it is the front area of the Safari Zone, also known as the Playful Park. Chansey, Lapras, Voltorb, Kangaskhan, Slowpoke, and either Kabuto or Omanyte are still in this part of the city outside of the GO Park but now roam freely instead of being on display in enclosures. POKéMON PARADISE SAFARI ZONE POKéMON PARADISE SAFARI ZONE Name: SLOWPOKE Friendly and very slow moving. Name: SLOWPOKE Friendly and very slow moving. Name: CHANSEY Catching one is all up to chance. Name: CHANSEY Catching one is all up to chance. Name: VOLTORB The very image of a POKé BALL. Name: VOLTORB The very image of a POKé BALL. Name: KANGASKHAN A maternal POKéMON that raises its young in a pouch on its belly. Name: KANGASKHAN A maternal POKéMON that raises its young in a pouch on its belly. Name: LAPRAS A.K.A. the king of the seas. Name: LAPRAS AKA the king of the seas. Name: OMANYTE/KABUTO A POKéMON that was resurrected from a fossil. Name: KABUTO/OMANYTE An extremely rare POKéMON that was regenerated from a fossil. In Generation II only, there's a notice outside the Safari Zone Office informing that it is closed until further notice. There's a notice here... SAFARI ZONE OFFICE is closed until further notice. Also exclusive to Generation II is a sign within the Pokémon Zoo warning people to avoid littering. No littering. Please take your waste with you.",Fuchsia City,bulbapedia
kanto,Fuchsia City,Berries,"In SoulSilver, a Juggler that is found near Pal Park will hand out three different types of Berries each time a shard is traded. The types of Berries given to the player depend on the shard's color. He won't give any of the Berries in a set if the player has no space for one of the Berries in that set. There is another Juggler that will trade a shard for Berries in Violet City.",Fuchsia City,bulbapedia
kanto,Fuchsia City,Move Tutor,"In Pokémon FireRed and LeafGreen, near the Kangaskhan exhibit, there is a Bug Catcher who teaches the move Substitute. In Pokémon: Let's Go, Pikachu! and Let's Go, Eevee!, a Trainer in the Pokémon Center will teach the player's Partner Pokémon exclusive moves.",Fuchsia City,bulbapedia
kanto,Fuchsia City,Fuchsia Gym,"The Fuchsia Gym is the official Gym of Fuchsia City. It is based on Poison Pokémon. In Generations I, III, and VII, the Gym Leader is Koga. However, by Generations II and IV, the Gym Leader's duties have been taken up by Koga's daughter, Janine. Trainers who are victorious at this Gym receive the Soul. The Gym contains a maze made of invisible walls. Under Janine's rule, an additional layer of challenge is added by having all the Gym Trainers be disguised as the Gym Leader until talked to.",Fuchsia City,bulbapedia
kanto,Cinnabar Island,Volcano,"There is a volcano on Cinnabar Island which gives it its name. In Generation I and III, no volcano is visible on the island, but in Generation VII, the volcano is on the western side, near the Cinnabar Lab and Pokémon Mansion. In Generation II and IV, the volcano has erupted on the island, destroying everything with only the Pokémon Center being rebuilt. In these games, the player can actually see the volcano itself.",Cinnabar Island,bulbapedia
kanto,Cinnabar Island,Cinnabar Gym,"The Cinnabar Gym is the official Gym of Cinnabar Island in Generations I, III, and VII. it is based on Fire Pokémon and the Gym Leader is Blaine. Trainers who defeat him receive the Volcano. The player is unable to enter the Gym at once; only when they obtain the Secret Key from the Pokémon Mansion can they unlock the door to the Gym. It was relocated to the Seafoam Islands following the volcanic eruption in Generation II and IV.",Cinnabar Island,bulbapedia
kanto,Cinnabar Island,Pokémon Mansion,"The Pokémon Mansion is a decrepit, burned-down mansion on Cinnabar Island. It got its name because a famous Pokémon researcher once lived there. To access the Cinnabar Island Gym in Generations I, III, and VII, the player has to enter the mansion and find the Secret Key to unlock the door of the Gym. Many Burglars come to the mansion, trying to steal valuable items that may have been lost in the wreckage. Several journal entries can be found around the mansion, describing the discovery of Mew and the creation of Mewtwo. It has been destroyed as a result of a volcanic eruption by the time of Generation II and Generation IV.",Cinnabar Island,bulbapedia
kanto,Cinnabar Island,Cinnabar Lab,"The Cinnabar Lab, known as the Pokémon Lab prior to Let's Go, Pikachu! and Let's Go, Eevee!, is a laboratory located on Cinnabar Island. It was founded by Dr. Fuji and appears in the Generation I games and their remakes. In Generations I and III, the west room of the Cinnabar Lab has two people who will offer to trade Pokémon. In the east room, there is a scientist who will revive the Fossils the player has obtained. In Silph Co., there is a Pokémon Report stating that Cinnabar Lab created Porygon. It has been destroyed as a result of a volcanic eruption by the time of Generation II and Generation IV.",Cinnabar Island,bulbapedia
kanto,Cinnabar Island,Blue,"In Generation II and IV, Blue can be found near the Volcano on Cinnabar Island. After taking the position of the Viridian City Gym from Giovanni following the events of Generation I and III, he will return to the Gym after being spoken to here. In Generation IV, he will only return to the Viridian Gym after the player has the other seven Gym Badges from Kanto.",Cinnabar Island,bulbapedia
