identifier,column,pokeapi,pokedb
psystrike,name_zh-hant,精神擊破,精神擊破 / 精神击破
tail-slap,name_zh-hant,掃尾拍打,掃尾拍打 / 扫尾拍打
hurricane,name_zh-hant,暴風,暴風 / 暴风
head-charge,name_zh-hant,爆炸頭突擊,爆炸頭突擊 / 爆炸头突击
gear-grind,name_zh-hant,齒輪飛盤,齒輪飛盤 / 齿轮飞盘
searing-shot,name_zh-hant,火焰彈,火焰彈 / 火焰弹
secret-sword,name_fr,Lame Ointe,Lame Ouinte
secret-sword,name_zh-hant,神秘之劍,神秘之劍 / 神秘之剑
glaciate,name_ko,얼어붙은세계,얼다세계
bolt-strike,name_zh-hant,雷擊,雷擊 / 雷击
freeze-shock,name_zh-hant,冰凍伏特,冰凍伏特 / 冰冻伏特
ice-burn,name_zh-hant,極寒冷焰,極寒冷焰 / 极寒冷焰
snarl,name_zh-hant,大聲咆哮,大聲咆哮 / 大声咆哮
icicle-crash,name_zh-hant,冰柱墜擊,冰柱墜擊 / 冰柱坠击
v-create,name_zh-hant,Ｖ熱焰,Ｖ熱焰 / Ｖ热焰
fusion-flare,name_zh-hant,交錯火焰,交錯火焰 / 交错火焰
fusion-bolt,name_zh-hant,交錯閃電,交錯閃電 / 交错闪电
flying-press,name_zh-hant,飛身重壓,飛身重壓 / 飞身重压
sticky-web,name_zh-hant,黏黏網,黏黏網 / 黏黏网
fell-stinger,name_zh-hant,致命針刺,致命針刺 / 致命针刺
phantom-force,name_zh-hant,潛靈奇襲,潛靈奇襲 / 潜灵奇袭
trick-or-treat,name_zh-hant,萬聖夜,萬聖夜 / 万圣夜
noble-roar,name_zh-hant,戰吼,戰吼 / 战吼
ion-deluge,name_zh-hant,等離子浴,等離子浴 / 等离子浴
parabolic-charge,name_zh-hant,拋物面充電,拋物面充電 / 抛物面充电
forests-curse,name_zh-hant,森林詛咒,森林詛咒 / 森林诅咒
petal-blizzard,name_zh-hant,落英繽紛,落英繽紛 / 落英缤纷
freeze-dry,name_zh-hant,冷凍乾燥,冷凍乾燥 / 冷冻干燥
disarming-voice,name_zh-hant,魅惑之聲,魅惑之聲 / 魅惑之声
parting-shot,name_zh-hant,拋下狠話,拋下狠話 / 抛下狠话
topsy-turvy,name_zh-hant,顛倒,顛倒 / 颠倒
crafty-shield,name_zh-hant,戲法防守,戲法防守 / 戏法防守
flower-shield,name_zh-hant,鮮花防守,鮮花防守 / 鲜花防守
grassy-terrain,name_zh-hant,青草場地,青草場地 / 青草场地
misty-terrain,name_zh-hant,薄霧場地,薄霧場地 / 薄雾场地
electrify,name_zh-hant,輸電,輸電 / 输电
play-rough,name_zh-hant,嬉鬧,嬉鬧 / 嬉闹
fairy-wind,name_zh-hant,妖精之風,妖精之風 / 妖精之风
fairy-lock,name_zh-hant,妖精之鎖,妖精之鎖 / 妖精之锁
kings-shield,name_en,King’s Shield,King's Shield
play-nice,name_zh-hant,和睦相處,和睦相處 / 和睦相处
confide,name_zh-hant,密語,密語 / 密语
diamond-storm,name_es,Tormenta de Diamantes,Torm. Diamantes
diamond-storm,name_zh-hant,鑽石風暴,鑽石風暴 / 钻石风暴
hyperspace-hole,name_ko,이차원홀,다른차원홀
hyperspace-hole,name_zh-hant,異次元洞,異次元洞 / 异次元洞
water-shuriken,name_zh-hant,飛水手裡劍,飛水手裡劍 / 飞水手里剑
aromatic-mist,name_zh-hant,芳香薄霧,芳香薄霧 / 芳香薄雾
eerie-impulse,name_zh-hant,怪異電波,怪異電波 / 怪异电波
powder,name_zh-hant,粉塵,粉塵 / 粉尘
magnetic-flux,name_zh-hant,磁場操控,磁場操控 / 磁场操控
happy-hour,name_zh-hant,歡樂時光,歡樂時光 / 欢乐时光
electric-terrain,name_zh-hant,電氣場地,電氣場地 / 电气场地
dazzling-gleam,name_zh-hant,魔法閃耀,魔法閃耀 / 魔法闪耀
celebrate,name_zh-hant,慶祝,慶祝 / 庆祝
hold-hands,name_zh-hant,牽手,牽手 / 牵手
baby-doll-eyes,name_zh-hant,圓瞳,圓瞳 / 圆瞳
nuzzle,name_zh-hant,蹭蹭臉頰,蹭蹭臉頰 / 蹭蹭脸颊
infestation,name_zh-hant,死纏爛打,死纏爛打 / 死缠烂打
power-up-punch,name_zh-hant,增強拳,增強拳 / 增强拳
oblivion-wing,name_fr,Mort’Ailes,Mort'Ailes
thousand-arrows,name_zh-hant,千箭齊發,千箭齊發 / 千箭齐发
thousand-waves,name_zh-hant,千波激盪,千波激盪 / 千波激荡
lands-wrath,name_en,Land’s Wrath,Land's Wrath
light-of-ruin,name_zh-hant,破滅之光,破滅之光 / 破灭之光
origin-pulse,name_zh-hant,根源波動,根源波動 / 根源波动
precipice-blades,name_zh-hant,斷崖之劍,斷崖之劍 / 断崖之剑
dragon-ascent,name_zh-hant,畫龍點睛,畫龍點睛 / 画龙点睛
hyperspace-fury,name_ko,이차원러시,다른차원러시
hyperspace-fury,name_zh-hant,異次元猛攻,異次元猛攻 / 异次元猛攻
breakneck-blitz--physical,_row_,present,missing
breakneck-blitz--special,_row_,present,missing
all-out-pummeling--physical,_row_,present,missing
all-out-pummeling--special,_row_,present,missing
supersonic-skystrike--physical,_row_,present,missing
supersonic-skystrike--special,_row_,present,missing
acid-downpour--physical,_row_,present,missing
acid-downpour--special,_row_,present,missing
tectonic-rage--physical,_row_,present,missing
tectonic-rage--special,_row_,present,missing
continental-crush--physical,_row_,present,missing
continental-crush--special,_row_,present,missing
savage-spin-out--physical,_row_,present,missing
savage-spin-out--special,_row_,present,missing
never-ending-nightmare--physical,_row_,present,missing
never-ending-nightmare--special,_row_,present,missing
corkscrew-crash--physical,_row_,present,missing
corkscrew-crash--special,_row_,present,missing
inferno-overdrive--physical,_row_,present,missing
inferno-overdrive--special,_row_,present,missing
hydro-vortex--physical,_row_,present,missing
hydro-vortex--special,_row_,present,missing
bloom-doom--physical,_row_,present,missing
bloom-doom--special,_row_,present,missing
gigavolt-havoc--physical,_row_,present,missing
gigavolt-havoc--special,_row_,present,missing
shattered-psyche--physical,_row_,present,missing
shattered-psyche--special,_row_,present,missing
subzero-slammer--physical,_row_,present,missing
subzero-slammer--special,_row_,present,missing
devastating-drake--physical,_row_,present,missing
devastating-drake--special,_row_,present,missing
black-hole-eclipse--physical,_row_,present,missing
black-hole-eclipse--special,_row_,present,missing
twinkle-tackle--physical,damage_class,physical,vary
twinkle-tackle--physical,name_zh-hant,可愛星星飛天撞,可愛星星飛天撞 / 可爱星星飞天撞
twinkle-tackle--special,_row_,present,missing
catastropika,name_zh-hant,皮卡皮卡必殺擊,皮卡皮卡必殺擊 / 皮卡皮卡必杀击
shore-up,name_fr,Amass’Sable,Amass'Sable
first-impression,name_zh-hant,迎頭一擊,迎頭一擊 / 迎头一击
spirit-shackle,name_it,Cucitura d’Ombra,Cucitura d'Ombra
spirit-shackle,name_zh-hant,縫影,縫影 / 缝影
sparkling-aria,name_fr,Aria de l’Écume,Aria de l'Écume
sparkling-aria,name_zh-hant,泡影的詠歎調,泡影的詠歎調 / 泡影的咏叹调
ice-hammer,name_zh-hant,冰錘,冰錘 / 冰锤
floral-healing,name_zh-hant,花療,花療 / 花疗
high-horsepower,name_zh-hant,十萬馬力,十萬馬力 / 十万马力
leafage,name_zh-hant,樹葉,樹葉 / 树叶
spotlight,name_zh-hant,聚光燈,聚光燈 / 聚光灯
toxic-thread,name_zh-hant,毒絲,毒絲 / 毒丝
laser-focus,name_zh-hant,磨礪,磨礪 / 磨砺
gear-up,name_zh-hant,輔助齒輪,輔助齒輪 / 辅助齿轮
throat-chop,name_zh-hant,地獄突刺,地獄突刺 / 地狱突刺
pollen-puff,name_zh-hant,花粉團,花粉團 / 花粉团
anchor-shot,name_it,Colpo d’Ancora,Colpo d'Ancora
anchor-shot,name_ko,앵커샷,앵커숏
anchor-shot,name_zh-hant,擲錨,擲錨 / 掷锚
psychic-terrain,name_zh-hant,精神場地,精神場地 / 精神场地
lunge,name_zh-hant,猛撲,猛撲 / 猛扑
power-trip,name_zh-hant,囂張,囂張 / 嚣张
burn-up,name_zh-hant,燃盡,燃盡 / 燃尽
speed-swap,name_ko,스피드스왑,스피드스웹
speed-swap,name_zh-hant,速度互換,速度互換 / 速度互换
smart-strike,name_ko,스마트혼,스마트호른
smart-strike,name_zh-hant,修長之角,修長之角 / 修长之角
purify,name_zh-hant,淨化,淨化 / 净化
revelation-dance,name_zh-hant,覺醒之舞,覺醒之舞 / 觉醒之舞
core-enforcer,name_zh-hant,核心懲罰者,核心懲罰者 / 核心惩罚者
trop-kick,name_es,Patada Tropical,Patada Tropica
trop-kick,name_zh-hant,熱帶踢,熱帶踢 / 热带踢
instruct,name_zh-hant,號令,號令 / 号令
beak-blast,name_zh-hant,鳥嘴加農炮,鳥嘴加農炮 / 鸟嘴加农炮
clanging-scales,name_zh-hant,鱗片噪音,鱗片噪音 / 鳞片噪音
dragon-hammer,name_zh-hant,龍錘,龍錘 / 龙锤
brutal-swing,name_zh-hant,狂舞揮打,狂舞揮打 / 狂舞挥打
aurora-veil,name_zh-hant,極光幕,極光幕 / 极光幕
malicious-moonsault,name_zh-hant,極惡飛躍粉碎擊,極惡飛躍粉碎擊 / 极恶飞跃粉碎击
oceanic-operetta,name_zh-hant,海神莊嚴交響樂,海神莊嚴交響樂 / 海神庄严交响乐
guardian-of-alola,name_fr,Colère du Gardien d’Alola,Colère du Gardien d'Alola
guardian-of-alola,name_zh-hant,巨人衛士・阿羅拉,巨人衛士・阿羅拉 / 巨人卫士・阿罗拉
soul-stealing-7-star-strike,name_ja,しちせいだっこんたい,七星奪魂腿
soul-stealing-7-star-strike,name_zh-hant,七星奪魂腿,七星奪魂腿 / 七星夺魂腿
stoked-sparksurfer,name_ko,라이트닝서프라이드,라이트닝 서프라이드
stoked-sparksurfer,name_zh-hant,駕雷馭電戲衝浪,駕雷馭電戲衝浪 / 驾雷驭电戏冲浪
pulverizing-pancake,name_ja,ほんきをだす　こうげき,ほんきをだすこうげき
pulverizing-pancake,name_zh-hant,認真起來大爆擊,認真起來大爆擊 / 认真起来大爆击
extreme-evoboost,name_zh-hant,九彩昇華齊聚頂,九彩昇華齊聚頂 / 九彩升华齐聚顶
shell-trap,name_zh-hant,陷阱甲殼,陷阱甲殼 / 陷阱甲壳
fleur-cannon,name_zh-hant,花朵加農炮,花朵加農炮 / 花朵加农炮
stomping-tantrum,name_zh-hant,跺腳,跺腳 / 跺脚
accelerock,name_zh-hant,衝岩,衝岩 / 冲岩
prismatic-laser,name_zh-hant,稜鏡鐳射,稜鏡鐳射 / 棱镜镭射
spectral-thief,name_zh-hant,暗影偷盜,暗影偷盜 / 暗影偷盗
sunsteel-strike,name_zh-hant,流星閃衝,流星閃衝 / 流星闪冲
moongeist-beam,name_it,Raggio d’Ombra,Raggio d'Ombra
tearful-look,name_fr,Larme à l’Œil,Larme à l'Œil
tearful-look,name_zh-hant,淚眼汪汪,淚眼汪汪 / 泪眼汪汪
multi-attack,name_zh-hant,多屬性攻擊,多屬性攻擊 / 多属性攻击
10-000-000-volt-thunderbolt,name_ja,１０００まんボルト,1000まんボルト
10-000-000-volt-thunderbolt,name_zh-hant,千萬伏特,千萬伏特 / 千万伏特
mind-blown,name_zh-hant,驚爆大頭,驚爆大頭 / 惊爆大头
plasma-fists,name_zh-hant,等離子閃電拳,等離子閃電拳 / 等离子闪电拳
photon-geyser,name_zh-hant,光子噴湧,光子噴湧 / 光子喷涌
light-that-burns-the-sky,name_ja,てんこがすめつぼうのひかり,天焦がす滅亡の光
light-that-burns-the-sky,name_zh-hant,焚天滅世熾光爆,焚天滅世熾光爆 / 焚天灭世炽光爆
searing-sunraze-smash,name_zh-hant,日光迴旋下蒼穹,日光迴旋下蒼穹 / 日光回旋下苍穹
menacing-moonraze-maelstrom,name_zh-hant,月華飛濺落靈霄,月華飛濺落靈霄 / 月华飞溅落灵霄
lets-snuggle-forever,name_zh-hant,親密無間大亂揍,親密無間大亂揍 / 亲密无间大乱揍
splintered-stormshards,name_zh-hant,狼嘯石牙颶風暴,狼嘯石牙颶風暴 / 狼啸石牙飓风暴
clangorous-soulblaze,name_zh-hant,熾魂熱舞烈音爆,熾魂熱舞烈音爆 / 炽魂热舞烈音爆
zippy-zap,name_zh-hant,電電加速,電電加速 / 电电加速
splishy-splash,name_zh-hant,滔滔衝浪,滔滔衝浪 / 滔滔冲浪
floaty-fall,name_zh-hant,飄飄墜落,飄飄墜落 / 飘飘坠落
pika-papow,name_zh-hant,閃閃雷光,閃閃雷光 / 闪闪雷光
bouncy-bubble,name_zh-hant,活活氣泡,活活氣泡 / 活活气泡
buzzy-buzz,name_zh-hant,麻麻電擊,麻麻電擊 / 麻麻电击
glitzy-glow,name_zh-hant,嘩嘩氣場,嘩嘩氣場 / 哗哗气场
baddy-bad,name_zh-hant,壞壞領域,壞壞領域 / 坏坏领域
sappy-seed,name_de,Sprießbomben,Sprießomben
sappy-seed,name_zh-hant,茁茁轟炸,茁茁轟炸 / 茁茁轰炸
freezy-frost,name_zh-hant,冰冰霜凍,冰冰霜凍 / 冰冰霜冻
sparkly-swirl,name_zh-hant,亮亮風暴,亮亮風暴 / 亮亮风暴
veevee-volley,name_zh-hant,砰砰擊破,砰砰擊破 / 砰砰击破
double-iron-bash,name_fr,Écrous d’Poing,Écrous d'Poing
double-iron-bash,name_zh-hant,鋼拳雙擊,鋼拳雙擊 / 钢拳双击
max-guard,name_es,Maxibarrera,Maxibarriera
max-guard,name_zh-hant,極巨防壁,極巨防壁 / 极巨防壁
dynamax-cannon,name_zh-hant,極巨炮,極巨炮 / 极巨炮
snipe-shot,name_de,Präzisionsschuss,Präisionsschuss
snipe-shot,name_zh-hant,狙擊,狙擊 / 狙击
jaw-lock,name_it,Morsostretto,Morostretto
jaw-lock,name_zh-hant,緊咬不放,緊咬不放 / 紧咬不放
stuff-cheeks,name_zh-hant,大快朵頤,大快朵頤 / 大快朵颐
no-retreat,name_zh-hant,背水一戰,背水一戰 / 背水一战
tar-shot,name_ko,타르샷,타르숏
tar-shot,name_zh-hant,瀝青射擊,瀝青射擊 / 沥青射击
dragon-darts,name_zh-hant,龍箭,龍箭 / 龙箭
teatime,name_zh-hant,茶會,茶會 / 茶会
bolt-beak,name_zh-hant,電喙,電喙 / 电喙
fishious-rend,name_zh-hant,鰓咬,鰓咬 / 鳃咬
court-change,name_zh-hant,換場,換場 / 换场
max-flare,accuracy,,100
max-flare,damage_class,physical,vary
max-flare,name_zh-hant,極巨火爆,極巨火爆 / 极巨火爆
max-flutterby,accuracy,,100
max-flutterby,damage_class,physical,vary
max-flutterby,name_zh-hant,極巨蟲蠱,極巨蟲蠱 / 极巨虫蛊
max-lightning,accuracy,,100
max-lightning,damage_class,physical,vary
max-lightning,name_zh-hant,極巨閃電,極巨閃電 / 极巨闪电
max-strike,accuracy,,100
max-strike,damage_class,physical,vary
max-strike,name_zh-hant,極巨攻擊,極巨攻擊 / 极巨攻击
max-knuckle,accuracy,,100
max-knuckle,damage_class,physical,vary
max-knuckle,name_zh-hant,極巨拳鬥,極巨拳鬥 / 极巨拳斗
max-phantasm,accuracy,,100
max-phantasm,damage_class,physical,vary
max-phantasm,name_zh-hant,極巨幽魂,極巨幽魂 / 极巨幽魂
max-hailstorm,accuracy,,100
max-hailstorm,damage_class,physical,vary
max-hailstorm,name_zh-hant,極巨寒冰,極巨寒冰 / 极巨寒冰
max-ooze,accuracy,,100
max-ooze,damage_class,physical,vary
max-ooze,name_zh-hant,極巨酸毒,極巨酸毒 / 极巨酸毒
max-geyser,accuracy,,100
max-geyser,damage_class,physical,vary
max-geyser,name_zh-hant,極巨水流,極巨水流 / 极巨水流
max-airstream,accuracy,,100
max-airstream,damage_class,physical,vary
max-airstream,name_zh-hant,極巨飛衝,極巨飛衝 / 极巨飞冲
max-starfall,accuracy,,100
max-starfall,damage_class,physical,vary
max-starfall,name_zh-hant,極巨妖精,極巨妖精 / 极巨妖精
max-wyrmwind,accuracy,,100
max-wyrmwind,damage_class,physical,vary
max-wyrmwind,name_zh-hant,極巨龍騎,極巨龍騎 / 极巨龙骑
max-mindstorm,accuracy,,100
max-mindstorm,damage_class,physical,vary
max-mindstorm,name_zh-hant,極巨超能,極巨超能 / 极巨超能
max-rockfall,accuracy,,100
max-rockfall,damage_class,physical,vary
max-rockfall,name_zh-hant,極巨岩石,極巨岩石 / 极巨岩石
max-quake,accuracy,,100
max-quake,damage_class,physical,vary
max-quake,name_zh-hant,極巨大地,極巨大地 / 极巨大地
max-darkness,accuracy,,100
max-darkness,damage_class,physical,vary
max-darkness,name_zh-hant,極巨惡霸,極巨惡霸 / 极巨恶霸
max-overgrowth,accuracy,,100
max-overgrowth,damage_class,physical,vary
max-overgrowth,name_zh-hant,極巨草原,極巨草原 / 极巨草原
max-steelspike,accuracy,,100
max-steelspike,damage_class,physical,vary
max-steelspike,name_zh-hant,極巨鋼鐵,極巨鋼鐵 / 极巨钢铁
body-press,name_zh-hant,撲擊,撲擊 / 扑击
decorate,name_zh-hant,裝飾,裝飾 / 装饰
drum-beating,name_zh-hant,鼓擊,鼓擊 / 鼓击
snap-trap,name_zh-hant,捕獸夾,捕獸夾 / 捕兽夹
behemoth-blade,name_zh-hant,巨獸斬,巨獸斬 / 巨兽斩
behemoth-bash,name_zh-hant,巨獸彈,巨獸彈 / 巨兽弹
aura-wheel,name_it,Ruota d’Aura,Ruota d'Aura
aura-wheel,name_zh-hant,氣場輪,氣場輪 / 气场轮
breaking-swipe,name_zh-hant,廣域破壞,廣域破壞 / 广域破坏
apple-acid,name_zh-hant,蘋果酸,蘋果酸 / 苹果酸
grav-apple,name_zh-hant,萬有引力,萬有引力 / 万有引力
spirit-break,name_zh-hant,靈魂衝擊,靈魂衝擊 / 灵魂冲击
obstruct,name_zh-hant,攔堵,攔堵 / 拦堵
meteor-assault,name_zh-hant,流星突擊,流星突擊 / 流星突击
eternabeam,name_zh-hant,無極光束,無極光束 / 无极光束
steel-beam,name_it,Raggio d’Acciaio,Raggio d'Acciaio
steel-beam,name_zh-hant,鐵蹄光線,鐵蹄光線 / 铁蹄光线
expanding-force,name_it,Vastenergia,Vasterngia
expanding-force,name_zh-hant,廣域戰力,廣域戰力 / 广域战力
steel-roller,name_zh-hant,鐵滾輪,鐵滾輪 / 铁滚轮
scale-shot,name_zh-hant,鱗射,鱗射 / 鳞射
shell-side-arm,damage_class,special,vary
shell-side-arm,name_zh-hant,臂貝武器,臂貝武器 / 臂贝武器
misty-explosion,name_zh-hant,薄霧炸裂,薄霧炸裂 / 薄雾炸裂
grassy-glide,name_fr,Gliss’Herbe,Gliss'Herbe
rising-voltage,name_zh-hant,電力上升,電力上升 / 电力上升
terrain-pulse,name_zh-hant,大地波動,大地波動 / 大地波动
skitter-smack,name_zh-hant,爬擊,爬擊 / 爬击
lash-out,name_zh-hant,洩憤,洩憤 / 泄愤
poltergeist,name_zh-hant,靈騷,靈騷 / 灵骚
corrosive-gas,name_zh-hant,腐蝕氣體,腐蝕氣體 / 腐蚀气体
coaching,name_zh-hant,指導,指導 / 指导
triple-axel,name_zh-hant,三旋擊,三旋擊 / 三旋击
dual-wingbeat,name_zh-hant,雙翼,雙翼 / 双翼
scorching-sands,name_zh-hant,熱沙大地,熱沙大地 / 热沙大地
jungle-healing,name_zh-hant,叢林治療,叢林治療 / 丛林治疗
wicked-blow,name_zh-hant,暗冥強擊,暗冥強擊 / 暗冥强击
surging-strikes,name_zh-hant,水流連打,水流連打 / 水流连打
thunder-cage,name_zh-hant,雷電囚籠,雷電囚籠 / 雷电囚笼
dragon-energy,name_zh-hant,巨龍威能,巨龍威能 / 巨龙威能
freezing-glare,name_zh-hant,冰冷視線,冰冷視線 / 冰冷视线
fiery-wrath,name_zh-hant,怒火中燒,怒火中燒 / 怒火中烧
thunderous-kick,name_zh-hant,雷鳴蹴擊,雷鳴蹴擊 / 雷鸣蹴击
eerie-spell,name_zh-hant,詭異咒語,詭異咒語 / 诡异咒语
dire-claw,name_zh-hant,剋命爪,剋命爪 / 克命爪
power-shift,name_zh-hant,力量轉換,力量轉換 / 力量转换
springtide-storm,name_zh-hant,陽春風暴,陽春風暴 / 阳春风暴
raging-fury,name_zh-hant,大憤慨,大憤慨 / 大愤慨
wave-crash,name_zh-hant,波動衝,波動衝 / 波动冲
chloroblast,name_zh-hant,葉綠爆震,葉綠爆震 / 叶绿爆震
mountain-gale,name_zh-hant,冰山風,冰山風 / 冰山风
victory-dance,name_zh-hant,勝利之舞,勝利之舞 / 胜利之舞
headlong-rush,name_zh-hant,突飛猛撲,突飛猛撲 / 突飞猛扑
barb-barrage,name_zh-hant,毒千針,毒千針 / 毒千针
esper-wing,name_it,Ali d’Aura,Ali d'Aura
esper-wing,name_zh-hant,氣場之翼,氣場之翼 / 气场之翼
bitter-malice,name_zh-hant,冤冤相報,冤冤相報 / 冤冤相报
shelter,name_zh-hant,閉關,閉關 / 闭关
triple-arrows,name_zh-hant,三連箭,三連箭 / 三连箭
infernal-parade,name_zh-hant,群魔亂舞,群魔亂舞 / 群魔乱舞
ceaseless-edge,name_zh-hant,秘劍・千重濤,秘劍・千重濤 / 秘剑・千重涛
bleakwind-storm,name_zh-hant,枯葉風暴,枯葉風暴 / 枯叶风暴
wildbolt-storm,name_zh-hant,鳴雷風暴,鳴雷風暴 / 鸣雷风暴
sandsear-storm,name_zh-hant,熱沙風暴,熱沙風暴 / 热沙风暴
lunar-blessing,name_zh-hant,新月祈禱,新月祈禱 / 新月祈祷
take-heart,name_zh-hant,勇氣填充,勇氣填充 / 勇气填充
tera-blast,damage_class,special,vary
tera-blast,name_zh-hant,太晶爆發,太晶爆發 / 太晶爆发
silk-trap,name_zh-hant,線阱,線阱 / 线阱
axe-kick,name_zh-hant,下壓踢,下壓踢 / 下压踢
last-respects,name_zh-hant,掃墓,掃墓 / 扫墓
lumina-crash,name_zh-hant,琉光衝激,琉光衝激 / 琉光冲激
jet-punch,name_zh-hant,噴射拳,噴射拳 / 喷射拳
spicy-extract,name_zh-hant,辣椒精華,辣椒精華 / 辣椒精华
spin-out,name_zh-hant,疾速轉輪,疾速轉輪 / 疾速转轮
population-bomb,name_zh-hant,鼠數兒,鼠數兒 / 鼠数儿
revival-blessing,name_zh-hant,復生祈禱,復生祈禱 / 复生祈祷
salt-cure,name_zh-hant,鹽醃,鹽醃 / 盐腌
triple-dive,name_zh-hant,三連鑽,三連鑽 / 三连钻
mortal-spin,name_zh-hant,晶光轉轉,晶光轉轉 / 晶光转转
doodle,name_ko,배껴그리기,베껴그리기
doodle,name_zh-hant,描繪,描繪 / 描绘
kowtow-cleave,name_zh-hant,仆斬,仆斬 / 仆刀
flower-trick,name_zh-hant,千變萬花,千變萬花 / 千变万花
torch-song,name_zh-hant,閃焰高歌,閃焰高歌 / 闪焰高歌
make-it-rain,name_it,Corsa all’Oro,Corsa all'Oro
hydro-steam,name_zh-hant,水蒸氣,水蒸氣 / 水蒸气
ruination,name_zh-hant,大災難,大災難 / 大灾难
collision-course,name_ko,엑셀브레이크,액셀브레이크
collision-course,name_zh-hant,全開猛撞,全開猛撞 / 全开猛撞
electro-drift,name_zh-hant,閃電猛衝,閃電猛衝 / 闪电猛冲
shed-tail,name_zh-hant,斷尾,斷尾 / 断尾
chilly-reception,name_zh-hant,冷笑話,冷笑話 / 冷笑话
tidy-up,name_zh-hant,大掃除,大掃除 / 大扫除
pounce,name_zh-hant,蟲撲,蟲撲 / 虫扑
chilling-water,name_zh-hant,潑冷水,潑冷水 / 泼冷水
hyper-drill,name_zh-hant,強力鑽,強力鑽 / 强力钻
twin-beam,name_zh-hant,雙光束,雙光束 / 双光束
rage-fist,name_zh-hant,憤怒之拳,憤怒之拳 / 愤怒之拳
armor-cannon,name_zh-hant,鎧農炮,鎧農炮 / 铠农炮
bitter-blade,name_zh-hant,悔念劍,悔念劍 / 悔念剑
double-shock,name_zh-hant,電光雙擊,電光雙擊 / 电光双击
gigaton-hammer,name_zh-hant,巨力錘,巨力錘 / 巨力锤
comeuppance,name_zh-hant,復仇,復仇 / 复仇
blazing-torque,name_zh-hant,灼熱暴衝,灼熱暴衝 / 灼热暴冲
wicked-torque,name_ko,다크액셀,Dark Axel
wicked-torque,name_zh-hant,黑暗暴衝,黑暗暴衝 / 黑暗暴冲
noxious-torque,name_ko,포이즌액셀,Poison Axel
noxious-torque,name_zh-hant,劇毒暴衝,劇毒暴衝 / 剧毒暴冲
combat-torque,name_ko,파이트액셀,Fight Axel
combat-torque,name_zh-hant,格鬥暴衝,格鬥暴衝 / 格斗暴冲
magical-torque,name_ko,매지컬액셀,Magical Axel
magical-torque,name_zh-hant,魔法暴衝,魔法暴衝 / 魔法暴冲
syrup-bomb,name_zh-hant,糖漿炸彈,糖漿炸彈 / 糖浆炸弹
electro-shot,name_zh-hant,電光束,電光束 / 电光束
tera-starstorm,damage_class,special,vary
fickle-beam,name_zh-hant,隨機光,隨機光 / 随机光
burning-bulwark,accuracy,0,
burning-bulwark,name_zh-hant,火焰守護,火焰守護 / 火焰守护
mighty-cleave,name_zh-hant,強刃攻擊,強刃攻擊 / 强刃攻击
tachyon-cutter,accuracy,0,
hard-press,name_zh-hant,硬壓,硬壓 / 硬压
dragon-cheer,accuracy,0,
dragon-cheer,name_zh-hant,龍聲鼓舞,龍聲鼓舞 / 龙声鼓舞
alluring-voice,name_zh-hant,魅誘之聲,魅誘之聲 / 魅诱之声
supercell-slam,name_zh-hant,閃電強襲,閃電強襲 / 闪电强袭
upper-hand,name_zh-hant,快手還擊,快手還擊 / 快手还击
malignant-chain,name_zh-hant,邪毒鎖鏈,邪毒鎖鏈 / 邪毒锁链
shadow-rush,name_ja,ダークラッシュ,ダークアタック
shadow-rush,name_fr,Charge Noire,Assaut Noir
shadow-rush,name_de,Cryptoschlag,Cryptoknall
shadow-rush,name_es,Carga Oscura,Vigor Oscuro
shadow-rush,name_it,Ombroraffica,Ombrattacco
shadow-blast,name_ja,ダークブラスト,ダークラッシュ
shadow-blast,name_fr,Aéro Noir,Charge Noire
shadow-blast,name_de,Cryptostrahl,Cryptoschlag
shadow-blast,name_es,Soplo Oscuro,Carga Oscura
shadow-blast,name_it,Ombrolame,Ombroraffica
shadow-blitz,name_ja,ダークアタック,ダークブレイク
shadow-blitz,name_fr,Assaut Noir,Bélier Noir
shadow-blitz,name_de,Cryptoknall,Cryptohieb
shadow-blitz,name_es,Vigor Oscuro,Brío Oscuro
shadow-blitz,name_it,Ombrattacco,Ombrospinta
shadow-bolt,name_ja,ダークサンダー,ダークエンド
shadow-bolt,name_fr,Éclair Noir,Retour Noir
shadow-bolt,name_de,Cryptoblitz,Cryptoretour
shadow-bolt,name_es,Rayo Oscuro,Fin Oscuro
shadow-bolt,name_it,Fulminombra,Fineoscuro
shadow-break,name_ja,ダークブレイク,ダークウェーブ
shadow-break,name_fr,Bélier Noir,Onde Noire
shadow-break,name_de,Cryptohieb,Cryptowelle
shadow-break,name_es,Brío Oscuro,Onda Oscura
shadow-break,name_it,Ombrospinta,Ondaoscura
shadow-chill,name_ja,ダークフリーズ,ダークレイブ
shadow-chill,name_fr,Froid Noir,Rage Noire
shadow-chill,name_de,Cryptofrost,Cryptobeben
shadow-chill,name_es,Hielo Oscuro,Rabia Oscura
shadow-chill,name_it,Gelodombra,Ombrolancia
shadow-end,name_ja,ダークエンド,ダークストーム
shadow-end,name_fr,Retour Noir,Typhon Noir
shadow-end,name_de,Cryptoretour,Cryptosturm
shadow-end,name_es,Fin Oscuro,Tifón Oscuro
shadow-end,name_it,Fineoscuro,Turbinombra
shadow-fire,name_fr,Ardeur Noir,Ardeur Noire
shadow-rave,name_ja,ダークレイブ,ダークサンダー
shadow-rave,name_fr,Rage Noire,Éclair Noir
